Question	A scientist uses angstrom units to measure the distance between two points. The scientist is most likely measuring the distance between two	question
Answer	atoms.	answer
0	angstrom ( Å ) is a metric unit used for measuring wavelength; interatomic distance; length; distance	gold
1	a scientist is a kind of human	nongold
2	an atom is a kind of object	nongold
3	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
4	both means two	nongold
5	a meter is a kind of unit for measuring distance; measuring length	nongold
6	atoms are made of particles	nongold
7	an atom is the smallest particle; unit that has the properties of an element	nongold
8	a physicist is a kind of scientist	nongold
9	scientists make observations	nongold
10	matter; materials; substances are made of atoms; particles	nongold
11	an atom is exceptionally small in size	nongold
12	a molecule is a kind of particle	nongold
13	an atom is made of protons; neutrons; electrons	nongold
14	the basic unit of matter is atom	nongold
15	a molecule is a kind of object	nongold
16	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
17	a kilogram is a kind of unit for measuring mass	nongold
18	atom cannot be divided into smaller substances	nongold
19	decimeters ( dm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 10.0	nongold
20	kilometers ( km ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
21	unit is similar to part	nongold
22	picometer ( pm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
23	if two objects are apart from each other then matter is between those two objects	nongold
24	meters;centimeters;kilometers are used to describe distance; describe length	nongold
25	objects are made of materials; substances; matter	nongold
26	seconds are a kind of unit for measuring time	nongold
27	matter is made of molecules	nongold
28	a molecule is made of atoms chemically combined; bonded	nongold
29	substances are made of molecules	nongold
30	a particle is a kind of object	nongold
31	materials are made of matter	nongold
32	measuring requires reading a measurement	nongold
33	particles in objects are a kind of matter	nongold
34	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
35	nanometers ( nm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
36	answering questions requires information	nongold
37	substances are made of matter	nongold
38	a molecule is exceptionally small in size	nongold
39	measuring is a kind of observing	nongold
40	mass is a measure of the amount of matter in an object	nongold
41	a human is a kind of animal	nongold
42	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
43	a centimeter is a kind of unit of measurement	nongold
44	calculation means measurement	nongold
45	distant means great in distance	nongold
46	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
47	a unit for measuring time is a kind of time interval	nongold
48	miles are a kind of unit for measuring distance	nongold
49	kilograms ( kg ) are a  metric; SI unit used for measuring mass; weight generally used for values between 1.0 and 50000000.0	nongold
50	millimeters ( mm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 100.0	nongold
51	a molecule is the smallest particle; unit that has the properties of a compound	nongold
52	property is similar to measurement	nongold
53	can be means able to be	nongold
54	researcher is a kind of scientist	nongold
55	joules ( J ) are an  SI unit used for measuring mechanical energy; work generally used for values between 1.0 and 1000.0	nongold
56	an instrument is a piece of equipment	nongold
57	high is similar to increase	nongold
58	pair means two	nongold
59	grams ( g ) are a  metric unit used for measuring mass; weight generally used for values between 1.0 and 2000.0	nongold
60	a gram  is a kind of unit for measuring mass	nongold
61	instrument means tool	nongold
62	seconds are used to measure time	nongold
63	measuring is used for describing an object	nongold
64	far means great in distance	nongold
65	an increase is a kind of change	nongold
66	length is a measure of distance from one end of an object to the other end of that object	nongold
67	two objects are usually different in size	nongold
68	often is similar to likely	nongold
69	a pure substance is made of only one kind of atom; molecule	nongold
70	measuring is a kind of science skill	nongold
71	an element is made of one kind of atoms	nongold
72	an electron is a kind of charged particle	nongold
73	experimentation requires measuring	nongold
74	a source of something emits; produces; generates; provides that something	nongold
75	a centimeter is used for measuring short lengths; short distances	nongold
76	an  element is a kind of atom	nongold
77	composed of means made of	nongold
78	charged particles are a kind of high-energy particles	nongold
79	a landform is a kind of object	nongold
80	measuring sometimes requires  recording; learning an amount	nongold
81	femtometers ( fm ) are an  SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
82	to measure means to calculate	nongold
83	to create means to make	nongold
84	solid is a kind of state of matter	nongold
85	astronomical unit is a measure of distance between Earth and the Sun	nongold
86	a photon is a kind of  particles	nongold
87	miles ( mi ) are a  imperial unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
88	DNA is a kind of molecule	nongold
89	Charles Darwin was a kind of scientist	nongold
90	newton ( N ) is an SI unit used for measuring weight	nongold
91	degrees kelvin ( K ) is an SI unit used for measuring temperature generally used for values between 0.0 and 50000000.0	nongold
92	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
93	a tool is a kind of object	nongold
94	milliliters is a kind of unit for measuring volume of liquids	nongold
95	milliliters ( mL ) is a metric unit used for measuring volume generally used for values between 1.0 and 1000.0	nongold
96	a measure of time is a length of time	nongold
97	a living thing is a kind of object	nongold
98	as the the distance  between molecules decreases ,  the speed of the sound    will increase	nongold
99	degrees celsius ( C ) is a metric unit used for measuring temperature generally used for values between -273.0 and 50000000.0	nongold
