Question	Which is a major function of the vacuoles found in cells?	question
Answer	to store water and food for cells	answer
0	vacuoles are used for storing water; food by cells	gold
1	to be found in means to be contained in	nongold
2	vacuoles are found in cells	gold
3	a vacuole is a kind of organelle	nongold
4	if something is a part of something then that something can be found in that something	nongold
5	the function of something is what that something  is used to do	gold
6	found in means existing in	nongold
7	contain is similar to store	nongold
8	role means function	nongold
9	to store means to hold	nongold
10	a food contains nutrients for living things	nongold
11	providing is a kind of function	nongold
12	storing water is a kind of adaptation	nongold
13	a function is an activity	nongold
14	a body of water contains water	nongold
15	usually plants store the food they produce for future use	nongold
16	transporting nutrients, water, and minerals is a kind of function	nongold
17	to be a vehicle for is a kind of function	nongold
18	carbohydrates are used for storing;transporting energy	nongold
19	something that contains water is similar to a body of water	nongold
20	function is similar to purpose	nongold
21	a stem is used to store water by some plants	nongold
22	if something performs a task then that task is that something's function	nongold
23	a cell is very small	nongold
24	a cell absorbs nutrients	nongold
25	providing structure is a kind of function	nongold
26	photosynthesis stores; captures energy	nongold
27	if something is a part of something else then that something else contains that something	nongold
28	water is a kind of liquid at room temperature	nongold
29	carbohydrates are a vehicle for storing;transporting energy	nongold
30	a mechanism is a kind of system that performs a function	nongold
31	protecting is a kind of function	nongold
32	causing is a kind of function	nongold
33	cells are a part of the body	nongold
34	absorbing is a kind of function	nongold
35	to have a function is similar to to be responsible for	nongold
36	a cactus stores water	nongold
37	an organism is a living thing	nongold
38	animals; living things require water for survival	nongold
39	food contains carbohydrates	nongold
40	producer is a kind of role in the food chain process; in an ecosystem	nongold
41	water is a part of an environment	nongold
42	a living thing is made of cells	nongold
43	storing water increases the water available to organisms in a dry environment	nongold
44	converting is a kind of function	nongold
45	special tissues in plants transport food; water; minerals throughout the plant	nongold
46	if something is located  in somewhere , then something can be found in somewhere	nongold
47	cells are a smaller level of organization than tissues in living things	nongold
48	to be used for something means to be required by that something	nongold
49	a role in the ecosystem is a role in the food chain process	nongold
50	producing is a kind of function	nongold
51	transporting is a kind of function	nongold
52	to work means to function	nongold
53	a source of something emits; produces; generates; provides that something	nongold
54	water is a kind of substance	nongold
55	an animal is a kind of living thing	nongold
56	a component of something means a part of that something	nongold
57	organs are made of different types of  cellular tissues	nongold
58	a cactus stem is used for storing water	nongold
59	a body of water is a kind of environment	nongold
60	a function is a kind of characteristic	nongold
61	if something is made of something; a material then that something contains that something; that material	nongold
62	moving something is a kind of function	nongold
63	if something is a source of something else then that something usually contains that something else	nongold
64	made up of means contains; made of	nongold
65	requiring something means needing that something	nongold
66	a source of something supplies that something	nongold
67	regulating is a kind of function	nongold
68	if something converts one kind of energy into other kinds of energy then that something originally stores that energy as the first kind of energy	nongold
69	a plant cell is a kind of cell	nongold
70	a structure of something is synonymous with a part of that something	nongold
71	a cell nucleus is a part of a cell	nongold
72	if something transfers something else then that something is a source of something else	nongold
73	if food is not immediately used by the body for energy then that food will be stored for future use	nongold
74	the body is a part of an organism	nongold
75	releasing energy is a kind of function	nongold
76	a plant is a kind of organism	nongold
77	all cells perform cellular respiration	nongold
78	a body of water is a source of water	nongold
79	a component means a part of	nongold
80	a plant is made of plant cells	nongold
81	to provide something means to be the source of that something	nongold
82	life means living things	nongold
83	bacteria is a kind of living thing	nongold
84	decomposer is a kind of role in the food chain process; in an ecosystem	nongold
85	an animal; living thing requires nutrients for survival	nongold
86	the cell membrane is a part of a cell	nongold
87	if something contains something , then something is able to provide something	nongold
88	can be means able to be	nongold
89	a cell is a kind of object	nongold
90	a plants; living things require water for survival; to grow	nongold
91	a supply of something is a source of that something	nongold
92	water is a kind of matter	nongold
93	containing something is similar to providing that something	nongold
94	tissue is a kind of group of cells with a common structure that work together to perform a similar function	nongold
95	if a cell can not specialize then that cell must perform all life functions	nongold
96	a plant is a kind of living thing	nongold
97	carbohydrates store chemical energy	nongold
98	cellular respiration is cellular digestion	nongold
99	requiring is similar to needing help	nongold
