Question	The seeds of an oak come from the ___.	question
Answer	fruit	answer
0	an oak is a kind of tree	gold
1	fruit is a part of a plant; tree	gold
2	an object; material; substance comes from that object or material's source	nongold
3	a fruit is a kind of object	nongold
4	fruit contains seeds	gold
5	plants are the source of fruit	nongold
6	a seed is a part of a plant	nongold
7	where something  comes from is a source of that something	nongold
8	a tree is a kind of living thing	nongold
9	if something comes from something else then that something else is a source of that something	nongold
10	a tree is a kind of plant	nongold
11	a plant is a kind of living thing	nongold
12	a berry is a kind of fruit	nongold
13	seed dispersal is when the seeds of a plant are moved; are carried; are spread; are dropped; from the parent plant to another area	nongold
14	fruit is a kind of food	nongold
15	a seed is a kind of young plant	nongold
16	a leaf is a part of a tree	nongold
17	an acorn is a kind of seed	nongold
18	a leaf is a kind of object	nongold
19	some species of tree are deciduous	nongold
20	nuts are a kind of fruit	nongold
21	a living thing is a kind of object	nongold
22	fruit is  usually a solid	nongold
23	a berry contains seeds	nongold
24	a plant is a kind of organism	nongold
25	if something is a raw material then that something comes directly from a source	nongold
26	a leaf is a part of a  green plant	nongold
27	a tree contains wood	nongold
28	a seed is a kind of food for birds	nongold
29	a plant is a member of a plant species	nongold
30	if two objects are composed of similar materials then those objects may have come from the same source	nongold
31	a plant; living thing requires food for survival	nongold
32	seed dispersal is when the seeds of a plant are moved from the plant to  a new environment	nongold
33	a leaf is a kind of plant	nongold
34	a tree is a kind of matter	nongold
35	a maple tree is a kind of tree	nongold
36	a gourd is a kind of fruit	nongold
37	seed dispersal has a positive impact on a plant; a plant's reproduction	nongold
38	a redwood tree is a kind of tree	nongold
39	a seed is used for storing food for a new plant	nongold
40	a fir tree is a kind of tree	nongold
41	wood is a kind of object	nongold
42	an apple is a kind of fruit	nongold
43	fruit trees are a kind of crop	nongold
44	green plants are a kind of producer	nongold
45	an animal is a kind of living thing	nongold
46	roots are a part of a plant; tree	nongold
47	a producer is a kind of living thing	nongold
48	a pine tree is a kind of tree	nongold
49	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
50	a source of something emits; produces; generates; provides that something	nongold
51	different kinds of trees produce different types of fruit	nongold
52	if a plant sprouts from a seed then that plant is born	nongold
53	provide is similar to give; make	nongold
54	all living things grow	nongold
55	a root is a kind of object	nongold
56	a leaf performs photosynthesis; gas exchange	nongold
57	plants of the same species have the same type of seed	nongold
58	seeds are a part of  berries	nongold
59	a forest contains  lots of plants; trees	nongold
60	a branch is a part of a tree	nongold
61	a fungus is a kind of living thing	nongold
62	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
63	a plant; living thing requires nutrients to grow	nongold
64	a pumpkin contains seeds	nongold
65	a forest is a kind of environment	nongold
66	plant requires seed dispersal for reproduction	nongold
67	providing something means making;delivering something	nongold
68	a vegetable is a kind of plant	nongold
69	In the flowering plant life cycle , fruiting is part of reproduction	nongold
70	to contain means to have inside	nongold
71	make means produce	nongold
72	flowers are a source of fruit	nongold
73	seeds may sprout when buried in soil	nongold
74	a seedling is a kind of young plant	nongold
75	an organism is a living thing	nongold
76	plant reproduction; seed production requires pollination	nongold
77	a structure of something is synonymous with a part of that something	nongold
78	seeds sprouting causes plants to grow	nongold
79	a type is synonymous with a kind	nongold
80	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
81	a stem is often a part of plant	nongold
82	food is a kind of object	nongold
83	to be formed by is similar to being produced by	nongold
84	a leaf is small in size	nongold
85	some flowers become fruits	nongold
86	preserved means from the past; from long ago	nongold
87	if something is made of something; a material then that something contains that something; that material	nongold
88	an object is made of its parts	nongold
89	An example of  seed dispersal is is an animal hiding; gathering; burying seeds	nongold
90	life means living things	nongold
91	made up of means contains; made of	nongold
92	a fungus is a kind of organism	nongold
93	In the flowering plant life cycle , seed dispersal can follow fruiting	nongold
94	products are formed; are produced; are created	nongold
95	An example of seed dispersal is animals eating; excreting seeds	nongold
96	a trunk is a part of a tree for supporting the tree	nongold
97	food is a kind of substance	nongold
98	wood is a kind of natural material	nongold
99	composed of means made of	nongold
