Question	The ocean water near the equator absorbs more heat throughout the year than ocean water near the North Pole. Which of the following best explains this difference?	question
Answer	The equator receives more direct sunlight.	answer
0	to receive sunlight means to absorb sunlight	gold
1	receiving sunlight  is synonymous with absorbing sunlight	nongold
2	the equator receives the most direct sunlight throughout the year	gold
3	the equator receives more sunlight than the poles on Earth	nongold
4	when a hemisphere is tilted away from the sun , that hemisphere receives less direct sunlight	nongold
5	when a hemisphere is tilted towards the sun , that hemisphere receives more direct sunlight	nongold
6	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
7	the equator is a kind of location	nongold
8	the water at the surface of the ocean absorbs more sunlight than the water at the bottom of the ocean	nongold
9	as the distance of a location from the North Pole becomes smaller; closer , the amount of daylight received by that location will decrease during the winter	nongold
10	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
11	as the distance of a location from the North Pole becomes smaller; closer , the  amount of daylight received by that location will increase during the summer	nongold
12	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
13	the sun is a source of radiation; heat called sunlight	nongold
14	the North Pole is a kind of location	nongold
15	the water near equator is in liquid and gas state	nongold
16	as the sunlight absorbed by the object increases ,  the temperature of the object  will increase more	nongold
17	the sun is the source of solar energy called sunlight	nongold
18	absorbing sunlight causes objects to heat	nongold
19	increase means more	nongold
20	the Earth being tilted on its axis causes one side of the Earth; one hemisphere to receive less energy from the Sun than the other side	nongold
21	when sunlight strikes something , that something receives sunlight	nongold
22	less is similar to decrease	nongold
23	sunlight is a kind of solar energy	nongold
24	sunlight means solar energy	nongold
25	being in the sun is synonymous with being in the sunlight	nongold
26	if something is outside during the day then that something will receive sunlight	nongold
27	the sun is a source of light; light energy called sunlight	nongold
28	an increase is the opposite of a decrease	nongold
29	near means close	nongold
30	as a person in the northern hemisphere moves south , distance from the equator will decrease	nongold
31	an ocean is a kind of body of water	nongold
32	the air around equator is warm	nongold
33	The North Pole is located in the northern hemisphere	nongold
34	the sunlight occurs during the day	nongold
35	sunlight is a kind of light	nongold
36	near; close is the opposite of far; away	nongold
37	the ocean transfers more heat than the continent	nongold
38	the sun causes water to evaporate more quickly by adding heat	nongold
39	water absorbs solar energy in the water cycle	nongold
40	The South Pole is located in the southern hemisphere	nongold
41	a planet is a kind of celestial object; body	nongold
42	as distance from a source of something increases , that something will decrease	nongold
43	as distance to an ocean decreases , the temperature will decrease	nongold
44	water absorbs light energy	nongold
45	sunlight produces heat	gold
46	an increase is a kind of change	nongold
47	a decrease is a kind of change	nongold
48	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
49	less is the opposite of more	nongold
50	the ocean   stores more heat than the continent	nongold
51	low is similar to decrease	nongold
52	to be in the sun means to be in the sunlight	nongold
53	to add means to increase	nongold
54	less means a reduced amount	nongold
55	amount of sunlight causes changing weather patterns	nongold
56	to reduce means to decrease	nongold
57	sunlight can be found in the top 100 meters of the ocean	nongold
58	a change is a kind of difference	nongold
59	absorbing energy causes objects; materials; substances to heat	nongold
60	high is similar to increase	nongold
61	a star is a kind of celestial object; celestial body	nongold
62	to lower means to decrease	nongold
63	astronomy is the study of celestial (objects, bodies)	nongold
64	temperature is a measure of heat energy	nongold
65	near means local	nongold
66	intensity of sunlight is similar to amount of sunlight	nongold
67	sunshine means sunlight	nongold
68	as the surface area of a body of water increases , evaporation of that body of water will increase	nongold
69	the tilt of Earth's axis causes certain latitudes of Earth to be heated at a greater rate	nongold
70	ocean currents moves away most heat from Earth's equator	nongold
71	as the amount of water in a body of water increases , the amount of water  evaporated from the body of water will increase	nongold
72	a planet is a kind of location	nongold
73	adding heat means increasing temperature	nongold
74	heat means heat energy	nongold
75	heat means temperature increases	nongold
76	solar energy is a kind of heat energy	nongold
77	greater means higher; more in value	nongold
78	evaporation causes amount of water to decrease	nongold
79	unequal heating of Earth's surface by the Sun causes global wind patterns	nongold
80	as distance from the sun increases , planetary temperature will decrease	nongold
81	throughout means over	nongold
82	the water in South Pole is only in solid and liquid state	nongold
83	as the sun sets , the temperature will decrease	nongold
84	sunlight is intense in space	nongold
85	a hemisphere is a part of Earth	nongold
86	oceans are located on Earth	nongold
87	as distance from the equator decreases , the climate will become warmer	nongold
88	closer means lower; less; a decrease in distance	nongold
89	if one object absorbs more energy than another object , then the  object will be warmer	nongold
90	water is a kind of liquid at room temperature	nongold
91	the distance between the Sun and Earth causes liquid water to be able to exist on Earth	nongold
92	Earth is a kind of planet	nongold
93	furthest; farthest means greatest; most; highest in distance	nongold
94	a source of something increases the amount of that something	nongold
95	solar power means solar energy	nongold
96	as the amount of a source of something decreases , the amount of that something will decrease	nongold
97	absorption is a kind of event	nongold
98	solar radiation means solar energy	nongold
99	the surface of the sun is extremely hot in temperature with values as high as 20 000 000 ° C	nongold
