Question	Which is an example of kinetic energy?	question
Answer	a ball rolling down a hill	answer
0	rolling is a kind of motion	nongold
1	An example of an object with kinetic energy is an object in motion	nongold
2	rolling down is similar to falling	nongold
3	kinetic energy is a kind of mechanical energy	nongold
4	motion is a source of kinetic energy in an object	nongold
5	a ball is a kind of object	gold
6	a roll is a kind of movement	gold
7	rolling down a ramp is a kind of rolling	nongold
8	An example of mechanical energy is an object in motion	nongold
9	a kind of something is an example of that something	nongold
10	a hill is a kind of incline	nongold
11	the kinetic energy of an object can change from kinetic energy to sound energy by hitting another object	nongold
12	changes potential energy into kinetic energy through motion	nongold
13	downward means down	nongold
14	a hill is a kind of place	nongold
15	as an object moves faster , the kinetic energy of that object will increase	gold
16	rolling over is a kind of action	nongold
17	mechanical energy is a kind of energy	nongold
18	to travel up means to rise	nongold
19	falling means moving downward	nongold
20	rising is a kind of motion	nongold
21	motion; movement means moving; to move	nongold
22	moving changes potential energy; stored energy into kinetic energy and heat energy	nongold
23	as kinetic energy of an object increases , that object will travel faster	nongold
24	mechanical energy can  cause objects to move	nongold
25	as an object is moving down , the speed of the object  will increase	nongold
26	mechanical energy of a system includes the sum of kinetic energy and potential energy  in the system	nongold
27	gravity accelerates an object while that object falls by pulling on it	nongold
28	stopping a moving object changes kinetic energy into potential energy	nongold
29	speed is a measure of how fast an object is moving	nongold
30	rising means moving upward	nongold
31	a vehicle is a kind of object	nongold
32	up means upward	nongold
33	low means down	nongold
34	temperature is a measure of kinetic energy of molecules	nongold
35	jumping off is a kind of  moving down	nongold
36	rising means elevation	nongold
37	dropping something causes that something to fall	nongold
38	particles in a gas have more kinetic energy than particles in a liquid	nongold
39	sliding is a kind of motion	nongold
40	lowering is a kind of motion	nongold
41	a motion is a kind of event; action	nongold
42	particles in a liquid have more kinetic energy than particles in a solid	nongold
43	to slow; to slow down decreases speed	nongold
44	as the amount of heat energy of a substance; of an object increases , the amount of kinetic energy will increase	nongold
45	hitting is a kind of motion	nongold
46	skidding is a kind of motion	nongold
47	heat is a kind of energy	nongold
48	an event is a kind of action	nongold
49	distance moved; distance travelled is a measure of how far an object moves	nongold
50	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
51	sound is a kind of energy	nongold
52	a surface is a part of an object	nongold
53	mechanical energy exerted by an object can be used to push or pull another object	nongold
54	a mountain; hill is taller than the land around it	nongold
55	mechanical force is a kind of mechanical energy	nongold
56	crumple means change shape from smooth; flat into compacted;irregular by mechanical force; kinetic energy	nongold
57	as the kinetic energy of particles increases , the particles will move faster	nongold
58	travel means to move	nongold
59	as an object falls , the potential energy of that object will decrease	nongold
60	come down is similar to falling	nongold
61	to drop means to fall	nongold
62	mechanical energy is used to move something by animals	nongold
63	a particle is a kind of object	nongold
64	a human is a kind of animal	nongold
65	hills are a kind of small mountain	nongold
66	a mountain is taller than a hill	nongold
67	if something strikes an object then that something may bounce off of that object	nongold
68	downhill means down	nongold
69	raising is a kind of motion	nongold
70	force requires energy	nongold
71	a surface is a kind of object	nongold
72	inclined means sloping	nongold
73	revolving is a kind of motion	nongold
74	speed is a property of an object and includes values of slow; fast	nongold
75	sound is a kind of sound energy	nongold
76	objects are made of materials; substances; matter	nongold
77	force causes the speed of an object to increase; to decrease	nongold
78	the ground is at the bottom of an area	nongold
79	as the  amount of heat energy of a substance; of an object decreases , the amount of kinetic energy will decrease	nongold
80	setting is a kind of motion	nongold
81	an animal requires energy to move	nongold
82	a hill is more rounded than a mountain	nongold
83	rising means height; altitude increases	nongold
84	producing thrust causes something; an animal; an object to move	nongold
85	the bottom is the lowest part of something	nongold
86	affected means changed	nongold
87	can be means able to be	nongold
88	a living thing is a kind of object	nongold
89	an increase is a kind of change	nongold
90	a rock is a kind of object	nongold
91	inertia is when a stationary object resists being put into motion	nongold
92	mass is a property of objects; matter	nongold
93	a velocity is a measure of a speed in a direction	nongold
94	to lift means to move up	nongold
95	chemical energy is a kind of energy	nongold
96	energy transformation means one kind of energy changes into another kind of energy	nongold
97	down is a kind of direction	nongold
98	mass is a measure of the amount of matter in an object	nongold
99	as the speed of an object increases , the force that object exerts will increase	nongold
