Question	In order to survive, all organisms must have	question
Answer	energy	answer
0	must have means require	gold
1	an animal; living thing requires nutrients for survival	nongold
2	living things all require energy for survival	gold
3	an organism is a living thing	gold
4	an animal is a kind of organism	nongold
5	a plant; living thing requires food for survival	nongold
6	an animal is a kind of living thing	nongold
7	food is a source of energy for animals; plants	nongold
8	survival means to survive	nongold
9	survive means live	nongold
10	survive means live	nongold
11	life means living things	nongold
12	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
13	to depend on; to rely on; to need means to require	nongold
14	all cells require energy	nongold
15	death means to die	nongold
16	nutrients are a source of energy for living things	nongold
17	nonliving; non-living; die is the opposite of living; alive; live	nongold
18	to lack means to not have	nongold
19	an animal; bacterium requires oxygen for survival; to breathe	nongold
20	answering questions requires information	nongold
21	dying is the opposite of living; surviving	nongold
22	if an event is required for a process then that event must occur before that process can occur	nongold
23	a human is a kind of animal	nongold
24	organisms are a part of an environment	nongold
25	an organism requires energy for growth; repair	nongold
26	killing means harming something causing death	nongold
27	human is a kind of organism	nongold
28	a food contains nutrients for living things	nongold
29	a plant is a kind of organism	nongold
30	organisms mean life	nongold
31	killing means changing a living thing from alive to dead by harming	nongold
32	resources sometimes are used for energy	nongold
33	heat is a kind of energy	nongold
34	a predator is a kind of animal	nongold
35	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
36	a living thing is a kind of object	nongold
37	sound is a kind of energy	nongold
38	if a living thing requires something then that something has a positive impact on that living thing	nongold
39	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
40	negative impact is the opposite of positive impact	nongold
41	an animal needs to eat food for nutrients	nongold
42	live means to be alive	nongold
43	an organism eating is a kind of action	nongold
44	lack of food causes starvation	nongold
45	a source of something emits; produces; generates; provides that something	nongold
46	a lack of something that a living thing requires prevents the survival of that living thing	nongold
47	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
48	chemical energy is a kind of energy	nongold
49	dead means not alive	nongold
50	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
51	a plant is a kind of living thing	nongold
52	an event is a kind of action	nongold
53	to be used for something means to be required by that something	nongold
54	if something causes a process then that something is required for that process	nongold
55	food is a kind of chemical energy	nongold
56	nutrients are a kind of matter	nongold
57	knowing sometimes requires determing	nongold
58	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
59	animal instinct means instinctive behavior	nongold
60	an animal requires enough nutrients to maintain good health; survive	nongold
61	to give is similar to to cause	nongold
62	diet means what an animal eats	nongold
63	not is similar to the opposite of	nongold
64	energy transformation means one kind of energy changes into another kind of energy	nongold
65	good means positive	nongold
66	a process usually requires all of the stages in that process	nongold
67	an environment is similar to an ecosystem	nongold
68	all cells take in energy	nongold
69	food is what an animal eats	nongold
70	if something is required for a process then that something positively impacts that process	nongold
71	high is similar to increase	nongold
72	light is a kind of energy	nongold
73	light is a kind of energy	nongold
74	a predator eats other animals for food	nongold
75	animals; living things require water for survival	nongold
76	if a living thing dies then that living thing is dead	nongold
77	to eat means to consume food	nongold
78	an ecosystem contains a large community of; large numbers of living organisms	nongold
79	if an organism eats something then that something is a source of frood to that organism	nongold
80	a process is a kind of event	nongold
81	best means most positive	nongold
82	the decrease of something required by an organism has a negative impact on that organism's survival; that organism's ability	nongold
83	if an organism can do something , then that organism is able to do that something	nongold
84	cellular energy is a kind of chemical energy	nongold
85	an energy source is a kind of resource	nongold
86	able is the opposite of unable	nongold
87	can be means able to be	nongold
88	increasing is a kind of order	nongold
89	a part of a process means a stage in a process	nongold
90	a step in a process means a stage in a process	nongold
91	mechanical energy is a kind of energy	nongold
92	prey  is a kind of animal	nongold
93	biotic means living	nongold
94	live is similar to stay	nongold
95	lack is similar to low; little	nongold
96	better means good	nongold
97	the increase of something required by an organism has a positive impact on that organism's survival	nongold
98	once-living means dead	nongold
99	harming an organism can cause that organism to die	nongold
