Question	Which resource, abundant in Nevada, is nonrenewable?	question
Answer	copper	answer
0	metal is a nonrenewable resource	gold
1	Nevada produces more gold than any other state	nongold
2	Nevada mines produce gold	nongold
3	minerals are a nonrenewable resource	nongold
4	renewable is the opposite of nonrenewable	nongold
5	aluminum is a nonrenewable resource	nongold
6	Nevada is a state located in the United States of America	nongold
7	coal is a nonrenewable resource	nongold
8	abundant means high in number	nongold
9	Nevada has abundant sunshine	nongold
10	fossil fuels are a nonrenewable resource	nongold
11	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
12	a nonrenewable resource is limited in supply	nongold
13	amount is similar to abundance	nongold
14	copper is a kind of metal	gold
15	oil is a nonrenewable resource	nongold
16	a material is a kind of resource	nongold
17	copper is a kind of element	nongold
18	natural gas is a nonrenewable resource	nongold
19	metal is a kind of natural resource	nongold
20	metal is a kind of material	nongold
21	the climate in Nevada is low in humidity	nongold
22	nonrenewable resources will eventually be depleted	nongold
23	gold is a kind of metal	nongold
24	aluminum is a kind of metal	nongold
25	metal is a kind of substance	nongold
26	a metal is a kind of element	nongold
27	zinc is a kind of metal	nongold
28	an inexhaustible resource is a kind of renewable resource	nongold
29	the Sierra Nevada is a kind of mountain range	nongold
30	if use of a nonrenewable resources increases then the nonrenewable resource will be depleted	nongold
31	food is a kind of resource	nongold
32	metals are made of metal	nongold
33	iron is a kind of metal	nongold
34	an element is a kind of material	nongold
35	silver is a kind of metal	nongold
36	steel is a kind of metal	nongold
37	nonmetal means not metal	nongold
38	zinc is a kind of mineral	nongold
39	aluminum is a kind of element	nongold
40	an event is a kind of action	nongold
41	if an industry requires a resource then that industry predominates in areas with an abundance of that resource	nongold
42	all elements are a kind of pure substance	nongold
43	material means substance	nongold
44	plastic is a nonrenewable resource	nongold
45	quantity means amount	nongold
46	renewable resources are often available for many years	nongold
47	a source of something emits; produces; generates; provides that something	nongold
48	can be means able to be	nongold
49	a fossil fuel is a kind of natural resource	nongold
50	iron is a kind of mineral	nongold
51	most means over 50% of something	nongold
52	gold is a kind of element	nongold
53	aluminum is recyclable	nongold
54	if something is a raw material then that something comes directly from a source	nongold
55	panda is a kind of animal	nongold
56	an element is a kind of  substance	nongold
57	a mineral is a kind of solid; natural material	nongold
58	if something is a raw material in a process then that something is required for that process	nongold
59	ferrous metals contain iron	nongold
60	fossil fuels are a kind of energy resource	nongold
61	green plants are a kind of producer	nongold
62	water is a renewable resource	nongold
63	carbon is a kind of element	nongold
64	made up of means contains; made of	nongold
65	iron is a kind of element	nongold
66	a process is a kind of event	nongold
67	natural resources are found in nature	nongold
68	mercury  is a kind of metal	nongold
69	a renewable resource is a kind of natural resource	nongold
70	magnesium is a kind of alkaline earth metal	nongold
71	iron is a kind of solid	nongold
72	a producer is a kind of living thing	nongold
73	coal is a kind of fossil fuel	nongold
74	plants are a kind of resource	nongold
75	a lot means large in amount; quantity	nongold
76	a mineral is a kind of object	nongold
77	composed of means made of	nongold
78	a renewable resource is a kind of naturally replaced resource	nongold
79	an alkaline earth metal is a kind of element	nongold
80	copper is a kind of transition metal	nongold
81	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
82	metal is an  electrical; electrical energy conductor	nongold
83	gold is a kind of solid	nongold
84	a supply of something is a source of that something	nongold
85	rocks often contain large amounts of metal	nongold
86	water is a kind of natural resource	nongold
87	water is a kind of natural resource	nongold
88	to be formed by is similar to being produced by	nongold
89	soft iron; iron is always ferromagnetic; magnetic	nongold
90	lead is a kind of element	nongold
91	mercury is a kind of element	nongold
92	petroleum is a kind of fossil fuel	nongold
93	approximately means about	nongold
94	copper is always nonmagnetic	nongold
95	land is a kind of resource	nongold
96	answering questions requires information	nongold
97	oil is a kind of energy resource	nongold
98	an object; material; substance comes from that object or material's source	nongold
99	resources sometimes are used for energy	nongold
