Question	The ice cubes in a freezer are melting. Which change most likely is causing the ice cubes to melt?	question
Answer	an increase in the temperature inside the freezer	answer
0	an ice cube is a kind of solid	gold
1	a freezer; refrigerator is cool; cold in temperature	gold
2	a freezer is used for cooling things	nongold
3	an increase is a kind of change	gold
4	ice cube is made of ice	nongold
5	an ice cube is a kind of object	nongold
6	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
7	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	gold
8	cooling means temperature decreases	nongold
9	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
10	heat means temperature increases	nongold
11	a decrease is a kind of change	nongold
12	an increase is the opposite of a decrease	nongold
13	to add means to increase	gold
14	freezing is a kind of phase change	nongold
15	water is a kind of liquid at room temperature	gold
16	to lower means to decrease	nongold
17	melting is a kind of phase change	nongold
18	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	gold
19	ice is a kind of solid	nongold
20	colder; cooler means lower in temperature	nongold
21	frozen means solid	nongold
22	a cube is a kind of object	nongold
23	liquid water cooling causes that liquid water to freeze	nongold
24	freezing means cold temperatures	nongold
25	temperature is a measure of heat energy	gold
26	temperature changing can cause phase changes	nongold
27	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
28	to reduce means to decrease	nongold
29	melting is when solids are heated above their melting point	nongold
30	ice is cold in temperature	nongold
31	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
32	heat means heat energy	nongold
33	a liquid is a kind of substance	nongold
34	water is a kind of substance	nongold
35	a solid is a kind of substance	nongold
36	adding heat means increasing temperature	nongold
37	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
38	ice is colder than water in temperature	nongold
39	cold means low in temperature	nongold
40	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
41	a container contains objects; material; substances	nongold
42	to change means to cause a change	nongold
43	as the cause of something decreases , that something will decrease	nongold
44	a phase change is a kind of physical change	nongold
45	something in a cold place becomes cold	nongold
46	if an object is put inside; poured into another object , then two objects are touching	nongold
47	high is similar to increase	nongold
48	solid is a kind of state of matter	nongold
49	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
50	freezing causes a solid to form	nongold
51	liquid is a kind of state of matter	nongold
52	a source of something increases the amount of that something	nongold
53	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
54	if something emits something else then that something increases the amount of that something else	nongold
55	warmer means greater; higher in temperature; warmth	nongold
56	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
57	water is a kind of matter	nongold
58	warm means medium heat energy; temperature	nongold
59	melting point means temperature at which a solid melts; above which a solid melts	nongold
60	increase means more	nongold
61	ice crystals means  ice	nongold
62	adding something is a kind of change	nongold
63	phase means state	nongold
64	if an object is made of a material then that object has the properties of that material	nongold
65	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
66	low is similar to decrease	nongold
67	cool means cold	nongold
68	heating is the opposite of cooling	nongold
69	evaporating is a kind of phase change	nongold
70	substances are made of matter	nongold
71	to be a source of something means to cause that something	nongold
72	cooler means colder	nongold
73	ice is a kind of water phase	nongold
74	heat energy can change the state of matter	nongold
75	a change is a kind of event	nongold
76	if the component of something changed , then the whole thing will change	nongold
77	objects are made of materials; substances; matter	nongold
78	little is similar to decrease	nongold
79	heating means adding heat	nongold
80	out is synonymous with outside	nongold
81	materials are made of matter	nongold
82	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
83	if something is in something , then something is exposed to something	nongold
84	as the amount of a source of something decreases , the amount of that something will decrease	nongold
85	creating is similar to causing	nongold
86	material means substance	nongold
87	harming something has a  negative impact on; effect on that something	nongold
88	affected means changed	nongold
89	warm up means increase temperature	nongold
90	to turn means to change	nongold
91	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
92	a source of something emits; produces; generates; provides that something	nongold
93	heat energy is synonymous with thermal energy	nongold
94	if something releases something else then that something else decreases in that something	nongold
95	greater means higher; more in value	nongold
96	as the specific heat of a material decreases , the temperature of the material will increase given the same amount of energy	nongold
97	matter; materials; substances are made of atoms; particles	nongold
98	a process is a kind of event	nongold
99	a container is a kind of object	nongold
