Question	Which location on Earth has the least intense sunlight on December 22?	question
Answer	North Pole	answer
0	the North Pole is a kind of location	gold
1	intense means extreme	nongold
2	sunlight is intense in space	nongold
3	intense means high in intensity	nongold
4	The North Pole is located in the northern hemisphere	gold
5	place means space	nongold
6	December is during the winter in the northern hemisphere	gold
7	December is a kind of month	nongold
8	place is synonymous with location	nongold
9	the winter solstice is on December 21st in the northern hemisphere	nongold
10	The South Pole is located in the southern hemisphere	nongold
11	lowest means least in value; amount; number	nongold
12	the amount of daylight is least on the winter solstice	nongold
13	north is the opposite of south	nongold
14	sunlight is a kind of light	nongold
15	latitude is a property of a location; place on Earth	nongold
16	December is during the summer in the southern hemisphere	nongold
17	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
18	a magnet contains a north pole; south pole	nongold
19	sunlight means solar energy	nongold
20	least is the opposite of greatest	nongold
21	least is the opposite of most	nongold
22	sunlight is a kind of solar energy	nongold
23	place means area	nongold
24	the equator receives more sunlight than the poles on Earth	nongold
25	the sun is a source of radiation; heat called sunlight	nongold
26	located means situated	nongold
27	fewest means lowest; least in number	nongold
28	the sun is a source of light; light energy called sunlight	nongold
29	intensity of sunlight is similar to amount of sunlight	gold
30	less is similar to decrease	gold
31	furthest; farthest means greatest; most; highest in distance	nongold
32	place; location is synonymous with position	nongold
33	an increase is the opposite of a decrease	nongold
34	as the distance of a location from the North Pole becomes smaller; closer , the amount of daylight received by that location will decrease during the winter	gold
35	the amount of daylight is least in the winter	nongold
36	polar means of the pole	nongold
37	greatest means largest; highest; most amount of something	nongold
38	a planet is a kind of location	nongold
39	solar energy is a kind of light	nongold
40	Earth is a kind of planet	nongold
41	area is similar to location	nongold
42	the Sun is a kind of star	nongold
43	as the distance of a location from the North Pole becomes smaller; closer , the  amount of daylight received by that location will increase during the summer	nongold
44	a star is a kind of celestial object; celestial body	nongold
45	position means a place in a structure	nongold
46	low is similar to decrease	nongold
47	high is similar to increase	nongold
48	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
49	less means a reduced amount	nongold
50	closer means lower; less; a decrease in distance	nongold
51	to lack means to not have	nongold
52	less is the opposite of more	nongold
53	the sun is the source of solar energy called sunlight	nongold
54	the amount of daylight is greatest on the summer solstice	nongold
55	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
56	north; northward is a kind of direction	nongold
57	toward is the opposite of away	nongold
58	the average temperature in South Pole is between -52.2 to -45.8 C	nongold
59	the equator is a kind of location	nongold
60	fewer means lower; less in number	nongold
61	a cloudy day has little sunlight	nongold
62	if a pole is facing a pole of the same direction then those two poles will repel each other	nongold
63	when the needle of a compass lines up with Earth's magnetic poles , the needle points north	nongold
64	distance is a property of space and includes ordered values of close; far	nongold
65	the water in South Pole is only in solid and liquid state	nongold
66	solar energy is a kind of heat energy	nongold
67	daylight is when the sun shines on a location	nongold
68	extreme means very high in value	nongold
69	distant means great in distance	nongold
70	the equator receives the most direct sunlight throughout the year	nongold
71	to lower means to decrease	nongold
72	solar radiation means solar energy	nongold
73	sunlight produces heat	nongold
74	most means over 50% of something	nongold
75	intense heat has a negative impact on an organism	nongold
76	near; close is the opposite of far; away	nongold
77	lower means less	nongold
78	the sunlight occurs during the day	nongold
79	shortest means least; smallest in length	nongold
80	the sun rises in the east	nongold
81	a planet is a kind of celestial object; body	nongold
82	increase means more	nongold
83	lack is similar to low; little	nongold
84	south; southward is a kind of direction	nongold
85	the tilt of Earth's axis causes certain latitudes of Earth to be heated at a greater rate	nongold
86	approximately means about	nongold
87	a region is a kind of location	nongold
88	the sun sets in the west	nongold
89	a decrease is a kind of change	nongold
90	solar energy is a kind of energy	nongold
91	white objects absorbs the least sunlight	nongold
92	celestial bodies; celestial objects are found in space	nongold
93	contains means located in	nongold
94	spot means location	nongold
95	a source of something emits; produces; generates; provides that something	nongold
96	if an amount of objects decreases then those objects are fewer in number	nongold
97	astronomy is the study of celestial (objects, bodies)	nongold
98	to add means to increase	nongold
99	light years ( ly ) are a  astronomy unit used for measuring length; distance generally used for values between 1.0 and 27000000000.0	nongold
