Question	Which of these is a renewable resource found in Nevada?	question
Answer	geothermal energy	answer
0	geothermal energy is a renewable resource	gold
1	to be found in means to be contained in	nongold
2	found in means existing in	nongold
3	if something is a part of something then that something can be found in that something	nongold
4	if something is located  in somewhere , then something can be found in somewhere	nongold
5	geothermal energy is formed by magma heating Earth's crust	nongold
6	Nevada is a state located in the United States of America	nongold
7	Nevada produces more gold than any other state	nongold
8	Nevada has abundant sunshine	nongold
9	the Sierra Nevada is a kind of mountain range	nongold
10	Nevada mines produce gold	nongold
11	natural resources are found in nature	nongold
12	the climate in Nevada is low in humidity	nongold
13	renewable is the opposite of nonrenewable	nongold
14	a renewable resource is a kind of natural resource	nongold
15	solar energy is a renewable; inexhaustible resource	nongold
16	resources sometimes are used for energy	nongold
17	solar energy is a kind of energy	nongold
18	an energy source is a kind of resource	nongold
19	a source of something emits; produces; generates; provides that something	nongold
20	groundwater is a kind of water	nongold
21	where something  comes from is a source of that something	nongold
22	minerals are a nonrenewable resource	nongold
23	a renewable resource can be renewed	nongold
24	water is a renewable resource	nongold
25	answering questions requires information	nongold
26	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	nongold
27	to produce means to create	nongold
28	to create means to make	nongold
29	a component means a part of	nongold
30	a renewable resource is a kind of naturally replaced resource	nongold
31	if something is located in some place , then the presence of that something can be found in that location	nongold
32	solar energy is a kind of heat energy	nongold
33	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
34	composed of means made of	nongold
35	renewable resources are often available for many years	nongold
36	groundwater is located under ground	nongold
37	a rock is usually a solid	nongold
38	sunlight is a kind of solar energy	nongold
39	if something transfers something else then that something is a source of something else	nongold
40	a renewable resource can be replaced	nongold
41	if something comes from something else then that something else is a source of that something	nongold
42	a body of water contains water	nongold
43	to form means to create	nongold
44	fossil fuels are a kind of energy resource	nongold
45	made up of means contains; made of	nongold
46	if something releases something else then that something is the source of that something else	nongold
47	to generate means to create	nongold
48	plants are a kind of resource	nongold
49	emit means produce	nongold
50	oil is a kind of energy resource	nongold
51	contains means located in	nongold
52	an event is a kind of action	nongold
53	an increase is a kind of change	nongold
54	Rwanda is located in the southern hemisphere	nongold
55	Rwanda is located in the southern hemisphere	nongold
56	can be means able to be	nongold
57	to make means to form	nongold
58	to be formed by is similar to being produced by	nongold
59	creating means making	nongold
60	generate means produce	nongold
61	fossil fuels are a nonrenewable resource	nongold
62	to generate means to form	nongold
63	no longer means used to be	nongold
64	usually something can be found  near a source in greater concentrations	nongold
65	oil is a nonrenewable resource	nongold
66	if something required by something else is in a place then that something else may be in that place	nongold
67	a component of something means a part of that something	nongold
68	a nonrenewable resource is limited in supply	nongold
69	to be used for something means to be required by that something	nongold
70	rock is made of minerals	nongold
71	panda is a kind of animal	nongold
72	renewable resources can be used over again	nongold
73	if something is made of something else then that something can be broken down into that something else	nongold
74	if something gains something from something else then that something else is a source of that something	nongold
75	converting is similar to producing	nongold
76	a process is a kind of event	nongold
77	to increase is similar to to create	nongold
78	sunlight means solar energy	nongold
79	make means produce	nongold
80	to cause means to make	nongold
81	each is simiar to one	nongold
82	to provide something means to be the source of that something	nongold
83	algae is found in bodies of water	nongold
84	a volcano is a source of magma; lava	nongold
85	to be made of something means to be formed of that something	nongold
86	if something requires something else then that something requires a source of that something else	nongold
87	if something is a raw material then that something comes directly from a source	nongold
88	products are formed; are produced; are created	nongold
89	a body of water is a source of water	nongold
90	green plants are a kind of producer	nongold
91	Nebraska is a state located in the United States of America	nongold
92	metal is a nonrenewable resource	nongold
93	wood is a kind of energy resource	nongold
94	high is similar to increase	nongold
95	most means over 50% of something	nongold
96	to be made of means to consist of	nongold
97	forming something is a kind of change	nongold
98	to turn means to change	nongold
99	a fossil fuel is a kind of natural resource	nongold
