Question	Which two observations are both used to describe weather?	question
Answer	temperature and sky conditions	answer
0	sky conditions are a property of weather	gold
1	the properties of something are used for describing that something	gold
2	temperature is a property of weather	gold
3	temperature is a kind of condition	nongold
4	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
5	both means two	nongold
6	weather is  a measure of the condition of the air in a place at a certain time	nongold
7	weather is a property of a environment	nongold
8	measuring is a kind of observing	nongold
9	temperature is a measure of heat energy	nongold
10	measuring is used for describing an object	nongold
11	a weather report describes weather	nongold
12	climate is the usual kind of weather in a location over a period of time	nongold
13	warmer means greater; higher in temperature; warmth	nongold
14	precipitation is a property of weather	nongold
15	the location of an object can be used to describe that object	nongold
16	a climate is synonymous with an environment	nongold
17	the properties of something can be used to identify; used to describe that something	nongold
18	a thermometer is used to measure temperature	nongold
19	a description sometimes provides information	nongold
20	answering questions requires information	nongold
21	warm means medium heat energy; temperature	nongold
22	cold means low in temperature	nongold
23	high is similar to increase	nongold
24	an increase is a kind of change	nongold
25	a thermometer is a kind of instrument for measuring temperature	nongold
26	condition is a property of an environment	nongold
27	air temperature is a kind of temperature	nongold
28	heat has a great impact on weather	nongold
29	precipitation is a kind of weather	nongold
30	variable means able to change	nongold
31	a change is a kind of event	nongold
32	a planet is a kind of celestial object; body	nongold
33	warm means warm temperature	nongold
34	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
35	observe means see	nongold
36	affected means changed	nongold
37	to add means to increase	nongold
38	cold is a kind of weather	nongold
39	colder; cooler means lower in temperature	nongold
40	cloudy is a kind of sky condition	nongold
41	weather changes from seasons to seasons	nongold
42	weather  usually happens in troposphere	nongold
43	an increase is the opposite of a decrease	nongold
44	condition means the state of the property	nongold
45	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
46	a measurement is a kind of data	nongold
47	determining often requires measuring; observing	nongold
48	water is a kind of liquid at room temperature	nongold
49	worldwide temperature means atmospheric temperature	nongold
50	heat means heat energy	nongold
51	can be means able to be	nongold
52	something's function can be used to describe; identify that something	nongold
53	inspect; observe means examine	nongold
54	to be used for something means to be required by that something	nongold
55	hot means high in heat energy; temperature	nongold
56	precipitation is when water falls from the sky	nongold
57	cloudy is a kind of  weather	nongold
58	furthest; farthest means greatest; most; highest in distance	nongold
59	information is used to describe something	nongold
60	the senses are used for making observations	nongold
61	low is similar to decrease	nongold
62	weather is a source of wind and water for the weathering process	nongold
63	heat means temperature increases	nongold
64	to lower means to decrease	nongold
65	water is a kind of matter	nongold
66	recording an observation sometimes requires measuring	nongold
67	a source of something emits; produces; generates; provides that something	nongold
68	winter has cold temperatures;weather	nongold
69	humidity is a property of  weather and include ordered values of dry; humid	nongold
70	wind speed is a property of weather	nongold
71	meters;centimeters;kilometers are used to describe distance; describe length	nongold
72	front is a property of weather and includes unordered values of warm front; cold front; stationary front; occluded front	nongold
73	a planet is a kind of location	nongold
74	extreme means very high in value	nongold
75	liquid is a kind of state of matter	nongold
76	observations; data are a part of the results of an experiment	nongold
77	storm is a kind of weather; weather event	nongold
78	to observe means to gather information	nongold
79	a decrease is a kind of change	nongold
80	Earth is a kind of planet	nongold
81	to reduce means to decrease	nongold
82	phase means state	nongold
83	to a  human a air; environment temperature of 21 C to 28 C is considered warm	nongold
84	clear weather means sunny; not cloudy; not rainy weather	nongold
85	temperature  is a property of air mass and includes ordered values of cold; warm	nongold
86	events occur at a specific place; at a specific time; with a specific frequency	nongold
87	if something is caused by something else , then that something can be explained by that something else	nongold
88	getting information sometimes requires observing; observation	nongold
89	wind direction is a property of weather	nongold
90	gas is a kind of state of matter	nongold
91	summer has hot temperatures; weather	nongold
92	an event is a kind of action	nongold
93	to change means to cause a change	nongold
94	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
95	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
96	a surface is a part of an object	nongold
97	windy is a kind of weather	nongold
98	matter; materials; substances are made of atoms; particles	nongold
99	objects are made of materials; substances; matter	nongold
