Question	A meteoroid becomes a meteorite when it	question
Answer	impacts the surface of a planet.	answer
0	a meteorite is formed by a meteoroid impacting the surface of a planet	gold
1	a meteoroid is a kind of meteor	nongold
2	impact means effect	nongold
3	becoming is similar to changing	nongold
4	a surface is a part of an object	nongold
5	becoming is similar to forming	nongold
6	a planet is a kind of celestial object; body	nongold
7	a meteoroid is a kind of clestial object	nongold
8	a surface is a kind of object	nongold
9	a surface is a part of a material	nongold
10	change is a kind of impact	nongold
11	to impact means to affect	nongold
12	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
13	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
14	becoming is a kind of action	nongold
15	when a meteor enters Earth's atmosphere , the air in front of the meteor compresses	nongold
16	an asteroid impact is a kind of event	nongold
17	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
18	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
19	a living thing is a kind of object	nongold
20	extreme means very high in value	nongold
21	answering questions requires information	nongold
22	usually craters on planets; craters on moons are formed by asteroids;meteoroids impacting that planet or moon's surface	nongold
23	events occur at a specific place; at a specific time; with a specific frequency	nongold
24	a type is synonymous with a kind	nongold
25	form means kind	nongold
26	Earth's surface is made of rock	nongold
27	rain is a kind of precipitation	nongold
28	a motion is a kind of event; action	nongold
29	the ground means Earth's surface	nongold
30	shooting star is synonymous with meteor	nongold
31	damage has a negative impact on a thing	nongold
32	high is similar to increase	nongold
33	creating is similar to causing	nongold
34	low is similar to decrease	nongold
35	affected means changed	nongold
36	objects are made of materials; substances; matter	nongold
37	Earth is a kind of planet	nongold
38	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
39	to give is similar to to cause	nongold
40	to turn means to change	nongold
41	motion is when moves an object; something to a direction	nongold
42	material means substance	nongold
43	shooting stars occur when small meteoroids enter Earth's atmosphere	nongold
44	composed of means made of	nongold
45	to happen means to occur	nongold
46	to add means to increase	nongold
47	to slow; to slow down decreases speed	nongold
48	hailing is when hail fall from clouds to the Earth;ground	nongold
49	something that happens is a kind of event	nongold
50	influence means impact	nongold
51	to be formed by is similar to being produced by	nongold
52	temperature is a measure of heat energy	nongold
53	exploding is similar to explosion	nongold
54	greatest means largest; highest; most amount of something	nongold
55	to cause means to make	nongold
56	to lower means to decrease	nongold
57	no longer means used to be	nongold
58	to change means to cause a change	nongold
59	intense means extreme	nongold
60	lowest means least in value; amount; number	nongold
61	to cause is similar to bring	nongold
62	death means to die	nongold
63	harming something has a  negative impact on; effect on that something	nongold
64	an object is made of its parts	nongold
65	a container contains objects; material; substances	nongold
66	low means down	nongold
67	an animal is a kind of living thing	nongold
68	furthest; farthest means greatest; most; highest in distance	nongold
69	a process is a kind of event	nongold
70	if something exists on a surface then that surface contains that something	nongold
71	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
72	to cause an event is similar to being involved in that event	nongold
73	producing is similar to causing	nongold
74	a planet contains environments	nongold
75	to convert means to change	nongold
76	landform means surface feature; physical feature; land feature	nongold
77	a planet is a kind of place	nongold
78	can be means able to be	nongold
79	an increase is the opposite of a decrease	nongold
80	a  solution  is a kind of object	nongold
81	a planet is a kind of location	nongold
82	an increase is a kind of change	nongold
83	less is similar to decrease	nongold
84	an organism is a living thing	nongold
85	a rock is a kind of object	nongold
86	motion; movement means moving; to move	nongold
87	precipitation is a kind of natural occurrence; cause	nongold
88	hail is a kind of precipitation; ice	nongold
89	due to means caused by	nongold
90	producing is similar to discharging	nongold
91	damage means harm	nongold
92	a component means a part of	nongold
93	a producer is a kind of living thing	nongold
94	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
95	to cause means to have an effect	nongold
96	heat means heat energy	nongold
97	make means produce	nongold
98	hypothesis means scientific guess about the cause and effect of an event	nongold
99	a change is a kind of event	nongold
