Question	A scientist studies the remains of two extinct animals to learn more about how they lived. She determines that one animal was a carnivore and the other was an herbivore. Which of the following did the scientist most likely compare to make this conclusion?	question
Answer	the skull of the animals	answer
0	carnivores; omnivores; herbivores are a kind of animal	nongold
1	the skull of an animal can be used to determine if that animal was a carnivore or an herbivore	gold
2	if an animal eats another animal then that animal is a carnivore or omnivore or predator	nongold
3	carnivores; omnivores are predators	nongold
4	many animals are herbivores	nongold
5	predators; carnivores; omnivores eat other animals	nongold
6	a scientist is a kind of human	nongold
7	comparing requires observing that something	nongold
8	to conclude means to make a conclusion	nongold
9	an organism is a living thing	nongold
10	a living thing is a kind of object	nongold
11	a reptile is a kind of animal	nongold
12	an animal is a kind of living thing	nongold
13	herbivores only eat plants	nongold
14	an animal is a member of an animal species	nongold
15	carnivores only eat animals	nongold
16	remains mean parts of a dead organism	nongold
17	comparing requires measuring	nongold
18	an animal is a kind of organism	nongold
19	a mammal is a kind of animal	nongold
20	scientists make observations	nongold
21	both means two	nongold
22	a plant is a kind of living thing	nongold
23	remains is similar to dead organisms	nongold
24	researcher is a kind of scientist	nongold
25	a dinosaur is a kind of extinct animal	nongold
26	if a fossil is of an organism that cannot be identified then that organism is probably extinct	nongold
27	studying fossils is used to learn about organisms from long ago	nongold
28	omnivores eat plants; animals	nongold
29	determining is similar to learning	nongold
30	a biologist is a kind of scientist	nongold
31	a structure of something is synonymous with a part of that something	nongold
32	making a valid conclusion in an investigation requires a testable hypothesis	nongold
33	a dinosaur is a kind of reptile	nongold
34	comparing skeletons of an animal that lived long ago and skeletons of the same species of animal that lived recently can be used to show the evolution of that species	nongold
35	a plant is a kind of organism	nongold
36	conclusions can be drawn about changes in organisms over time by determining the age of fossils of those organisms	nongold
37	fossil means preserved remains of ancient organisms	nongold
38	herbivore means first-level consumer	nongold
39	a rabbit is a kind of herbivore	nongold
40	live means to be alive	nongold
41	if a living thing dies then that living thing is dead	nongold
42	classifying requires comparing	nongold
43	a mouse is a kind of herbivore	nongold
44	if a species existed for a relatively short time then that species is now extinct	nongold
45	concluding is a kind of action	nongold
46	the head is a part of an animal	nongold
47	determining the type of an organism requires having information about that organism	nongold
48	life means living things	nongold
49	learning about something sometimes requires observing that something	nongold
50	an amphibian is a kind of animal	nongold
51	research is used for learning	nongold
52	if an object is made of something then the parts of that object are made of that something	nongold
53	determining often requires measuring; observing	nongold
54	a reptile is a kind of vertebrate	nongold
55	organisms mean life	nongold
56	a cat is a kind of carnivore	nongold
57	an object is made of its parts	nongold
58	a human is a kind of mammal	nongold
59	to cause an event means to make that event more likely	nongold
60	a squirrel is a kind of herbivore	nongold
61	a scientific inference is a kind of explanation based on facts that is not a direct observation	nongold
62	an animal; living thing requires nutrients for survival	nongold
63	killing means changing a living thing from alive to dead by harming	nongold
64	often is similar to likely	nongold
65	an amphibian is a kind of vertebrate	nongold
66	a deer is a kind of herbivore	nongold
67	a reptile is cold-blooded	nongold
68	mammals is a kind of class	nongold
69	to cause means to make	nongold
70	a human is a kind of animal	nongold
71	a bird is a kind of living thing	nongold
72	answering questions requires information	nongold
73	a hypothesis is a kind of scientific term	nongold
74	a predator is a kind of animal	nongold
75	studying  something usually requires seeing that something	nongold
76	preserved means from the past; from long ago	nongold
77	a worm is a kind of living thing	nongold
78	killing means harming something causing death	nongold
79	investigating the life cycle of a living thing requires that living thing to be alive	nongold
80	hypothesis means scientific guess about the cause and effect of an event	nongold
81	death means to die	nongold
82	studying is similar to observing	nongold
83	nonliving; non-living; die is the opposite of living; alive; live	nongold
84	eating an animal; a plant means killing that animal; that plant	nongold
85	a plant; living thing requires food for survival	nongold
86	to study means to examine	nongold
87	an part of an object is smaller than the entire object	nongold
88	the body is a part of an organism	nongold
89	if studying something is used to learn about something then that something is a source of information	nongold
90	determine is similar to cause	nongold
91	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
92	each is similar to individual	nongold
93	a decomposer is a kind of living thing	nongold
94	a plant is a member of a plant species	nongold
95	all living things have life cycles	nongold
96	a part of a living thing is a natural structure	nongold
97	a body part is a kind of object	nongold
98	killing a living thing decreases the number; population size of that living thing	nongold
99	affected means changed	nongold
