Question	Which of the following is most likely to make a rock crack and crumble?	question
Answer	water freezing in a crack in the rock	answer
0	a crack is a kind of opening	gold
1	when something breaks , a crack may form in that something	nongold
2	crumble means break down	nongold
3	ice wedging is when ice causes rocks to crack by expanding in openings	gold
4	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	gold
5	water is a kind of liquid at room temperature	gold
6	ice is a kind of solid	nongold
7	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	gold
8	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
9	freezing causes a solid to form	nongold
10	frozen means solid	nongold
11	to cause means to make	gold
12	water is a kind of substance	nongold
13	a rock is usually a solid	nongold
14	cycles of freezing and thawing water cause ice wedging	gold
15	freezing means cold temperatures	nongold
16	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
17	temperature is a measure of heat energy	nongold
18	liquid is a kind of state of matter	nongold
19	freezing is a kind of phase change	nongold
20	water is a kind of matter	nongold
21	colder; cooler means lower in temperature	nongold
22	a liquid is a kind of substance	nongold
23	to create means to make	nongold
24	solid is a kind of state of matter	nongold
25	heat means heat energy	nongold
26	to add means to increase	nongold
27	a rock is a kind of object	nongold
28	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
29	to make means to form	nongold
30	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
31	rock means stone	nongold
32	creating means making	nongold
33	substances are made of matter	nongold
34	liquid water cooling causes that liquid water to freeze	nongold
35	an increase is a kind of change	nongold
36	cracking something may cause that something  to break apart	nongold
37	something in a cold place becomes cold	nongold
38	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
39	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
40	moisture means liquid; liquid water	nongold
41	cracking something usually has a negative impact on that something	nongold
42	materials are made of matter	nongold
43	rock is a kind of material	nongold
44	a solid is a kind of substance	nongold
45	to lower means to decrease	nongold
46	cool means cold	nongold
47	ice is cold in temperature	nongold
48	make means produce	nongold
49	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
50	ice is a kind of object	nongold
51	ice is colder than water in temperature	nongold
52	objects are made of materials; substances; matter	nongold
53	ice wedging is a kind of mechanical weathering	nongold
54	to change means to cause a change	nongold
55	to break down means to break into smaller pieces	nongold
56	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
57	cold means low in temperature	nongold
58	high is similar to increase	nongold
59	a source of something emits; produces; generates; provides that something	nongold
60	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
61	a body of water contains water	nongold
62	to form means to create	nongold
63	composed of means made of	nongold
64	to be made of something means to be formed of that something	nongold
65	to be formed by is similar to being produced by	nongold
66	break down means change from a whole into pieces	nongold
67	snow is a kind of ice	nongold
68	water expanding when it freezes is a physical property of water	nongold
69	to increase is similar to to create	nongold
70	can be means able to be	nongold
71	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
72	to produce means to create	nongold
73	mass has no impact on boiling; melting; freezing point	nongold
74	heat energy can change the state of matter	nongold
75	to cause an event means to make that event more likely	nongold
76	thawing is similar to melting	nongold
77	high temperatures can cause an object to combust	nongold
78	to be a source of something means to cause that something	nongold
79	to turn means to change	nongold
80	ice crystals means  ice	nongold
81	to change into means to form	nongold
82	a metal is usually a solid at room temperature	nongold
83	breaking down is a kind of forming	nongold
84	water is a kind of object	nongold
85	to give off means to be the source of	nongold
86	a decrease is a kind of change	nongold
87	form means kind	nongold
88	if something releases something else then that something is the source of that something else	nongold
89	frost is a kind of solid water	nongold
90	cooling means temperature decreases	nongold
91	to reduce means to decrease	nongold
92	to make means to invent	nongold
93	creating is similar to causing	nongold
94	give off is similar to make	nongold
95	a phase change is a kind of physical change	nongold
96	heat means temperature increases	nongold
97	a body of water is a kind of environment	nongold
98	icy means made of ice	nongold
99	if something is in something , then something is exposed to something	nongold
