Question	At what temperature is water most likely to be in vapor form?	question
Answer	120°C	answer
0	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	gold
1	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
2	vapor is synonymous with gas	nongold
3	water is a kind of liquid at room temperature	nongold
4	water is a kind of substance	nongold
5	water is a kind of matter	nongold
6	temperature is a measure of heat energy	nongold
7	form means kind	nongold
8	state means form	gold
9	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
10	liquid is a kind of state of matter	nongold
11	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
12	gas is a kind of state of matter	nongold
13	a liquid is a kind of substance	nongold
14	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
15	gas is a kind of substance	nongold
16	the boiling point of water is 212F; 100C; 373K	nongold
17	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
18	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
19	gaseous means of gas	nongold
20	heat means heat energy	nongold
21	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
22	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
23	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
24	to add means to increase	nongold
25	the atmosphere contains gases; liquids; solids	nongold
26	boiling is a kind of phase change	nongold
27	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
28	liquid; solid means nongaseous	nongold
29	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
30	melting is a kind of phase change	nongold
31	heating means adding heat	nongold
32	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
33	phase means state	nongold
34	moisture means liquid; liquid water	nongold
35	to exhale means to release	nongold
36	adding heat means increasing temperature	nongold
37	carbon dioxide is a kind of gas	nongold
38	breath contains water vapor	nongold
39	heat energy can change the state of matter	nongold
40	solid is a kind of state of matter	nongold
41	to be made of something means to be formed of that something	nongold
42	condensing causes a liquid to form	nongold
43	substances are made of matter	nongold
44	water vapor is found in the atmosphere	nongold
45	water is a kind of water phase	nongold
46	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
47	to change into means to form	nongold
48	formation of a state of matter is a kind of process	nongold
49	evaporating is a kind of phase change	nongold
50	freezing is a kind of phase change	nongold
51	steam;water vapor is a kind of water above 100 degrees celsius	nongold
52	water contains dissolved oxygen	nongold
53	high is similar to increase	nongold
54	steam; water vapor is a kind of water phase	nongold
55	to be formed by is similar to being produced by	nongold
56	temperature changing can cause phase changes	nongold
57	state of matter means physical state	nongold
58	an increase is a kind of change	nongold
59	forming something is a kind of change	nongold
60	water is a kind of object	nongold
61	a solution is formed by one substance being dissolved in another substance	nongold
62	to change means to cause a change	nongold
63	heat means temperature increases	nongold
64	to make means to form	nongold
65	a  gas is a kind of  element	nongold
66	water vapor;steam cooling causes that water vapor;steam to condense	nongold
67	physical state means state of matter	nongold
68	forming is similar to converting	nongold
69	gas is a kind of material	nongold
70	materials are made of matter	nongold
71	gas is a kind of object	nongold
72	to lower means to decrease	nongold
73	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
74	air is a kind of gas	nongold
75	affected means changed	nongold
76	variable means able to change	nongold
77	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
78	a decrease is a kind of change	nongold
79	composed of means made of	nongold
80	melting point is a property of a substance; material	nongold
81	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
82	condensing is when gasses are  cooled below their boiling point	nongold
83	Earth contains water; ice; (steam, water vapor)	nongold
84	an increase is the opposite of a decrease	nongold
85	atmosphere means  air	nongold
86	air temperature is a kind of temperature	nongold
87	can be means able to be	nongold
88	water is a kind of compound	nongold
89	if something is soluble in something , then that something can be dissolved in something forming a solution	nongold
90	a liquid is a kind of fluid	nongold
91	objects are made of materials; substances; matter	nongold
92	air is a kind of matter	nongold
93	to form means to create	nongold
94	extreme means very high in value	nongold
95	to reduce means to decrease	nongold
96	a solution is made of one substance dissolved in another substance	nongold
97	solution is a kind of liquid	nongold
98	chemical reactions cause new substances; different substances to form	nongold
99	combustion is a kind of chemical change	nongold
