Question	Which would a scientist use in trying to model the cause of planetary years?	question
Answer	a planet's distance from the Sun	answer
0	a planet's distance from the star causes the length of a planetary year	gold
1	as the distance of a planet from the star  it orbits increases , the length of a planetary year on that planet will increase	gold
2	years are a kind of unit for measuring time	nongold
3	light years ( ly ) are a  astronomy unit used for measuring length; distance generally used for values between 1.0 and 27000000000.0	nongold
4	a light-year is used for describing long distances	nongold
5	a planet completes one orbit around its star over a period of one planetary year	nongold
6	the Sun is a kind of star	gold
7	years ( y ) are a  metric unit used for measuring time generally used for values between 1.0 and 14000000000.0	nongold
8	a planet is a kind of celestial object; body	nongold
9	a scientist is a kind of human	nongold
10	light year is a measure of the distance light travels in one year	nongold
11	astronomy is the study of celestial (objects, bodies)	nongold
12	stars are located light years apart from each other	nongold
13	planets in the solar system orbit the Sun	nongold
14	planets orbit stars	nongold
15	gravity causes orbits	nongold
16	Earth is a kind of planet	nongold
17	a moon is a kind of celestial object; body	nongold
18	to a human a time period of 1000 years or more years is considered very long	nongold
19	a star is a kind of celestial object; celestial body	nongold
20	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
21	furthest; farthest means greatest; most; highest in distance	nongold
22	moons orbit planets	nongold
23	to be a source of something means to cause that something	nongold
24	a Periodic Table is a kind of scientific  model	nongold
25	the moon orbiting the Earth occurs approximately 13 times per year	nongold
26	a planet rotating causes cycles of day and night on that planet	nongold
27	revolving  around something means orbiting that something	nongold
28	planets have cleared their orbits	nongold
29	astronomical unit is a measure of distance between Earth and the Sun	nongold
30	the sun is a kind of yellow dwarf	nongold
31	the sun rising and setting causes cycles of day and night	nongold
32	the Earth revolves around the sun	nongold
33	planetary orbits are mostly elliptical	nongold
34	to cause means to result in	nongold
35	an event is a kind of action	nongold
36	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
37	if something is caused by something else , then that something can be explained by that something else	nongold
38	a source of something emits; produces; generates; provides that something	nongold
39	1 year is equal to 365 days	nongold
40	the moon orbits the Earth	nongold
41	as distance from a source of something increases , that something will decrease	nongold
42	a star is usually larger than a planet	nongold
43	cycles of day and night occur once per day	nongold
44	sunlight is a kind of light	nongold
45	the sun setting is a kind of event	nongold
46	a planet's  moon is smaller than that planet	nongold
47	Neptune has the longest solar year; planetary year in the solar system	nongold
48	a motion is a kind of event; action	nongold
49	causing means influencing	nongold
50	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
51	to change means to cause a change	nongold
52	causing is a kind of affecting	nongold
53	Mars is a kind of planet	nongold
54	the properties of something are used for describing that something	nongold
55	to cause something means to contribute to that something happening	nongold
56	distant means great in distance	nongold
57	to try means to make an effort	nongold
58	measuring is used for describing an object	nongold
59	a planet is a kind of location	nongold
60	scientists make observations	nongold
61	a cause of something is a reason for that something	nongold
62	can be means able to be	nongold
63	the sun  is the source of energy for physical cycles on Earth	nongold
64	the Sun is the  star that is closest to Earth	nongold
65	a physicist is a kind of scientist	nongold
66	astronomy is a kind of branch of science	nongold
67	as distance from an object decreases , the the pull of gravity on that object increases	nongold
68	the sun is the source of solar energy called sunlight	nongold
69	an animal is a kind of living thing	nongold
70	orbit means orbital path	nongold
71	affected means changed	nongold
72	moons; comets; planets are part of the solar system	nongold
73	due to means caused by	nongold
74	an increase is a kind of change	nongold
75	the sun is a source of light; light energy called sunlight	nongold
76	the Moon is Earth's moon	nongold
77	events occur at a specific place; at a specific time; with a specific frequency	nongold
78	a white dwarf is a kind of star	nongold
79	to cause means to have an effect	nongold
80	annual means once per year	nongold
81	length of time means period of time	nongold
82	a cycle happens; occurs repeatedly	nongold
83	a yellow dwarf is a kind of main-sequence star	nongold
84	a change is a kind of event	nongold
85	small stars burn for billions of years	nongold
86	decades are a kind of unit for measuring time	nongold
87	a process is a kind of event	nongold
88	Saturn is a kind of planet	nongold
89	far means great in distance	nongold
90	a kind of something is an example of that something	nongold
91	the mass of a planet causes the pull of gravity on that planet	nongold
92	a living thing is a kind of object	nongold
93	a star is a source of light; light energy through nuclear reactions	nongold
94	the sun rising is a kind of event	nongold
95	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
96	according to is similar to be determined by	nongold
97	Tuesday is a kind of  time	nongold
98	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
99	astronomical body means celestial body	nongold
