Question	Which of the following statements best explains why the tilt of Earth on its axis causes summer to be warmer than winter in the Northern Hemisphere?	question
Answer	The rays of the Sun strike the Northern Hemisphere more directly in the summer.	answer
0	summer is when a hemisphere is tilted towards the sun	gold
1	Earth's tilt on its rotating axis causes seasons to change; to occur	nongold
2	the tilt of Earth's axis causes certain latitudes of Earth to be heated at a greater rate	nongold
3	winter is when a hemisphere is tilted away from the sun	nongold
4	rays of the sun means sunlight	gold
5	the Earth being tilted on its rotating axis causes seasons	gold
6	when a hemisphere is tilted towards the sun , that hemisphere receives more direct sunlight	gold
7	summer is a kind of season	gold
8	warmer means greater; higher in temperature; warmth	gold
9	the Northern Hemisphere is a kind of hemisphere of Earth	nongold
10	the Earth being tilted on its axis causes one side of the Earth; one hemisphere to receive less energy from the Sun than the other side	nongold
11	summer has hot temperatures; weather	nongold
12	winter is the opposite of summer	nongold
13	winter in a hemisphere occurs when the Pole located in that hemisphere is tilted away from the Sun	nongold
14	the Southern Hemisphere is a kind of hemisphere of Earth	nongold
15	when a hemisphere is tilted away from the sun , that hemisphere receives less direct sunlight	nongold
16	winter in the Northern Hemisphere is during the summer in the Southern Hemisphere	nongold
17	a hemisphere is a part of Earth	nongold
18	winter has cold temperatures;weather	nongold
19	colder; cooler means lower in temperature	nongold
20	temperature is a measure of heat energy	nongold
21	the Earth rotates on its axis	nongold
22	summer has the most sunlight	nongold
23	winter in the Southern Hemisphere is during the summer in the Nouthern Hemisphere	nongold
24	the sun is a source of radiation; heat called sunlight	nongold
25	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
26	winter is a kind of season	nongold
27	summer follows spring	nongold
28	cooler means colder	nongold
29	cold means low in temperature	nongold
30	increase means more	gold
31	as distance from the equator decreases , the climate will become warmer	nongold
32	the Western Hemisphere is a kind of hemisphere of Earth	nongold
33	heat means temperature increases	gold
34	spring has warm temperatures; weather	nongold
35	an increase is the opposite of a decrease	nongold
36	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
37	the Eastern Hemisphere is a kind of hemisphere of Earth	nongold
38	winter means environmental; outdoor temperature decreases	nongold
39	winter is a part of the year	nongold
40	Earth's angle of tilt causes the length of day and night to vary	nongold
41	temperature is a property of weather	nongold
42	closer means lower; less; a decrease in distance	nongold
43	the Southern Hemisphere is located south of the Northern Hemisphere	nongold
44	best means most positive	nongold
45	to lower means to decrease	nongold
46	Earth is a kind of planet	nongold
47	latitude is a property of a location; place on Earth	nongold
48	Earth orbiting the Sun causes seasons to change	nongold
49	the sun rises in the east	nongold
50	an increase is a kind of change	nongold
51	north is the opposite of south	nongold
52	to reduce means to decrease	nongold
53	the Sun is a kind of star	nongold
54	the sun is a source of light; light energy called sunlight	nongold
55	high is similar to increase	nongold
56	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
57	heat means heat energy	nongold
58	striking is a kind of movement	nongold
59	temperature rise means become warmer	nongold
60	every summer  is a kind of period of time	nongold
61	a hemisphere is a kind of place	nongold
62	spring follows winter	nongold
63	something in a cold place becomes cold	nongold
64	as the sun sets , the temperature will decrease	nongold
65	a source of something increases the amount of that something	nongold
66	spring is a kind of season	nongold
67	a decrease is a kind of change	nongold
68	warm up means increase temperature	nongold
69	the sun sets in the west	nongold
70	sunlight produces heat	nongold
71	warm means warm temperature	nongold
72	cold is a kind of weather	nongold
73	to add means to increase	nongold
74	a half of Earth is a hemisphere of Earth	nongold
75	season is a major yearly temperature change	nongold
76	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
77	toward is the opposite of away	nongold
78	setting is a kind of motion	nongold
79	sunlight is a kind of solar energy	nongold
80	low is similar to decrease	nongold
81	north; northward is a kind of direction	nongold
82	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
83	when sunlight strikes something , that something receives sunlight	gold
84	variable means able to change	nongold
85	as a person in the northern hemisphere moves south , distance from the equator will decrease	nongold
86	far is the opposite of close	nongold
87	less is similar to decrease	nongold
88	near; close is the opposite of far; away	nongold
89	to change means to become different	nongold
90	the arctic  environment usually is cold in  temperature from being at a northern lattitude	nongold
91	seasons cause change to the environment	nongold
92	Autumn is a kind of season	nongold
93	to cause is similar to bring	nongold
94	warm is the opposite of cool	nongold
95	hot means high in heat energy; temperature	nongold
96	the sun is the source of solar energy called sunlight	nongold
97	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
98	to hit means to strike	nongold
99	to vary means to change	nongold
