Question	Coal and trees are resources found in Maryland. Both resources are used for	question
Answer	producing heat	answer
0	coal is used for generating heat by burning	gold
1	a source of something emits; produces; generates; provides that something	nongold
2	burning wood is used to produce heat	gold
3	using coal requires burning coal	nongold
4	emit means produce	nongold
5	coal is a kind of fossil fuel	nongold
6	trees are a kind of resource	nongold
7	coal is a kind of fuel	nongold
8	to produce means to provide	nongold
9	a tree is a kind of plant	nongold
10	Maryland is a state located in the United States of America	nongold
11	trees are a renewable resource	gold
12	Maryland is a kind of region	nongold
13	coal is a nonrenewable resource	nongold
14	green plants are a kind of producer	nongold
15	a fossil fuel is a kind of natural resource	nongold
16	coal is a kind of object	nongold
17	plants are a kind of resource	nongold
18	trees are a kind of natural resource	nongold
19	natural gas is a source of heat by burning	nongold
20	wood is a kind of resource	nongold
21	generate means produce	gold
22	natural gas is used for generating heat by burning in a furnace; in a stove	nongold
23	wood is a renewable resource	nongold
24	make means produce	nongold
25	a producer is a kind of living thing	nongold
26	producing is a kind of process	nongold
27	natural gas is a kind of fossil fuel	nongold
28	natural gas is a nonrenewable resource	nongold
29	converting is similar to producing	nongold
30	a coal mine is a source of coal under the ground	nongold
31	to be used for something means to be required by that something	nongold
32	fossil fuels are a nonrenewable resource	nongold
33	oil is a kind of fossil fuel	nongold
34	oil is a nonrenewable resource	nongold
35	a tree contains wood	gold
36	to be found in means to be contained in	nongold
37	a renewable resource is a kind of natural resource	nongold
38	a tree is a kind of living thing	nongold
39	heat means heat energy	nongold
40	wood is a kind of energy resource	nongold
41	renewable is the opposite of nonrenewable	nongold
42	coal is used to produce electricity by burning in coal-fire power stations	nongold
43	natural resources are found in nature	nongold
44	a renewable resource is a kind of naturally replaced resource	nongold
45	coal is a kind of rock	nongold
46	fossil fuels are a kind of energy resource	nongold
47	heat energy is synonymous with thermal energy	nongold
48	petroleum is a kind of fossil fuel	nongold
49	temperature is a measure of heat energy	nongold
50	to contribute is similar to produce	nongold
51	found in means existing in	nongold
52	forming coal; fossil fuels requires decaying vegetation	nongold
53	producing is similar to causing	nongold
54	if something is a part of something then that something can be found in that something	nongold
55	producing renewable electric energy requires renewable resources	nongold
56	a source of heat can be used to heat something	nongold
57	a source of heat can be used to heat something	nongold
58	to be formed by is similar to being produced by	nongold
59	providing something means making;delivering something	nongold
60	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
61	wood burns	nongold
62	to produce means to create	nongold
63	to provide something means to be the source of that something	nongold
64	an inexhaustible resource is a kind of renewable resource	nongold
65	timber companies cut down trees	nongold
66	being buried under soil and mud changes peat into coal through extreme heat and pressure in a swamp over a long period of time	nongold
67	wood is a kind of natural material	nongold
68	wood is a kind of object	nongold
69	roots are a part of a plant; tree	nongold
70	heating means adding heat	nongold
71	fossil fuels have high potential energy	nongold
72	to produce means to result in	nongold
73	fossil fuel contains chemical energy	nongold
74	plants are a part of the environment	nongold
75	producing is a kind of function	nongold
76	products are formed; are produced; are created	nongold
77	fire causes burning	nongold
78	a plant is a kind of living thing	nongold
79	alternative fuel is usually a renewable resource	nongold
80	a material is a kind of resource	nongold
81	processes sometimes produce waste products	nongold
82	if something is a raw material in a process then that something is required for that process	nongold
83	if something is powered by something else then that something requires a source of that something else	nongold
84	producing is similar to releasing	nongold
85	a producer is a source of energy for consumers	nongold
86	if something causes a process then that something is required for that process	nongold
87	burning coal is a source of air pollution	nongold
88	consumption means use	nongold
89	plants are a source of biofuel	nongold
90	a plant is a kind of organism	nongold
91	to give off means to be the source of	nongold
92	renewable resources can be used over again	nongold
93	coal; uranium is acquired by mining the lithosphere	nongold
94	resources sometimes are used for energy	nongold
95	produce is similar to release	nongold
96	a hot; warm something is a source of heat	nongold
97	a forest is a kind of environment	nongold
98	wood is a thermal; thermal energy insulator	nongold
99	where something  comes from is a source of that something	nongold
