Question	In humans, the amount of sugar in blood is controlled by the release of a hormone called insulin. This process is an example of	question
Answer	regulation	answer
0	An example of biological regulation is insulin being released to control the amount of sugar in blood	gold
1	a kind of something is an example of that something	nongold
2	the amount of sugar in blood is a part of an animal's internal environment	gold
3	determining is similar to controlling	nongold
4	regulating is a kind of function	nongold
5	glucose is a kind of substance	nongold
6	a human is a kind of animal	gold
7	producing is similar to releasing	nongold
8	to emit means to release	nongold
9	converting is similar to releasing	nongold
10	to regulate means to maintain the speed of a process	nongold
11	sugar is a kind of pure substance	nongold
12	human is a kind of organism	nongold
13	hormones regulate body functions	nongold
14	an organism breaks down sugar to release energy	nongold
15	an animal is a kind of organism	gold
16	a reaction is a kind of process	nongold
17	produce is similar to release	nongold
18	sugar is a kind of food	nongold
19	an animal's brain controls that animal	nongold
20	controlling is a kind of function	nongold
21	if something releases something else then that something is the source of that something else	nongold
22	sugary means high in sugar	nongold
23	producing is a kind of process	nongold
24	change is a kind of process	nongold
25	maintain is similar to control	gold
26	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
27	carbohydrates are made of sugars	nongold
28	can be means able to be	nongold
29	a process usually requires all of the stages in that process	nongold
30	high is similar to increase	nongold
31	if something causes a process then that something is required for that process	nongold
32	to add means to increase	nongold
33	sugar is a kind of solid	nongold
34	an increase is the opposite of a decrease	nongold
35	allowing is a kind of controlling	nongold
36	an increase is a kind of change	nongold
37	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
38	causing means influencing	nongold
39	variable means able to change	nongold
40	a part of a process means a stage in a process	nongold
41	to happen means to occur	nongold
42	affected means changed	nongold
43	if something releases something else then that something else decreases in that something	nongold
44	coordinate is similar to control	nongold
45	level is similar to amount; quantity	nongold
46	quantity means amount	nongold
47	answering questions requires information	nongold
48	to slow; to slow down decreases speed	nongold
49	regulation is when an organism maintains a stable internal environment	gold
50	a source of something emits; produces; generates; provides that something	nongold
51	ATP is formed by the breakdown of molecules of glucose	nongold
52	an animal is a kind of living thing	nongold
53	to change means to have an effect	nongold
54	if something is made by something else then that something is affected by that something else	nongold
55	a human is a kind of mammal	nongold
56	a source of something increases the amount of that something	nongold
57	a process is a kind of event	nongold
58	sugar is a kind of  simple carbohydrate	nongold
59	greatest means largest; highest; most amount of something	nongold
60	an organism is a living thing	nongold
61	to be used for something means to be required by that something	nongold
62	table sugar is a kind of sugar	nongold
63	the brain can control animal body through the nervous system	nongold
64	converting is similar to producing	nongold
65	a cycle is a kind of process	nongold
66	some hormones regulate growth	nongold
67	a step in a process means a stage in a process	nongold
68	releasing energy is a kind of function	nongold
69	faster means increased rate	nongold
70	having an impact on something means altering that something	nongold
71	concentration means amount	nongold
72	a decrease is a kind of change	nongold
73	to give off means to be the source of	nongold
74	if something causes an increase in something else then that something produces that something else	nongold
75	form means kind	nongold
76	if something emits something else then that something increases the amount of that something else	nongold
77	the formation of something is a kind of process	nongold
78	to lower means to decrease	nongold
79	the function of something is what that something  is used to do	nongold
80	to cause means to have an effect	nongold
81	if an organism produces a substance then that organism has a gene that controls the production of that substance	nongold
82	causing is a kind of affecting	nongold
83	cell activity means cell process	nongold
84	the body is a part of an organism	nongold
85	emit means produce	nongold
86	producing is similar to causing	nongold
87	action means activity	nongold
88	a producer is a source of sugar; food energy in an ecosystem	nongold
89	increase means more	nongold
90	human is similar to individual	nongold
91	a type is synonymous with a kind	nongold
92	impact means effect	nongold
93	if something is required for a process then that something positively impacts that process	nongold
94	to modify means to change	nongold
95	low is similar to decrease	nongold
96	causing is a kind of function	nongold
97	the nervous system is the vehicle for controlling the body	nongold
98	to provide something means to be the source of that something	nongold
99	must have means require	nongold
