Question	Which of these statements about nonrenewable resources is true?	question
Answer	They can take millions of years to form.	answer
0	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	gold
1	renewable is the opposite of nonrenewable	nongold
2	form means kind	nongold
3	fossil fuels are a nonrenewable resource	nongold
4	years are a kind of unit for measuring time	nongold
5	decades are a kind of unit for measuring time	nongold
6	a billion is a kind of  number	nongold
7	to be made of something means to be formed of that something	nongold
8	to form means to create	nongold
9	a nonrenewable resource is limited in supply	nongold
10	centuries are a kind of unit for measuring time	nongold
11	to make means to form	nongold
12	an inexhaustible resource is a kind of renewable resource	nongold
13	a fossil fuel is a kind of natural resource	nongold
14	nonrenewable resources will eventually be depleted	nongold
15	natural gas is a nonrenewable resource	nongold
16	state means form	nongold
17	a renewable resource is a kind of natural resource	nongold
18	to change into means to form	nongold
19	metal is a nonrenewable resource	nongold
20	how long something takes is a kind of measurement of time	nongold
21	to cause the formation of means to form	nongold
22	a renewable resource is a kind of naturally replaced resource	nongold
23	recycling resources; nonrenewable resources has a  positive impact on the environment; conservation of those resources	nongold
24	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
25	years ( y ) are a  metric unit used for measuring time generally used for values between 1.0 and 14000000000.0	nongold
26	fossil fuels are a kind of energy resource	nongold
27	forming something is a kind of change	nongold
28	renewable resources are often available for many years	nongold
29	can be means able to be	nongold
30	to a human a time period of 1000 years or more years is considered very long	nongold
31	products are formed; are produced; are created	nongold
32	oil is a nonrenewable resource	nongold
33	to generate means to form	nongold
34	length of time means period of time	nongold
35	greatest means largest; highest; most amount of something	nongold
36	a measure of time is a length of time	nongold
37	to add means to increase	nongold
38	to be formed by is similar to being produced by	nongold
39	a source of something emits; produces; generates; provides that something	nongold
40	a type is synonymous with a kind	nongold
41	high is similar to increase	nongold
42	to create means to make	nongold
43	if use of a nonrenewable resources increases then the nonrenewable resource will be depleted	nongold
44	1 year is equal to 12 months	nongold
45	affected means changed	nongold
46	make means produce	nongold
47	extreme means very high in value	nongold
48	the formation of something is a kind of process	nongold
49	aluminum is a nonrenewable resource	nongold
50	largest amount means most	nongold
51	plastic is a nonrenewable resource	nongold
52	period is similar to amount of time	nongold
53	quickly means in a short period of time	nongold
54	emit means produce	nongold
55	to produce means to create	nongold
56	an increase is a kind of change	nongold
57	composed of means made of	nongold
58	a process is a kind of event	nongold
59	1 year is equal to 365 days	nongold
60	no longer means used to be	nongold
61	person is synonymous with human	nongold
62	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
63	to conserve means to not change	nongold
64	if something causes a process then that something is required for that process	nongold
65	to depend on; to rely on; to need means to require	nongold
66	quantity means amount	nongold
67	uranium is a kind of energy resource	nongold
68	lowest means least in value; amount; number	nongold
69	Tuesday is a kind of  time	nongold
70	a material is a kind of resource	nongold
71	coal is a nonrenewable resource	nongold
72	provide is similar to give; make	nongold
73	take place means happen	nongold
74	minerals are a nonrenewable resource	nongold
75	variable means able to change	nongold
76	generate means produce	nongold
77	a renewable resource can be replaced	nongold
78	instantaneously means short in time	nongold
79	a scientist is a kind of human	nongold
80	a producer is a kind of living thing	nongold
81	amount is similar to number	nongold
82	to slow; to slow down decreases speed	nongold
83	to increase is similar to to create	nongold
84	develop is similar to form	nongold
85	shortest means the least amount of time	nongold
86	a part of a process means a stage in a process	nongold
87	to generate means to create	nongold
88	months are a kind of unit for measuring time	nongold
89	made up of means contains; made of	nongold
90	a renewable resource can be renewed	nongold
91	to turn means to change	nongold
92	higher means greater; above in value; amount; number	nongold
93	approximately means about	nongold
94	to be formed by is to be the result of	nongold
95	creating means making	nongold
96	a  solution  is a kind of object	nongold
97	must have means require	nongold
98	making something requires resources	nongold
99	renewable resources are replenished more quickly than they are used	nongold
