Question	Many types of motion occur in our solar system. Which type of motion describes one Earth year?	question
Answer	the revolution of Earth around the sun	answer
0	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	gold
1	a type is synonymous with a kind	gold
2	a revolution of the moon around the Earth takes 1; one month	nongold
3	a revolution occurs when something revolves around something else	gold
4	Earth's revolution is a kind of cycle	nongold
5	years are a kind of unit for measuring time	nongold
6	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
7	Earth is a kind of planet	nongold
8	years ( y ) are a  metric unit used for measuring time generally used for values between 1.0 and 14000000000.0	nongold
9	the Earth revolves around the sun	nongold
10	events occur at a specific place; at a specific time; with a specific frequency	nongold
11	the properties of something are used for describing that something	nongold
12	1 year is equal to 365 days	nongold
13	light year is a measure of the distance light travels in one year	nongold
14	a light-year is used for describing long distances	nongold
15	to happen means to occur	nongold
16	meters;centimeters;kilometers are used to describe distance; describe length	nongold
17	a planet is a kind of celestial object; body	nongold
18	light years ( ly ) are a  astronomy unit used for measuring length; distance generally used for values between 1.0 and 27000000000.0	nongold
19	Earth rotating on its axis occurs once per day	nongold
20	the Earth rotates on its axis	nongold
21	1 year is equal to 12 months	nongold
22	the solar system contains eight planets	nongold
23	the solar system is a kind of system	nongold
24	astronomy is the study of celestial (objects, bodies)	nongold
25	measuring is used for describing an object	nongold
26	months are a kind of unit for measuring time	nongold
27	motion; movement means moving; to move	nongold
28	a motion is a kind of event; action	nongold
29	movements of celestial bodies are a kind of event	nongold
30	a star is a kind of celestial object; celestial body	nongold
31	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
32	days are a kind of unit for measuring time	nongold
33	the sun is  the largest celestial body in our solar system	nongold
34	revolving is a kind of motion	gold
35	planets in the solar system orbit the Sun	nongold
36	Neptune has the longest solar year; planetary year in the solar system	nongold
37	our Sun is located at the center of our solar system	nongold
38	revolving  around something means orbiting that something	nongold
39	months ( m ) are a  metric unit used for measuring time generally used for values between 1.0 and 24.0	nongold
40	a planet's distance from the star causes the length of a planetary year	nongold
41	days ( d ) are a  metric unit used for measuring time generally used for values between 1.0 and 365.0	nongold
42	the Sun is a kind of star	nongold
43	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
44	a cycle happens; occurs repeatedly	nongold
45	rotation is a kind of motion	nongold
46	moons; comets; planets are part of the solar system	nongold
47	something that happens is a kind of event	nongold
48	astronomical unit is a measure of distance between Earth and the Sun	nongold
49	motion is when moves an object; something to a direction	nongold
50	a planet completes one orbit around its star over a period of one planetary year	nongold
51	yearly means every year	nongold
52	form means kind	nongold
53	rotating is similar to moving	nongold
54	month is a kind of period of time	nongold
55	annual means once per year	nongold
56	rotation  is  the  circular movement of an object around a center; axis	nongold
57	the solar system contains the moon	nongold
58	period is similar to amount of time	nongold
59	a rotation of the moon takes 1; one month	nongold
60	the day time is part of one day	nongold
61	the Earth revolving around the sun causes stars to appear  in different areas in the sky at different times of year	nongold
62	a planet rotating causes cycles of day and night on that planet	nongold
63	length of time means period of time	nongold
64	the location of an object can be used to describe that object	nongold
65	the properties of something can be used to identify; used to describe that something	nongold
66	Earth's tilt on its rotating axis causes seasons to change; to occur	nongold
67	astronomical body means celestial body	nongold
68	Celestial bodies move in orbits in space around other celestial bodies	nongold
69	greatest means largest; highest; most amount of something	nongold
70	August is a kind of month	nongold
71	a change is a kind of event	nongold
72	something's function can be used to describe; identify that something	nongold
73	affected means changed	nongold
74	many means high in number	nongold
75	to a human a time period of 1000 years or more years is considered very long	nongold
76	Neptune is a kind of planet in the solar system	nongold
77	movement is a kind of change	nongold
78	event is similar to occurrence	nongold
79	a celestial body travelling around another celestial body means that celestial body completes a cycle around that other celestial body	nongold
80	setting is a kind of motion	nongold
81	a process is a kind of event	nongold
82	information is used to describe something	nongold
83	Earth is a planet that is closer to the  Sun than Jupiter	nongold
84	classifying is when one sorts something by kind; type	nongold
85	revolve once means to complete a revolution	nongold
86	the sun rising; setting occurs once per day	nongold
87	centuries are a kind of unit for measuring time	nongold
88	a rotation is a kind of movement	nongold
89	the sun setting is a kind of event	nongold
90	once per means every	nongold
91	answering questions requires information	nongold
92	monthly means once per month	nongold
93	hours are a kind of unit for measuring time	nongold
94	usually means most of the time	nongold
95	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
96	category means kind	nongold
97	cycles of day and night occur once per day	nongold
98	variable means able to change	nongold
99	high is similar to increase	nongold
