Question	Which objects are the most useful for collecting data on the speed of a toy car?	question
Answer	stopwatch, calculator, meter stick	answer
0	a meter stick is a kind of tool for measuring length; measuring distance	gold
1	a calculator is a kind of tool	gold
2	a meter stick is used to measure distance; height; length	gold
3	a watch;clock;stopwatch is used for measuring time	nongold
4	a stopwatch is used to measure time	gold
5	a stopwatch is a kind of tool for measuring time	gold
6	a toy car is a kind of object	nongold
7	a stick is a kind of object	nongold
8	a meter is a kind of unit for measuring distance; measuring length	nongold
9	a calculator is used for adding; subtracting; multiplying; dividing	gold
10	a car is a kind of object	nongold
11	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	gold
12	a car is a kind of vehicle	nongold
13	speed is a measure of how fast an object is moving	nongold
14	speed is a property of an object and includes values of slow; fast	nongold
15	a car is a kind of automobile	nongold
16	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
17	stop; stopped means zero; 0; no speed	nongold
18	a speedometer is a part of an automobile	nongold
19	a vehicle is a kind of object	nongold
20	instrument means tool	nongold
21	useful means good to use	nongold
22	an automobile is a kind of vehicle	nongold
23	An example of collecting data is measuring	gold
24	meters;centimeters;kilometers are used to describe distance; describe length	nongold
25	calculating speed requires knowing distance travelled	nongold
26	a tool is a kind of object	gold
27	useful means able to be used	nongold
28	rate is similar to speed	nongold
29	an animal is a kind of living thing	nongold
30	stop means not move	nongold
31	a living thing is a kind of object	nongold
32	a human is a kind of animal	nongold
33	a measurement is a kind of data	nongold
34	an instrument is a piece of equipment	nongold
35	high speed means fast	nongold
36	to measure means to calculate	nongold
37	seconds are a kind of unit for measuring time	nongold
38	seconds are used to measure time	nongold
39	a vehicle is a kind of tool for travel; transport	nongold
40	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
41	a machine is a kind of object	nongold
42	m/s means meters per second	nongold
43	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
44	a speedometer is used for giving a driver feedback on the speed of their vehicle	nongold
45	distance moved; distance travelled is a measure of how far an object moves	nongold
46	measuring requires reading a measurement	nongold
47	instrument means device	nongold
48	fastest means greatest in  speed	nongold
49	to slow; to slow down decreases speed	nongold
50	speed up means increase	nongold
51	wheels are a part of a car	nongold
52	calculation means measurement	nongold
53	minutes are a kind of unit for measuring time	nongold
54	a device is a kind of object	nongold
55	fast is the opposite of slow	nongold
56	to be made of is similar to collection	nongold
57	person is synonymous with human	nongold
58	faster means an increase; higher in speed	nongold
59	timing; multiplying is a kind of calculating	nongold
60	slowest means lowest in  speed	nongold
61	motion; movement means moving; to move	nongold
62	a measure of time is a length of time	nongold
63	a centimeter is a kind of unit of measurement	nongold
64	an part of an object is smaller than the entire object	nongold
65	a machine is a kind of  device	nongold
66	operating a remote-control toy causes that toy to move	nongold
67	a car moves on a road	nongold
68	length is a part of size	nongold
69	a motion is a kind of event; action	nongold
70	an event is a kind of action	nongold
71	a simple machine is a kind of tool	nongold
72	measuring is used for describing an object	nongold
73	a source of something emits; produces; generates; provides that something	nongold
74	kilometers ( km ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
75	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
76	length is a measure of distance from one end of an object to the other end of that object	nongold
77	objects are made of materials; substances; matter	nongold
78	an animal is a kind of organism	nongold
79	a person is a kind of animal	nongold
80	answering questions requires information	nongold
81	a centimeter is used for measuring short lengths; short distances	nongold
82	hours ( hr ) are a  metric unit used for measuring time generally used for values between 0.25 and 72.0	nongold
83	if an object accelerates then that object will go faster	nongold
84	miles are a kind of unit for measuring distance	nongold
85	determining often requires measuring; observing	nongold
86	calculating is similar to estimating	nongold
87	to collect means to gather	nongold
88	faster means increased rate	nongold
89	a watch requires electrical energy to operate	nongold
90	an object is an item	nongold
91	fast means quickly	nongold
92	picometer ( pm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
93	affected means changed	nongold
94	measuring sometimes requires  recording; learning an amount	nongold
95	a unit for measuring time is a kind of time interval	nongold
96	as an object is moving down , the speed of the object  will increase	nongold
97	length of time means period of time	nongold
98	the automobile is a kind of technology	nongold
99	a velocity is a measure of a speed in a direction	nongold
