Question	A star is a celestial object that produces its own heat and light. Which of these celestial objects is the closest star to Earth?	question
Answer	the sun	answer
0	a star produces light and heat	nongold
1	the Sun is the  star that is closest to Earth	gold
2	a star is a kind of celestial object; celestial body	gold
3	a source of something emits; produces; generates; provides that something	nongold
4	the Sun is a kind of star	gold
5	Earth is the planet that is third closest to the  Sun	nongold
6	closer means lower; less; a decrease in distance	nongold
7	a star is a source of light; light energy through nuclear reactions	nongold
8	sunlight produces heat	nongold
9	heat means heat energy	nongold
10	generate means produce	nongold
11	the sun is a source of radiation; heat called sunlight	nongold
12	the sun is a source of light; light energy called sunlight	nongold
13	Earth is a kind of planet	nongold
14	near; close is the opposite of far; away	nongold
15	heating means adding heat	nongold
16	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
17	close means low in distance	nongold
18	the moon is the celestial object that is closest to the  Earth	nongold
19	temperature is a measure of heat energy	nongold
20	producing is similar to causing	nongold
21	far is the opposite of close	nongold
22	furthest; farthest means greatest; most; highest in distance	nongold
23	a star is very hot in temperature	nongold
24	if something causes an increase in something else then that something produces that something else	nongold
25	emit means produce	nongold
26	to produce means to provide	nongold
27	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
28	Neptune is the planet that is eighth closest to the Sun	nongold
29	sunlight is a kind of light	nongold
30	stars make their own light	nongold
31	Saturn is the planet that is sixth closest to the Sun	nongold
32	distance is a property of space and includes ordered values of close; far	nongold
33	near means close	nongold
34	Earth is a planet that is closer to the  Sun than Jupiter	nongold
35	Mars is the planet that is fourth closest to the  Sun	nongold
36	heat is a kind of energy	nongold
37	producing is a kind of process	nongold
38	a living thing is a kind of object	nongold
39	distant means far away	nongold
40	to be formed by is similar to being produced by	nongold
41	distant means great in distance	nongold
42	a producer produces its own food	nongold
43	producing is similar to discharging	nongold
44	towards means closer to something	nongold
45	far means great in distance	nongold
46	Uranus is the planet that is seventh closest to the Sun	nongold
47	Jupiter is the planet that is fifth closest to the Sun	nongold
48	Pluto is the planet that is ninth closest to the  Sun	nongold
49	hot means high in heat energy; temperature	nongold
50	converting is similar to producing	nongold
51	solar energy is a kind of heat energy	nongold
52	stars are some of the hottest objects	nongold
53	an object; material; substance comes from that object or material's source	nongold
54	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
55	to be used for something means to be required by that something	nongold
56	high is similar to increase	nongold
57	astronomy is the study of celestial (objects, bodies)	nongold
58	stars are located light years apart from each other	nongold
59	producing is a kind of function	nongold
60	answering questions requires information	nongold
61	a star requires energy	nongold
62	the stars in the night sky are very far away from the Earth	nongold
63	nuclear reactions in stars causes stars to produce light; energy; nuclear energy	nongold
64	astronomical unit is a measure of distance between Earth and the Sun	nongold
65	the sun is the source of solar energy called sunlight	nongold
66	make means produce	nongold
67	the sun is not a star in the night sky	nongold
68	to produce means to result in	nongold
69	the Earth revolves around the sun	nongold
70	if something requires something else then that something requires a source of that something else	nongold
71	toward is the opposite of away	nongold
72	to give off means to be the source of	nongold
73	to generate means to form	nongold
74	a source of heat can be used to heat something	nongold
75	a source of heat can be used to heat something	nongold
76	to contribute is similar to produce	nongold
77	the Moon is closer to the Earth than the Sun	nongold
78	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
79	can be means able to be	nongold
80	a star is made of gases	nongold
81	sunlight is a kind of solar energy	nongold
82	solar energy is a kind of light	nongold
83	a type is synonymous with a kind	nongold
84	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
85	where something  comes from is a source of that something	nongold
86	Venus is the planet that is second closest to the  Sun	nongold
87	if something causes a process then that something is required for that process	nongold
88	if something comes from something else then that something else is a source of that something	nongold
89	a hot; warm something is a source of heat	nongold
90	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
91	the sun is a kind of yellow dwarf	nongold
92	to produce means to create	nongold
93	to depend on; to rely on; to need means to require	nongold
94	if something emits something else then that something increases the amount of that something else	nongold
95	a source of something increases the amount of that something	nongold
96	Mercury is the planet that is first closest to the  Sun	nongold
97	both means two	nongold
98	to provide something means to be the source of that something	nongold
99	producing is similar to releasing	nongold
