Question	The main function of a duck's webbed feet is to help the duck	question
Answer	swim in water	answer
0	a duck is a kind of aquatic animal	gold
1	a duck is a kind of animal	gold
2	a duck is a kind of bird	nongold
3	swimming is when humans; animals can move in water	gold
4	some birds have webbed feet	nongold
5	webbed feet are used for moving faster through water by aquatic animals	gold
6	a bird is a kind of animal	nongold
7	the function of something is what that something  is used to do	gold
8	a bird is a kind of living thing	nongold
9	an aquatic animal is a kind of animal	gold
10	to help means to aid	nongold
11	an animal is a kind of living thing	nongold
12	to be used  for something means to help to do that something	nongold
13	providing is a kind of function	nongold
14	role means function	nongold
15	to be a vehicle for is a kind of function	nongold
16	to help; to benefit means to be of use	gold
17	if something performs a task then that task is that something's function	nongold
18	function is similar to purpose	nongold
19	a living thing is a kind of object	nongold
20	helping something has a  positive impact on that something	nongold
21	aquatic animal means water animal	nongold
22	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
23	amphibians have webbed feet	nongold
24	webbed is a kind of shape	nongold
25	under water means covered by water; in water	nongold
26	an animal is a kind of organism	nongold
27	a function is a kind of characteristic	nongold
28	an ocean is a kind of body of water	nongold
29	protecting is a kind of function	nongold
30	water is a kind of object	nongold
31	causing is a kind of function	nongold
32	providing support is a kind of function	nongold
33	a surface is a part of an object	nongold
34	something is used for that something's purpose	nongold
35	a foot is a part of some animals for walking	nongold
36	animals; living things require water for survival	nongold
37	water is a part of an environment	nongold
38	an organism is a living thing	nongold
39	requiring is similar to needing help	nongold
40	swimming is a kind of skill	nongold
41	a body of water is a kind of environment	nongold
42	an animal is a member of an animal species	nongold
43	legs are usually a part of an animal	nongold
44	providing structure is a kind of function	nongold
45	if a living thing requires something then that something has a positive impact on that living thing	nongold
46	harming something has a  negative impact on; effect on that something	nongold
47	helping means something can be done; completed more easily; better	nongold
48	water is a kind of liquid at room temperature	nongold
49	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
50	moving something is a kind of function	nongold
51	helping means to assist in a change	nongold
52	purpose means role	nongold
53	a human is a kind of animal	nongold
54	motion; movement means moving; to move	nongold
55	a function is an activity	nongold
56	a toe is a part of some animals	nongold
57	underwater means below water	nongold
58	to be helpful means to help to do	nongold
59	floating on water is a kind of adaptation	nongold
60	to be used for something means to be required by that something	nongold
61	to serve as means to be used as	nongold
62	answering questions requires information	nongold
63	to enable is to help	nongold
64	breathing is a kind of  function	nongold
65	the body is a part of an organism	nongold
66	to work means to function	nongold
67	water is a kind of substance	nongold
68	attracting is a kind of function; activity	nongold
69	a goose is a kind of bird	nongold
70	producing is a kind of function	nongold
71	an part of an object is smaller than the entire object	nongold
72	a body of water is a source of water	nongold
73	protecting something means preventing harm to that something	nongold
74	a mollusk has a muscular foot	nongold
75	high is similar to increase	nongold
76	motion is when moves an object; something to a direction	nongold
77	killing means harming something causing death	nongold
78	a type is synonymous with a kind	nongold
79	negative impact is the opposite of positive impact	nongold
80	trait is synonymous with characteristic	nongold
81	breaking down is a kind of function	nongold
82	less dense liquids; particles in liquids; materials float liquids; particiles in liquids; materials that are more dense	nongold
83	low means down	nongold
84	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
85	person is synonymous with human	nongold
86	a frog is a kind of animal	nongold
87	converting is a kind of function	nongold
88	to be submerged means to be placed under	nongold
89	function means job	nongold
90	aquatic animals; plants live in bodies of water	nongold
91	bathing is a kind of water use	nongold
92	role is similar to importance	nongold
93	something harmful can cause harm	nongold
94	freshwater is a kind of water	nongold
95	the bottom is the lowest part of something	nongold
96	a body of water contains water	nongold
97	ocean animal is similar to water animal	nongold
98	a surface is a kind of object	nongold
99	bringing substances to the body is a kind of function	nongold
