Question	Prairie dogs can run very quickly. This adaptation enables the prairie dog to	question
Answer	escape from predators.	answer
0	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	gold
1	a prairie dog is a kind of animal	gold
2	An example of an adaptation is moving fast	nongold
3	an adaptation is a kind of characteristic	nongold
4	avoiding predators has a positive impact on prey's; an organism's survival; health; ability to reproduce	nongold
5	escape means avoid	gold
6	some animals move quickly to escape predators	gold
7	camouflage is used for protection; hiding by prey; animals against predators; from predators	nongold
8	adaptations are used for survival	nongold
9	an adaptation is an adaptive feature	nongold
10	avoiding predators; escaping predators; avoiding consumers is a kind of protection	gold
11	running is a kind of movement	gold
12	camouflage is a kind of adaptation for hiding in an environment	nongold
13	camouflage is a kind of protection against predators; from predators; against consumers	nongold
14	to enable is similar to cause	nongold
15	hiding is a kind of protection against predators; from predators	nongold
16	rapidly means quickly	nongold
17	fast means quickly	nongold
18	an adaptation is a kind of change	nongold
19	a dog is a kind of animal	nongold
20	adaptation is when an organism develops a trait over time for survival	nongold
21	a predator is a kind of animal	nongold
22	hiding can be used for avoiding predators	nongold
23	answering questions requires information	nongold
24	an animal is a kind of living thing	nongold
25	a predator avoiding some types of prey is a learned behavior	nongold
26	faster means an increase; higher in speed	nongold
27	an organism is a living thing	nongold
28	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
29	some predators move  quickly to  catch prey	nongold
30	coloration is a kind of adaptation for hiding;camouflage	nongold
31	avoiding  predators is synonymous with avoiding being eaten	nongold
32	an adaptation  is  a change in a population over successive generations that  helps  individuals organisms in that population to  survive; reproduce	nongold
33	an animal is a kind of organism	nongold
34	if an organism's prey moves quickly then that organism may need to move quickly to catch its prey	nongold
35	a vehicle for something allows; enables that something to occur	nongold
36	harming something has a  negative impact on; effect on that something	nongold
37	prey  is a kind of animal	nongold
38	faster means increased rate	nongold
39	a living thing is a kind of object	nongold
40	killing means harming something causing death	nongold
41	to enable is to help	gold
42	killing means changing a living thing from alive to dead by harming	nongold
43	Behavioral adaptation is a behavioral change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
44	Physical adaptation; structural adaptation is a physical  change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
45	a predator is a kind of enemy to its prey	nongold
46	to slow; to slow down decreases speed	nongold
47	quickly means in a short period of time	nongold
48	a behavior is a kind of characteristic	nongold
49	danger has a negative impact on a thing	nongold
50	adapting is when a living thing responds to a change in an environment	nongold
51	an animal; living thing requires nutrients for survival	nongold
52	an animal is a member of an animal species	nongold
53	trait is synonymous with characteristic	nongold
54	requiring is similar to needing help	nongold
55	An example of camouflage is when something is; has the same color as its environment	nongold
56	can means having the ability to	nongold
57	fur is often part of an animal	nongold
58	an increase is the opposite of a decrease	nongold
59	helping something has a  positive impact on that something	gold
60	to enable means to allow	nongold
61	high is similar to increase	nongold
62	survival means to survive	nongold
63	to be released is similar to escape	nongold
64	predators eat prey	nongold
65	fast is the opposite of slow	nongold
66	camouflage can be used for hunting for prey; food	nongold
67	low is similar to decrease	nongold
68	avoiding is similar to preventing	nongold
69	An example of camouflage is when an organism looks like its environment	nongold
70	protecting a living thing has a  positive impact on that living thing's survival; health	gold
71	a predator usually kills its prey to eat it	nongold
72	speed is a measure of how fast an object is moving	nongold
73	strong beaks; sharp beaks are a kind of adaptation for catching prey	nongold
74	a plant is a kind of organism	nongold
75	animal instinct means instinctive behavior	nongold
76	killing a living thing decreases the number; population size of that living thing	nongold
77	a grassland is a kind of environment	nongold
78	walking is a kind of behavior	nongold
79	prey is a kind of food for predators	nongold
80	to reduce means to decrease	nongold
81	actions mean behavior	nongold
82	if an animal eats another animal then that animal is a carnivore or omnivore or predator	nongold
83	if a living thing requires something then that something has a positive impact on that living thing	nongold
84	survive means live	nongold
85	survive means live	nongold
86	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
87	can be means able to be	nongold
88	ability is a kind of characteristic	nongold
89	a plant; living thing requires food for survival	nongold
90	a plant is a kind of living thing	nongold
91	speed is a property of an object and includes values of slow; fast	nongold
92	a predator eats other animals for food	nongold
93	an adaptation is an advantage	nongold
94	well-suited is similar to adapted	nongold
95	if something is required for something else then that something allows that something else	nongold
96	to lower means to decrease	nongold
97	an environment means an area	nongold
98	eating an animal; a plant means killing that animal; that plant	nongold
99	to be used for something means to be required by that something	nongold
