Question	When sound waves with large amplitude are compared to sound waves with small amplitude, which of the following is true?	question
Answer	Sound waves with large amplitudes have more energy and sound louder.	answer
0	amplitude is  a measure of the loudness of the sound wave	nongold
1	loud means high in sound energy;sound intensity	nongold
2	sound waves means sound energy	nongold
3	sound wave is a kind of wave	nongold
4	increase means more	nongold
5	as the amplitude of a sound wave increases , the amount of energy in that sound wave will increase	gold
6	amplitude is a property of wave	nongold
7	high-frequency sound waves have low; short wavelengths	nongold
8	sound wave is similar to sound	nongold
9	sound means sound energy	nongold
10	electromagnetic energy is a kind of energy	nongold
11	sound is a kind of sound energy	nongold
12	sound is a kind of energy	nongold
13	louder means higher; greater in volume	gold
14	as the frequency of a wave increases ,  the energy of the wave will increase	nongold
15	noise means sound	nongold
16	electromagnetic wave is a kind of  wave	nongold
17	greater means higher; more in value	gold
18	high is similar to increase	nongold
19	sound waves transfer energy	nongold
20	an increase is a kind of change	nongold
21	a wave is a kind of object	nongold
22	volume; sound intensity is a property of sound; sound energy and includes ordered values of quiet; normal; loud	nongold
23	acoustic signal is a kind of sound wave	nongold
24	sound wave with frequency range in 20-20000 hertz  can be heard by human	nongold
25	pitch of a sound can be  used to describe the frequency of the sound wave	nongold
26	a decrease is a kind of change	nongold
27	a source of something increases the amount of that something	nongold
28	less is similar to decrease	nongold
29	vibrations are a source of sound	nongold
30	sound energy is transferred by vibrational waves	nongold
31	sound wave is a kind of mechanical wave	nongold
32	an increase is the opposite of a decrease	nongold
33	low is similar to decrease	nongold
34	small is the opposite of large	gold
35	a vibration is similar to a wave	nongold
36	electromagnetic energy travels as electromagnetic waves	nongold
37	if something emits something else then that something increases the amount of that something else	nongold
38	as the amount that matter vibrates increases , sound produced increases	nongold
39	light is a kind of energy	nongold
40	light is a kind of energy	nongold
41	frequency is a property of a wave; a particel of light; an event	nongold
42	less is the opposite of more	nongold
43	electromagnetic wave is not a mechanical wave	nongold
44	little is similar to decrease	nongold
45	comparing requires measuring	nongold
46	decibel level is  a measure of the loudness of the sound	nongold
47	light is a kind of wave	nongold
48	matter; molecules vibrating can cause sound	nongold
49	a wave is formed by the vibration of the source spreading around from the source	nongold
50	when one kind of energy changes into another kind of energy , the total amount of energy is constant	nongold
51	as the  frequency of a sound increases , the wavelength of that sound decreases	nongold
52	comparing requires observing that something	nongold
53	larger means greater; higher; more; increase in size	nongold
54	volume means the loudness of a sound	nongold
55	a source of something emits; produces; generates; provides that something	nongold
56	vibrating matter can produce sound	nongold
57	sound travels as longitudinal waves	nongold
58	all waves transfer; transmit energy from one place to another	nongold
59	a particle is a kind of object	nongold
60	wave motion is transferred from the source to matter to produce sound	nongold
61	if the frequency  of a sound wave is too high , then human cannot hear  the sound	nongold
62	an echo is a kind of sound	nongold
63	waves can travel through matter	nongold
64	an earthquake wave is a kind of wave	nongold
65	as the wavelength of a wave increases ,  the frequency of the wave will decrease	nongold
66	as the cause of something decreases , that something will decrease	nongold
67	as the amplitude of a sound wave increases , the volume of  that sound wave will increase	gold
68	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
69	particles in objects are a kind of matter	nongold
70	to add means to increase	nongold
71	objects are made of materials; substances; matter	nongold
72	potential energy is a kind of energy	nongold
73	human voice is a kind of sound	nongold
74	matter; materials; substances are made of atoms; particles	nongold
75	Doppler Effect is when the  frequency of the waves changes when the distance from the wave source changes	nongold
76	as the amount of a source of something decreases , the amount of that something will decrease	nongold
77	can be means able to be	nongold
78	electromagnetic radiation means electromagnetic energy	nongold
79	little means small	nongold
80	vibration is a kind of motion	nongold
81	affected means changed	nongold
82	waves are made of moving water	nongold
83	as the distance from the wave source increases ,  the frequency of the waves will decrease	nongold
84	to lower means to decrease	nongold
85	a musical instrument is a kind of object	nongold
86	sound is a kind of air vibration	nongold
87	light means light energy	nongold
88	electromagnetic radiation distorts the frequency of the radio waves	nongold
89	waves contain mechanical energy	nongold
90	all electromagnetic waves have the same speed of 300000 km/s	nongold
91	when sound reaches the ear , that sound can be heard	nongold
92	radio wave is a kind of electromagnetic wave	nongold
93	decibel ( dB ) is a unit used for measuring the loudness of a sound	nongold
94	light waves travel as transverse waves	nongold
95	variable means able to change	nongold
96	sound is produced when mechanical energy is transformed into sound energy	nongold
97	echo is when sound reflects off of a surface	nongold
98	sound wave can be used to measure distance by measuring the time delay of the reflected wave	nongold
99	loud noises can cause animals to startle	nongold
