Question	Rheumatoid arthritis is a disease that occurs when the body attacks its own tissues. Which body system becomes disordered first?	question
Answer	immune	answer
0	rheumatoid arthritis is a kind of autoimmune disease	gold
1	a disordered immune system causes autoimmune diseases	gold
2	an autoimmune disease is when the body attacks its own tissues	gold
3	the immune system is a kind of body; human body system	gold
4	a body system is a part of the body; an animal	nongold
5	the immune system attacks; gets rid of bacteria; viruses once they have invaded the body	nongold
6	disease means illness	nongold
7	organ system means body system	nongold
8	the body is a part of an organism	nongold
9	a body system is a kind of object	nongold
10	internal organs are a part of the body	nongold
11	to happen means to occur	nongold
12	the skeletal system is a kind of body system	nongold
13	the immune system defends the body against disease	nongold
14	becoming is similar to changing	nongold
15	causing is a kind of affecting	nongold
16	an organism is a living thing	nongold
17	harming something has a  negative impact on; effect on that something	nongold
18	a human is a kind of animal	nongold
19	death means to die	nongold
20	the endocrine system is a kind of body; organ system	nongold
21	causing is a kind of function	nongold
22	an animal is a kind of living thing	nongold
23	producing is similar to causing	nongold
24	a body cell means a somatic cell	nongold
25	cells are a part of the body	nongold
26	high is similar to increase	nongold
27	to be a source of something means to cause that something	nongold
28	disease has a negative impact on an organism	nongold
29	dysentery is a kind of illness	nongold
30	pathogens can cause disease	nongold
31	organs are made of different types of  cellular tissues	nongold
32	human is a kind of organism	nongold
33	damage means harm	nongold
34	a source of something emits; produces; generates; provides that something	nongold
35	an increase is the opposite of a decrease	nongold
36	becoming is similar to forming	nongold
37	an animal is a kind of organism	nongold
38	dying is the opposite of living; surviving	nongold
39	creating is similar to causing	nongold
40	an increase is a kind of change	nongold
41	the body of an animal contains arteries; veins	nongold
42	illness has a negative impact on an organism's health	nongold
43	a skeletal system is a part of an animal	nongold
44	the excretory system is a kind of body system	nongold
45	helping bodily processes has a positive impact on an animal; an animal's health	nongold
46	an event is a kind of action	nongold
47	the skeletal system protects internal organs	nongold
48	to turn means to change	nongold
49	becoming is a kind of action	nongold
50	low is similar to decrease	nongold
51	a process is a kind of event	nongold
52	little is similar to decrease	nongold
53	to cause means to result in	nongold
54	something that happens is a kind of event	nongold
55	a component means a part of	nongold
56	requiring is similar to needing help	nongold
57	system is similar to structure	nongold
58	genetic disorder is a kind of disease	nongold
59	a type is synonymous with a kind	nongold
60	to cause an event is similar to being involved in that event	nongold
61	Rachel is a name for a human	nongold
62	form is similar to body	nongold
63	an organ system is made of different parts of the body working together	nongold
64	the nervous system is a kind of body; organ system	nongold
65	a negative impact is a kind of consequence; risk	nongold
66	a process usually requires all of the stages in that process	nongold
67	a living thing is made of cells	nongold
68	damage has a negative impact on a thing	nongold
69	to cause means to make	nongold
70	infection often requires medical treatment	nongold
71	bone cells are a part of the body	nongold
72	helping something has a  positive impact on that something	nongold
73	organs are a smaller level of organization than organ systems in living things	nongold
74	if something releases something else then that something is the source of that something else	nongold
75	to hurt means to harm	nongold
76	a brain is a kind of internal organ	nongold
77	Anna is a name for a human	nongold
78	the stomach is a kind of organ	nongold
79	to be formed by is similar to being produced by	nongold
80	to change means to cause a change	nongold
81	system means a set of objects	nongold
82	the muscular system is a kind of body; organ system	nongold
83	to produce means to create	nongold
84	to create means to make	nongold
85	white blood cells are a part of the immune system	nongold
86	can be means able to be	nongold
87	food poisoning is a kind of illness	nongold
88	affected means changed	nongold
89	a component of something means a part of that something	nongold
90	the brain is a part of the body	nongold
91	a reaction is a kind of process	nongold
92	a bone is a part of a body	nongold
93	the pituitary gland is a part of the endocrine system	nongold
94	the kidney removes; filters bodily waste; cell waste; byproducts from the blood	nongold
95	the digestive system is a kind of body; human system	nongold
96	strong means high in strength	nongold
97	due to means caused by	nongold
98	to cause means to have an effect	nongold
99	killing means harming something causing death	nongold
