Question	Which statement about photosynthesis and respiration is true?	question
Answer	Photosynthesis stores energy and respiration releases energy.	answer
0	photosynthesis stores; captures energy	gold
1	carbohydrates store chemical energy	nongold
2	if something converts one kind of energy into other kinds of energy then that something originally stores that energy as the first kind of energy	nongold
3	respiration releases energy	gold
4	usually plants store the food they produce for future use	nongold
5	contain is similar to store	nongold
6	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
7	converting is similar to releasing	nongold
8	a source of something emits; produces; generates; provides that something	nongold
9	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
10	chemical energy is a kind of energy	nongold
11	solar energy is a kind of energy	nongold
12	producing is similar to releasing	nongold
13	if something releases something else then that something is the source of that something else	nongold
14	produce is similar to release	nongold
15	to emit means to release	nongold
16	food is a kind of chemical energy	nongold
17	if something transfers something else then that something is a source of something else	nongold
18	sunlight is a kind of solar energy	nongold
19	carbohydrates are a vehicle for storing;transporting energy	nongold
20	solar energy is a kind of heat energy	nongold
21	carbohydrates are used for storing;transporting energy	nongold
22	green plants are a kind of producer	nongold
23	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
24	to store means to hold	nongold
25	food contains carbohydrates	nongold
26	a plant is a kind of organism	nongold
27	cellular respiration is when a cell converts from oxygen and carbohydrates into carbon dioxide, water, and energy	nongold
28	heat is a kind of energy	nongold
29	if something transfers energy to something else then that something else absorbs that energy	nongold
30	cellular respiration is when cells break down; extract energy from food to produce energy	nongold
31	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
32	most chemical reactions release or absorb heat energy	nongold
33	a plant absorbs carbon dioxide from the air for photosynthesis	nongold
34	nutrients are a source of energy for living things	nongold
35	cellular energy is a kind of chemical energy	nongold
36	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
37	to be used for something means to be required by that something	nongold
38	photosynthesis is a kind of chemical  process	nongold
39	solar energy is a kind of light	nongold
40	photosynthesis is a source of oxygen	nongold
41	if something emits something else then that something increases the amount of that something else	nongold
42	In the food chain process a  green plant has the role of  producer	nongold
43	if something is a raw material in a process then that something is required for that process	nongold
44	the sun is the source of solar energy called sunlight	nongold
45	sunlight means solar energy	nongold
46	an organism breaks down sugar to release energy	nongold
47	carbon is a kind of element	nongold
48	plants are a source of oxygen through photosynthesis	nongold
49	a food contains nutrients for living things	nongold
50	if something releases something else then that something else decreases in that something	nongold
51	if something is made of something; a material then that something contains that something; that material	nongold
52	nutrients are a kind of matter	nongold
53	if food is not immediately used by the body for energy then that food will be stored for future use	nongold
54	if something gains something from something else then that something else is a source of that something	nongold
55	converting is similar to producing	nongold
56	requiring something means needing that something	nongold
57	products are formed; are produced; are created	nongold
58	a leaf is a part of a  green plant	nongold
59	a process is a kind of event	nongold
60	to give off means to be the source of	nongold
61	the photosynthetic life performs photosynthesis	nongold
62	food is a source of energy for animals; plants	nongold
63	a carbohydrate is a kind of compound	nongold
64	an increase is a kind of change	nongold
65	a  plant requires sunlight for photosynthesis	nongold
66	solar energy is a renewable; inexhaustible resource	nongold
67	organisms are made of carbon	nongold
68	if something causes a process then that something is required for that process	nongold
69	a producer produces its own food	nongold
70	if something is a part of something else then that something else contains that something	nongold
71	light is a kind of energy	nongold
72	light is a kind of energy	nongold
73	where something  comes from is a source of that something	nongold
74	a producer is a kind of living thing	nongold
75	chemical reactions releasing new substances means chemical reactions forming new substances	nongold
76	releasing energy is a kind of function	nongold
77	a tree is a kind of plant	nongold
78	energy transformation means one kind of energy changes into another kind of energy	nongold
79	a source of something increases the amount of that something	nongold
80	photosynthesis is a kind of chemical reaction	nongold
81	high is similar to increase	nongold
82	emit means produce	nongold
83	synthesize means to make	nongold
84	exergonic chemical reactions only release energy	nongold
85	a producer is a source of sugar; food energy in an ecosystem	nongold
86	hydrogen contains chemical energy	nongold
87	a nutrient is a kind of chemical compound	nongold
88	a cell absorbs nutrients	nongold
89	nutrients are a kind of substance	nongold
90	In the cellular respiration; animal respiration process carbon dioxide is a waste product	nongold
91	if an animal relies on plants for food then that animal must store enough food to last through the winter	nongold
92	cellular respiration is a source of energy for cell activities	nongold
93	to create means to make	nongold
94	to produce means to create	nongold
95	make means produce	nongold
96	heat means heat energy	nongold
97	fossil fuels release carbon dioxide into the atmosphere	nongold
98	nitrogen is a kind of nutrient for plant growth	nongold
99	a cactus stores water	nongold
