Question	Which characteristic can a human offspring inherit?	question
Answer	blue eyes	answer
0	blue is a kind of color	gold
1	eye color is an inherited characteristic	gold
2	blue eyes are similar to light eyes	nongold
3	children; young is synonymous with offspring	nongold
4	a baby is the offspring of a parent	nongold
5	a baby is the offspring of a parent	nongold
6	the colors of parts of an organism are inherited characteristics	nongold
7	eyes are a part of a human for seeing	nongold
8	blue eyes is a recessive trait in humans	nongold
9	a child is a kind of young human	nongold
10	an inherited characteristic is a kind of characteristic	nongold
11	eyes are usually part of an animal for seeing	nongold
12	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	gold
13	to reproduce means to have; to produce offspring	nongold
14	trait is synonymous with characteristic	nongold
15	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
16	color is a property of  an object; a material	nongold
17	a son is a kind of male offspring	nongold
18	a human is a kind of animal	nongold
19	characteristic means property	nongold
20	parents produce offspring	nongold
21	coloration means a thing's color	nongold
22	an animal is a kind of organism	nongold
23	a father is a kind of male parent	nongold
24	human is a kind of organism	nongold
25	a mother is a kind of female parent	nongold
26	feature is synonymous with characteristic	nongold
27	an animal is a kind of living thing	nongold
28	dark eyes is a dominant trait in human	nongold
29	reproduction produces; produce offspring	nongold
30	trait means property	nongold
31	can means having the ability to	nongold
32	a part of something means a characteristic of something	nongold
33	intelligence is an acquired characteristic	nongold
34	a type is synonymous with a kind	nongold
35	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
36	a mother births offspring	nongold
37	living things can all reproduce	nongold
38	a baby is a kind of young animal	nongold
39	an organism is a living thing	nongold
40	a living thing is a kind of object	nongold
41	coloration means a pattern of colors	nongold
42	what an object is made of is a kind of characteristic	nongold
43	a property of something is a feature of that something	nongold
44	phenotype of an organism means the visible traits of  an organism	nongold
45	a puppy is a young; baby dog	nongold
46	color is a kind of physical; visual property	nongold
47	color is an intensive property	nongold
48	a human is a kind of mammal	nongold
49	a face is often a part of an animal	nongold
50	a learned characteristic is a kind of acquired characteristic	nongold
51	sister means one of the offspring	nongold
52	identical twins have all of the same inherited characteristics	nongold
53	the color of; coloration of fur is an inherited characteristic	nongold
54	human is similar to individual	nongold
55	the eyes are part of the head used for seeing	nongold
56	unique  is the opposite of diverse	nongold
57	species is an inherited characteristic	nongold
58	heredity is similar to inheritance	nongold
59	young means immature	nongold
60	as the ability to survive; ability to reproduce of a living thing increases , the likelyhood of  passing on its traits to its decendents will increase	nongold
61	offspring are a part of a generation	nongold
62	baby is similar to immature	nongold
63	a blue object reflects only blue light	nongold
64	bright means bright; light in color	nongold
65	personality is an acquired characteristic	nongold
66	to contain something means to have that something	nongold
67	aspect of something is similar to part of something	nongold
68	senses are an inherited characteristic	nongold
69	a cat is a kind of animal	nongold
70	ability is a kind of characteristic	nongold
71	dark means dark in color	nongold
72	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
73	the size of an organism is an inherited characteristic	nongold
74	a kind of something is an example of that something	nongold
75	affected means changed	nongold
76	a dog is a kind of animal	nongold
77	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
78	identical means copy	nongold
79	genetic variation in offspring has a positive impact on an organism's; offspring's survival; health; ability to reproduce	nongold
80	to be characterized by  a property means to have that property	nongold
81	a boy is a kind of young male human	nongold
82	answering questions requires information	nongold
83	a structure of something is synonymous with a part of that something	nongold
84	offspring receives half of the genes from each parent	nongold
85	coloration is a kind of adaptation for hiding;camouflage	nongold
86	a type of something is a kind of property of that something	nongold
87	genes are able to determine the inherited characteristics of a living thing	nongold
88	eyes are used for seeing by animals by sensing light	nongold
89	not is similar to the opposite of	nongold
90	colorless means no color	nongold
91	a girl is a kind of young; female human	nongold
92	eyes can sense;detect light energy for seeing	nongold
93	the color of an environment means the color of the things that environment contains	nongold
94	the shape of body parts is an inherited characteristic	nongold
95	the condition of parts of an organism are acquired characteristics	nongold
96	sight means vision	nongold
97	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
98	blood type is an inherited characteristic	nongold
99	baby animals become adult animals	nongold
