Question	Which statement best explains Earth's day and night cycle?	question
Answer	Earth rotates once each day on its axis.	answer
0	Earth rotating on its axis occurs once per day	nongold
1	a planet rotating causes cycles of day and night on that planet	gold
2	cycles of day and night occur once per day	nongold
3	the Earth rotates on its axis	gold
4	a Rotation of the Earth on Earth's axis; itself takes 1; one day	gold
5	the sun rising and setting causes cycles of day and night	nongold
6	rotation is a kind of motion	nongold
7	Earth is a kind of planet	gold
8	once per means every	nongold
9	the sun rising; setting occurs once per day	nongold
10	a rotation is a kind of movement	nongold
11	the Earth revolves around the sun	nongold
12	a cycle happens; occurs repeatedly	nongold
13	rotating is similar to moving	nongold
14	a planet is a kind of celestial object; body	nongold
15	days are a kind of unit for measuring time	nongold
16	rotate means turn	nongold
17	the Earth rotating on its axis causes the sun to appear to move across the sky during the day	nongold
18	once means one time	nongold
19	to rotate means to complete a rotation	nongold
20	revolving is a kind of motion	nongold
21	Earth's angle of tilt causes the length of day and night to vary	nongold
22	a celestial body travelling around another celestial body means that celestial body completes a cycle around that other celestial body	nongold
23	Earth's rotation causes time zones	nongold
24	the night time is part of one day	nongold
25	motion; movement means moving; to move	nongold
26	rotate is similar to revolve	nongold
27	the day time is part of one day	nongold
28	motion is when moves an object; something to a direction	nongold
29	daily means every day; once per day	nongold
30	if something is caused by something else , then that something can be explained by that something else	nongold
31	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
32	setting is a kind of motion	nongold
33	revolving  around something means orbiting that something	nongold
34	as the rotation speed of a planet increases , the length of day and night will decrease on that planet	nongold
35	diurnal motion is when  objects in the sky appear  to move due to Earth's rotation on its axis	nongold
36	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
37	spin means rotate	nongold
38	a motion is a kind of event; action	nongold
39	the moon rotates on its axis	nongold
40	events occur at a specific place; at a specific time; with a specific frequency	nongold
41	Earth's revolution is a kind of cycle	nongold
42	high is similar to increase	nongold
43	if a human is on a rotating planet then other celestial bodies will appear to move from that human's perspective due to  the rotation of that planet	nongold
44	rising is a kind of motion	nongold
45	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
46	a star is a kind of celestial object; celestial body	nongold
47	an increase is a kind of change	nongold
48	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
49	annual means once per year	nongold
50	rising means height; altitude increases	nongold
51	the Sun is a kind of star	nongold
52	Earth is made of rock	nongold
53	movements of celestial bodies are a kind of event	nongold
54	variable means able to change	nongold
55	all the time means at day and at night	nongold
56	a rotation of the moon takes 1; one month	nongold
57	movement is a kind of change	nongold
58	the moon rising occurs once per day	nongold
59	affected means changed	nongold
60	Earth's tilt on its rotating axis causes seasons to change; to occur	nongold
61	some celestial bodies rotate in space	nongold
62	to add means to increase	nongold
63	the Moon is Earth's moon	nongold
64	a cycle is a kind of process	nongold
65	to slow; to slow down decreases speed	nongold
66	phase means state	nongold
67	a moon is a kind of celestial object; body	nongold
68	a revolution occurs when something revolves around something else	nongold
69	rotation  is  the  circular movement of an object around a center; axis	nongold
70	speed is a measure of how fast an object is moving	nongold
71	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
72	a measure of time is a length of time	nongold
73	constant means not changing	nongold
74	an event is a kind of action	nongold
75	Earth orbiting the Sun causes seasons to change	nongold
76	an increase is the opposite of a decrease	nongold
77	something that happens is a kind of event	nongold
78	the sun is not a star in the night sky	nongold
79	increase means more	nongold
80	faster means an increase; higher in speed	nongold
81	revolve once means to complete a revolution	nongold
82	astronomy is the study of celestial (objects, bodies)	nongold
83	a source of something emits; produces; generates; provides that something	nongold
84	increasing is a kind of order	nongold
85	Earth's surface is made of rock	nongold
86	to happen means to occur	nongold
87	the Earth revolving around the sun causes stars to appear  in different areas in the sky at different times of year	nongold
88	a unit for measuring time is a kind of time interval	nongold
89	length of time means period of time	nongold
90	the Earth being tilted on its rotating axis causes seasons	nongold
91	the sun  is the source of energy for physical cycles on Earth	nongold
92	a change is a kind of event	nongold
93	speed up means increase	nongold
94	travel means to move	nongold
95	can be means able to be	nongold
96	extreme means very high in value	nongold
97	matter; materials; substances are made of atoms; particles	nongold
98	greater means higher; more in value	nongold
99	to lower means to decrease	nongold
