Question	Which statement best describes the energy transformations that occur when a candle burns?	question
Answer	Chemical energy from the wax is converted into light and heat energy.	answer
0	a candle is made of wax	gold
1	a wax is usually a hydrocarbon	gold
2	a lit candle converts chemical energy into light energy; heat energy	nongold
3	combustion means fire converts chemical energy into light energy and heat energy	gold
4	lighting a candle causes that candle to burn	nongold
5	a candle is a source of light when it is burned	nongold
6	a candle is a kind of object	nongold
7	wax is an electrical; electrical energy insulator	nongold
8	wood burns	nongold
9	a flame are a part of a fire	nongold
10	combustion is a kind of chemical change	nongold
11	fire gives off light; heat; smoke	nongold
12	energy conversion is similar to energy transformation	nongold
13	an object; material; substance comes from that object or material's source	nongold
14	fire causes burning	gold
15	to transform means to convert	gold
16	energy transformation means one kind of energy changes into another kind of energy	nongold
17	carbon is a kind of element	gold
18	burning wood is used to produce heat	nongold
19	heat means heat energy	nongold
20	fire is a kind of chemical reaction	nongold
21	chemical energy is a kind of energy	nongold
22	light means light energy	nongold
23	if something comes from something else then that something else is a source of that something	nongold
24	to combust means to catch fire	nongold
25	light is a kind of energy	nongold
26	light is a kind of energy	nongold
27	temperature is a measure of heat energy	nongold
28	a source of something emits; produces; generates; provides that something	nongold
29	paper burns	nongold
30	hydrogen contains chemical energy	nongold
31	substances are made of matter	nongold
32	if something transfers something else then that something is a source of something else	nongold
33	heat is a kind of energy	nongold
34	substances are made of elements	nongold
35	converting is similar to producing	nongold
36	conversion is a kind of process	nongold
37	adding heat to an object sometimes causes chemical reactions	nongold
38	to give off means to be the source of	nongold
39	chemical reactions cause chemical change	nongold
40	emit means produce	nongold
41	materials are made of matter	nongold
42	most chemical reactions release or absorb heat energy	nongold
43	to convert means to change	nongold
44	metal is a kind of material	nongold
45	convert is similar to transfer	nongold
46	the properties of something are used for describing that something	nongold
47	material means substance	nongold
48	where something  comes from is a source of that something	nongold
49	wood is a light material	nongold
50	objects contain chemical energy	nongold
51	combining; mixing two substances chemically causes chemical reactions	nongold
52	an element is a kind of material	nongold
53	to happen means to occur	nongold
54	heating means adding heat	nongold
55	compound is a kind of chemical	nongold
56	if something releases something else then that something is the source of that something else	nongold
57	converting is similar to releasing	nongold
58	matter; materials; substances are made of atoms; particles	nongold
59	chemical change is a kind of chemical reaction	nongold
60	all elements are a kind of pure substance	nongold
61	gas is a kind of substance	nongold
62	heat energy is synonymous with thermal energy	nongold
63	photosynthesis is a kind of chemical  process	nongold
64	wood is an thermal; thermal energy insulator	nongold
65	a  gas is a kind of  element	nongold
66	metal is a thermal; thermal energy conductor	nongold
67	wood is a thermal; thermal energy insulator	nongold
68	photosynthesis is a kind of chemical reaction	nongold
69	a metal is usually a solid at room temperature	nongold
70	an element is a kind of  substance	nongold
71	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
72	fuel contains chemical energy	nongold
73	gas is a kind of material	nongold
74	combustion is a kind of exergonic reaction	nongold
75	light is made of photons	nongold
76	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
77	combustion is a kind of exothermic reaction	nongold
78	fire transfers heat through waves	nongold
79	hydrogen is a kind of element	gold
80	both means two	nongold
81	substances have chemical properties	nongold
82	to be a source of something means to cause that something	nongold
83	wax is always nonmagnetic	nongold
84	objects are made of materials; substances; matter	nongold
85	a burner is a kind of object; surface	nongold
86	to add means to increase	nongold
87	sawdust is insoluble in water	nongold
88	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
89	a fire requires  oxygen to burn	nongold
90	a solid is a kind of substance	nongold
91	a chemical compound is a kind of compound	nongold
92	sulfur is a kind of element	nongold
93	sunlight is a kind of light	nongold
94	lighting a match causes that match to burn	nongold
95	if something generates energy for something else then that something powers that something else	nongold
96	a compound is made of two or more elements that have been chemically combined	gold
97	if too much heat is transferred to an object then that object may burn	nongold
98	gas is a kind of state of matter	nongold
99	chemical compounds contain chemical bonds between atoms; between elements	gold
