Question	Soil erosion can be best prevented by	question
Answer	building terraces into the sides of a slope.	answer
0	terraces reduce soil erosion on slopes	gold
1	a hill is a kind of incline	nongold
2	slope is a measure of the difference in elevation between one part of the land and another part of the land	nongold
3	to inhibit means to prevent	nongold
4	protecting something means preventing harm to that something	nongold
5	soil erosion means soil loss through wind;water; animals	nongold
6	weathering is a kind of erosion	nongold
7	erosion of soil has a  negative impact on the environment; soil quality	nongold
8	water  flows down a slope	nongold
9	construction means building	nongold
10	weathering; erosion usually occurs over a period of many years	nongold
11	inclined means sloping	nongold
12	soil erosion is a kind of slow; natural process	nongold
13	avoiding is similar to preventing	nongold
14	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
15	erosion is a kind of change	nongold
16	erosion usually causes harm to the environment	nongold
17	a ridge is a kind of landform	nongold
18	inhibitor means something that prevents something from happening	nongold
19	best means most positive	nongold
20	erosion; storms can cause a landslide	nongold
21	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
22	erosion is a kind of destructive force	nongold
23	soil is formed by weathering	nongold
24	preventing something decreases the amount of that something	nongold
25	to prevent means to make it not happen	nongold
26	water causes the most soil and rock erosion	nongold
27	a landslide is when water; gravity rapidly moves rocks; soil downhill especially after a rain storm	nongold
28	soil erosion is a kind of event	gold
29	flat means level	nongold
30	soil is formed by rocks eroding	nongold
31	overgrazing increases soil erosion	nongold
32	erosion causes deposition	nongold
33	to keep something from happening means to prevent that something	nongold
34	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
35	harming something has a  negative impact on; effect on that something	nongold
36	soil is made of very small rocks; minerals	nongold
37	erosion is a kind of process	nongold
38	wind and rain; storms cause erosion	nongold
39	a mound is a kind of landform	nongold
40	a structure of something is synonymous with a part of that something	nongold
41	rain causes erosion	nongold
42	erosion sometimes decreases the amount of nutrients in soil	nongold
43	a landform is a kind of natural formation	nongold
44	damage means harm	nongold
45	soil is a part of the ground outside	nongold
46	soil is usually part of an environment	nongold
47	the slope of the land causes a river to flow in a particular direction	nongold
48	rising means elevation	nongold
49	downward means down	nongold
50	lowering is a kind of motion	nongold
51	a landslide is a kind of natural event	nongold
52	soil loss causes grooves in soil	nongold
53	In the erosion process roots of plants are an inhibitor	nongold
54	a hill is a kind of place	nongold
55	low means down	nongold
56	a wall is a kind of surface	nongold
57	soil is a kind of material	nongold
58	adverse effect means negative impact	nongold
59	construction of a building usually requires clearing the land as the first step; beforehand	nongold
60	erosion causes a river to become deeper and wider	nongold
61	tree roots reduce soil erosion	nongold
62	a terrain contains a surface	nongold
63	to prevent the occurence of an event means to decrease the occurence of the event	gold
64	negative impact is the opposite of positive impact	nongold
65	a wall is a kind of object	nongold
66	below means lower down	nongold
67	the bottom is the lowest part of something	nongold
68	if something required for a process is not produced then that process is prevented from occurring; cannot occur	nongold
69	landform means surface feature; physical feature; land feature	nongold
70	sediment is similar to soil	nongold
71	to lower means to decrease	nongold
72	to reduce means to decrease	gold
73	helping means something can be done; completed more easily; better	nongold
74	soil usually has layers	nongold
75	soil is made of solid particles	nongold
76	rising is a kind of motion	nongold
77	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
78	an event is a kind of action	nongold
79	mechanical weathering is when rocks are broken down by mechanical means	nongold
80	downhill means down	nongold
81	the ground is at the bottom of an area	nongold
82	soil is found on the surface of the Earth	nongold
83	to travel up means to rise	nongold
84	soil is permeable	nongold
85	rising means height; altitude increases	nongold
86	impact means effect	nongold
87	helping something has a  positive impact on that something	nongold
88	a structure is a kind of feature	nongold
89	rising means moving upward	nongold
90	elevation relative to sea level is a measure of  how high a place is relative to sea level	nongold
91	sinking means moving down	nongold
92	grass roots reduce soil erosion	nongold
93	soil loss causes an area decrease in size	nongold
94	the ground means Earth's surface	nongold
95	an arch is a kind of land formation	nongold
96	affected means changed	nongold
97	low means low in elevation; height; altitude	nongold
98	buildings collapsing often causes death	nongold
99	hills are a kind of small mountain	nongold
