Question	Which is an example of conduction?	question
Answer	a metal spoon warming in a pot of hot soup	answer
0	metal is a thermal; thermal energy conductor	gold
1	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	gold
2	soup is a kind of liquid	nongold
3	soup is a kind of food	nongold
4	a pot is used for cooking food	nongold
5	a pot is a kind of object	nongold
6	thermal conduction is when heat flows from warmer object to cooler object	nongold
7	heating is the opposite of cooling	nongold
8	water is an thermal; thermal energy conductor	nongold
9	a pot is a kind of container	nongold
10	thermal conduction is when materials conduct heat through those materials through collision of particles	gold
11	boiling is when liquids are heated above their boiling point	nongold
12	a pan;frying pan;pot is used for cooking food by heating food in it on a stove	nongold
13	a hot; warm something is a source of heat	gold
14	a spoon is a kind of object	gold
15	a spoon sometimes is made of metal	nongold
16	when a cooler object touches a warmer object , thermal conduction occurs	nongold
17	pot;pan;frying pan is made of metal for cooking	nongold
18	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
19	a plastic spoon is made of plastic	nongold
20	a thermal conductor is made of materials that conduct thermal energy	nongold
21	conductivity is a property of a material; substance	gold
22	heating means adding heat	nongold
23	if liquid is boiling then that liquid is hot	nongold
24	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
25	warm means medium heat energy; temperature	nongold
26	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
27	a hot substance is a source of heat	nongold
28	if a spoon; an object is used to stir a liquid; mixture then that spoon; that object is touching that liquid; that mixture	nongold
29	heat energy is synonymous with thermal energy	nongold
30	heat means heat energy	nongold
31	temperature is a measure of heat energy	nongold
32	heat means the transfer of thermal energy	nongold
33	the heat energy in the cooler object increases in thermal conduction	nongold
34	warm; becoming warm means heat is added	nongold
35	metal is an  electrical; electrical energy conductor	nongold
36	hot means high in heat energy; temperature	nongold
37	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
38	pots are used for cooking liquid food usually	nongold
39	adding heat means increasing temperature	nongold
40	a kind of something is an example of that something	nongold
41	plastic is a kind of thermal insulator	nongold
42	metal is a kind of material	gold
43	conductivity is a kind of physical property	nongold
44	heat energy  can be used to heat up  an object	nongold
45	friction causes the temperature of an object to increase	nongold
46	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
47	a liquid is a kind of substance	nongold
48	to add means to increase	nongold
49	a container contains objects; material; substances	nongold
50	boiling is a kind of phase change	nongold
51	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
52	warm up means increase temperature	nongold
53	a hot plate is a source of heat	nongold
54	if one surface; one substance; one object touches something then one is exposed to that something	gold
55	a container is a kind of object	nongold
56	objects are made of materials; substances; matter	nongold
57	metal is a kind of substance	nongold
58	if an object is made of a material then that object has the properties of that material	gold
59	warm is similar to hot	nongold
60	water is a kind of liquid at room temperature	nongold
61	material means substance	nongold
62	a beverage is a kind of food	nongold
63	if a container contains something then that container touches that something	nongold
64	a thermal insulator slows; prevents the transfer of heat	nongold
65	plastic is a kind of electrical insulator	nongold
66	heat means temperature increases	nongold
67	food is a kind of object	nongold
68	cooling means temperature decreases	nongold
69	a metal is usually a solid at room temperature	nongold
70	being  on something; placed in something; placed over something means touching  that something	nongold
71	if food is cooked then heat energy is added to that food	nongold
72	warmer means greater; higher in temperature; warmth	nongold
73	food is a kind of substance	nongold
74	water is a kind of object	nongold
75	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
76	boiling is a kind of event	nongold
77	plastic is usually an electrical insulator	nongold
78	if something is in something , then something is exposed to something	nongold
79	conduction is a kind of process	nongold
80	if heat is added to a substance then that substance absorbs that heat	nongold
81	a source of heat can be used to heat something	nongold
82	a source of heat can be used to heat something	nongold
83	mass has no impact on boiling; melting; freezing point	nongold
84	thermal energy is a kind of energy	nongold
85	if something is places over a heat source then that something is exposed to that heat source	nongold
86	friction converts mechanical energy into heat energy	nongold
87	a human is a kind of animal	nongold
88	cooking food requires adding heat energy to the food	nongold
89	water is a kind of substance	nongold
90	friction occurs when two object's surfaces move against each other	nongold
91	frying food is a kind of cooking	nongold
92	a source of something emits; produces; generates; provides that something	nongold
93	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
94	a beverage is a kind of liquid	nongold
95	electricity means electrical energy	nongold
96	rubber is thermal;thermal energy insulator	nongold
97	plastic is a kind of material made by humans	nongold
98	a surface is a part of a material	nongold
99	if heat is transferred to an object , then the object will get hot	nongold
