Question	All natural resources on Earth are either renewable or nonrenewable. Whether a resource is renewable or nonrenewable depends on how fast or slow the resource is replaced. If the resource is used faster than it is replaced, then the resource will, in time, disappear. Which statement describes the use of a renewable natural resource?	question
Answer	A farmer plants different types of crops to protect the soil.	answer
0	crop rotation renews; protects soil	gold
1	a farmer farms crops; plants for  food	gold
2	farming is when a human plants crops for food	gold
3	a crop is a kind of food	nongold
4	to protect means to defend	nongold
5	soil is a renewable resource for growing plants	gold
6	cropland is used for farming by humans	nongold
7	crops are a kind of edible plant for eating	gold
8	decreasing use  of a resource protects that resource	nongold
9	a farmer is a kind of human	gold
10	farming is a source of food	nongold
11	protecting something means preventing harm to that something	nongold
12	a type is synonymous with a kind	nongold
13	crops grow in soil	nongold
14	producing crops requires using farm land	nongold
15	farming is a kind of process	nongold
16	crops; farming cause nutrients in the soil to decrease	nongold
17	crop rotation has a  positive impact on soil quality	gold
18	planting crops is synonymous with growing crops	nongold
19	to protect means to make safe	nongold
20	protecting nature has a positive impact on the environment	nongold
21	crop rotation is when different crops are planted on a field in different years	gold
22	a plant requires soil for survival; to grow	gold
23	a type of something is a kind of property of that something	nongold
24	as the use of a crop increases , the amount of  crops planted will increase	nongold
25	a renewable resource is a kind of natural resource	nongold
26	planting crops requires growing crops	nongold
27	humans eat crops	nongold
28	fast means quickly	nongold
29	protection means resistance to damage increases	nongold
30	no-till farming reduces soil erosion	nongold
31	crops growing well has a positive impact on a farmer's livelihood	nongold
32	soil contains nutrients for plants	nongold
33	farming happens on a farm	nongold
34	a renewable resource can be replaced	nongold
35	green plants are a kind of producer	nongold
36	replanting  a plant means replacing that plant	nongold
37	a plant; living thing requires nutrients to grow	nongold
38	soil is usually part of an environment	nongold
39	farming changes the environment	nongold
40	a renewable resource is a kind of naturally replaced resource	gold
41	variety means different kinds; different types	nongold
42	a producer is a kind of living thing	nongold
43	soil erosion is a kind of slow; natural process	nongold
44	replacement means something that is replaced	nongold
45	faster means increased rate	nongold
46	farming decreases animal habitats	nongold
47	to be used for something means to be required by that something	nongold
48	faster means an increase; higher in speed	nongold
49	renewable is the opposite of nonrenewable	nongold
50	planting crops is a kind of activity	nongold
51	corn is a kind of crop	nongold
52	a plant is a kind of living thing	nongold
53	fast is the opposite of slow	nongold
54	protecting is a kind of function	nongold
55	harming something has a  negative impact on; effect on that something	nongold
56	to use means to utilize	nongold
57	something hard; something strong can be used for protection	nongold
58	to depend on; to rely on; to need means to require	nongold
59	fruit trees are a kind of crop	nongold
60	runoff contains chemicals; fertilizer; pollutants; pesticides from cropland	nongold
61	nature is the source of natural resources	nongold
62	all living things grow	nongold
63	An example of protecting the environment is reducing the amount of waste; the amount of pollutants	nongold
64	plants are a kind of resource	nongold
65	roots are a part of a plant; tree	nongold
66	a plants; living things require water for survival; to grow	nongold
67	high quality; rich; good soil has a high number of nutrients; amount of nitrogen	nongold
68	if something causes something else then that something else depends on that something	nongold
69	renewable resources can be used over again	nongold
70	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
71	if a resource is protected then that resource will be available	nongold
72	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
73	In the food chain process a  green plant has the role of  producer	nongold
74	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
75	a plant is a kind of organism	nongold
76	replace means change from one thing into  another	nongold
77	helping something has a  positive impact on that something	nongold
78	fertile soil is high in quality	nongold
79	a plant requires photosynthesis to grow; survive	nongold
80	soil is a part of the ground outside	nongold
81	a fossil fuel is a kind of natural resource	nongold
82	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
83	planting is a kind of human action	nongold
84	soil is a kind of material	nongold
85	negative impact is the opposite of positive impact	nongold
86	a plant; living thing requires food for survival	nongold
87	erosion of soil has a  negative impact on the environment; soil quality	nongold
88	plants of the same species have the same type of seed	nongold
89	disappearing is similar to decreasing	nongold
90	harvesting is a kind of using	nongold
91	to slow; to slow down decreases speed	nongold
92	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
93	disappeared is similar to gone	nongold
94	a seed is a part of a plant	nongold
95	if a plant; crop requires less water then that plant; crop will survive in a drought	nongold
96	In the erosion process roots of plants are an inhibitor	nongold
97	low quality soil has a small; a low number of nutrients	nongold
98	a natural resource is a kind of environmental factor	nongold
99	using a pesticide usually requires spraying that pesticide on crops	nongold
