Question	Which is the most basic unit of living things?	question
Answer	Cells	answer
0	the cell is the most basic structural unit of life	gold
1	a living thing is made of cells	nongold
2	life means living things	gold
3	a base is basic	nongold
4	a living thing is a kind of object	nongold
5	an organism is a living thing	nongold
6	basic life functions occur in the cells of organisms	nongold
7	all living things are made of cells according to the cell theory	nongold
8	an animal is a kind of living thing	nongold
9	a cell is a kind of object	nongold
10	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
11	to be made of means to consist of	nongold
12	a cell is very small	nongold
13	all living things have life cycles	nongold
14	a structure of something is synonymous with a part of that something	nongold
15	the basic unit of matter is atom	nongold
16	organisms mean life	nongold
17	an animal cell is a kind of cell	nongold
18	a plant cell is a kind of cell	nongold
19	unit is similar to part	nongold
20	to be made of something means to be formed of that something	nongold
21	a component of something means a part of that something	nongold
22	the cell is the smallest unit of an organism that can perform all of the processes of life	nongold
23	the parent cell is the original cell	nongold
24	a component means a part of	nongold
25	an object is made of its parts	nongold
26	cells are a part of the body	nongold
27	a single-celled organism is a kind of living thing	nongold
28	biotic means living	nongold
29	a body cell means a somatic cell	nongold
30	mostly means being the most	nongold
31	composed of means made of	nongold
32	a human cell is a kind of cell	nongold
33	a cell nucleus is a part of a cell	nongold
34	a producer is a kind of living thing	nongold
35	can be means able to be	nongold
36	to contain means to have inside	nongold
37	live means to be alive	nongold
38	made up of means contains; made of	nongold
39	living things can all reproduce	nongold
40	nonliving; non-living; die is the opposite of living; alive; live	nongold
41	living things carry out basic life functions	nongold
42	to be formed by is similar to being produced by	nongold
43	greatest means largest; highest; most amount of something	nongold
44	if something is made of something else then that something can be broken down into that something else	nongold
45	an animal; living thing requires nutrients for survival	nongold
46	if something is made of something else , then that something else will be the component of that something	nongold
47	dying is the opposite of living; surviving	nongold
48	an animal is a kind of eukaryote	nongold
49	objects are made of materials; substances; matter	nongold
50	made of is similar to contains	nongold
51	form means kind	nongold
52	structure is a property of an object; a material; a substance	nongold
53	an animal is a kind of organism	nongold
54	the cell membrane is the membrane around the cell of all living things	nongold
55	cells are a smaller level of organization than tissues in living things	nongold
56	if something is a part of something else then that something else contains that something	nongold
57	living things eat their food source	nongold
58	a source of something emits; produces; generates; provides that something	nongold
59	a multicellular organism is a kind of living thing	nongold
60	a single-celled organism is a kind of organism	nongold
61	make means produce	nongold
62	a whole is formed by its parts	nongold
63	a part of a living thing is a natural structure	nongold
64	a type is synonymous with a kind	nongold
65	once-living means dead	nongold
66	the body is a part of an organism	nongold
67	cell division means cell reproduction	nongold
68	the cell cycle is when a cell forms new cells	nongold
69	a cell membrane is a kind of cell structure	nongold
70	affected means changed	nongold
71	single-celled organism is made of only one cell	nongold
72	a food contains nutrients for living things	nongold
73	if something is made of something; a material then that something contains that something; that material	nongold
74	composition means the (materials, substances) of which something is composed	nongold
75	a plant is made of plant cells	nongold
76	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
77	matter; materials; substances are made of atoms; particles	nongold
78	usually means most of the time	nongold
79	emit means produce	nongold
80	living things are made of organic molecules	nongold
81	living things perform biological processes	nongold
82	to produce means to provide	nongold
83	material means substance	nongold
84	provide is similar to give; make	nongold
85	answering questions requires information	nongold
86	length is a part of size	nongold
87	nucleus is synonymous with core; center	nongold
88	essential means required	nongold
89	dead means not alive	nongold
90	converting is similar to producing	nongold
91	a cell wall is the outermost structure of a plant cell	nongold
92	products are formed; are produced; are created	nongold
93	if something is a part of something then that something can be found in that something	nongold
94	an part of an object is smaller than the entire object	nongold
95	food is a kind of object	nongold
96	a kind of something is an example of that something	nongold
97	a plant cell is box-like in shape	nongold
98	not is similar to the opposite of	nongold
99	to produce means to create	nongold
