Question	Which of the following best describes an interaction between Earth and solar energy that functions to warm up the planet?	question
Answer	absorption of solar energy by continental land masses	answer
0	continental land masses absorb solar energy	gold
1	solar energy is a kind of heat energy	nongold
2	continental land masses are located on Earth	gold
3	the sun is a source of radiation; heat called sunlight	nongold
4	sunlight means solar energy	nongold
5	sunlight is a kind of solar energy	gold
6	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	gold
7	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	gold
8	absorbing is a kind of function	nongold
9	solar energy is a kind of energy	nongold
10	solar energy transfer is a kind of interaction	gold
11	absorbing energy causes objects; materials; substances to heat	nongold
12	Earth is a kind of planet	nongold
13	absorbing sunlight causes objects to heat	nongold
14	solar power means solar energy	nongold
15	the sun is the source of solar energy called sunlight	nongold
16	a relationship occurs when two or more things interact with one another	nongold
17	a planet is a kind of celestial object; body	nongold
18	heat means heat energy	nongold
19	temperature is a measure of heat energy	nongold
20	a continent is a kind of large land mass	nongold
21	land area means land mass	nongold
22	absorption is a kind of process	nongold
23	absorbing is similar to obtaining	nongold
24	a land mass is a kind of object	gold
25	solar radiation means solar energy	nongold
26	sunlight produces heat	nongold
27	heating means adding heat	nongold
28	take in means absorb	nongold
29	solar energy is a kind of light	nongold
30	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
31	absorption is a kind of event	nongold
32	if something transfers energy to something else then that something else absorbs that energy	nongold
33	heat is a kind of energy	nongold
34	if two land masses were once connected then those two landmasses were once a single land mass	nongold
35	the function of something is what that something  is used to do	nongold
36	water absorbs solar energy in the water cycle	nongold
37	solar energy can warm up  the air	nongold
38	to absorb means to capture	nongold
39	the Earth absorbs more energy than it loses	nongold
40	best means most positive	nongold
41	warm up means increase temperature	gold
42	if heat is absorbed from a source then that heat source will cool	nongold
43	the sun is a source of light; light energy called sunlight	nongold
44	to receive sunlight means to absorb sunlight	nongold
45	function is similar to purpose	nongold
46	if something absorbs something else then that something will contain that something else	nongold
47	causing is a kind of function	nongold
48	heat means temperature increases	nongold
49	high is similar to increase	nongold
50	a source of something emits; produces; generates; provides that something	nongold
51	increase means more	nongold
52	something is used for that something's purpose	nongold
53	the sun  is the source of energy for physical cycles on Earth	nongold
54	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
55	to work means to function	nongold
56	if two or more continents seem to fit together like pieces of a puzzle then those continents probably once were a single landmass	nongold
57	receiving sunlight  is synonymous with absorbing sunlight	nongold
58	as the sunlight absorbed by the object increases ,  the temperature of the object  will increase more	nongold
59	if two things perform the same function then those two things are similar	nongold
60	to add means to increase	nongold
61	if heat is added to a substance then that substance absorbs that heat	nongold
62	a source of something increases the amount of that something	nongold
63	to disperse means to separate	nongold
64	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
65	to be used for something means to be required by that something	nongold
66	the ocean transfers more heat than the continent	nongold
67	heat energy is synonymous with thermal energy	nongold
68	collecting is similar to absorbing	nongold
69	if something transfers something else then that something is a source of something else	nongold
70	an increase is a kind of change	nongold
71	land is a kind of landform	nongold
72	hot means high in heat energy; temperature	nongold
73	Earth radiates heat into outer space	nongold
74	a function is a kind of characteristic	nongold
75	an event is a kind of action	nongold
76	where something  comes from is a source of that something	nongold
77	sunlight is a kind of light	nongold
78	a mechanism is a kind of system that performs a function	nongold
79	a function is an activity	nongold
80	if something comes from something else then that something else is a source of that something	nongold
81	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
82	taking in something means receiving; absorbing; getting something	nongold
83	if something requires something else then that something requires a source of that something else	nongold
84	the ocean   stores more heat than the continent	nongold
85	water absorbs light energy	nongold
86	warm means medium heat energy; temperature	nongold
87	adding heat means increasing temperature	nongold
88	the Sun is a kind of star	nongold
89	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
90	if something causes a process then that something is required for that process	nongold
91	to be a vehicle for is a kind of function	nongold
92	a component of something means a part of that something	nongold
93	can be means able to be	nongold
94	a component means a part of	nongold
95	Africa is a kind of continent	nongold
96	to lower means to decrease	nongold
97	distance is a property of space and includes ordered values of close; far	nongold
98	absorbing something harmful has a negative impact on a thing	nongold
99	an increase is the opposite of a decrease	nongold
