Question	A student is given three identically sized blocks. Each block is made of a different material. What characteristic of the blocks should be examined to find out which block is made of metal?	question
Answer	conductivity	answer
0	conductivity is a property of a material; substance	gold
1	what an object is made of is a kind of characteristic	nongold
2	a student is a kind of human	nongold
3	a part of something means a characteristic of something	nongold
4	conductivity is a kind of physical property	nongold
5	to study means to examine	nongold
6	if an object is made of a material then that object has the properties of that material	nongold
7	a block is a kind of object	gold
8	inspect; observe means examine	nongold
9	metals are made of metal	nongold
10	examining sometimes requires measuring	nongold
11	characteristic means property	gold
12	different materials usually have different properties	gold
13	identical is the opposite of different	nongold
14	metal is a kind of substance	nongold
15	trait is synonymous with characteristic	nongold
16	feature is synonymous with characteristic	nongold
17	to detect means to find	nongold
18	to discover means to find	nongold
19	investigating sometimes requires measuring	nongold
20	metal is a kind of material	gold
21	objects are made of materials; substances; matter	gold
22	studying is similar to investigating	nongold
23	investigation sometimes requires experimentation	nongold
24	materials are made of matter	nongold
25	same means identical; equal in value; amount; number; quantity	nongold
26	trait means property	nongold
27	two objects are usually different in size	nongold
28	studying  something usually requires seeing that something	nongold
29	different is the opposite of the same	nongold
30	if an object is made of something then the parts of that object are made of that something	nongold
31	if two things are made from the same objects; material then those two things are similar	nongold
32	if something is made of something; a material then that something contains that something; that material	nongold
33	material means substance	nongold
34	opposite is a kind of different	nongold
35	substances are made of matter	nongold
36	an object has properties	nongold
37	metals usually have greater; higher conductivity than nonmetals	gold
38	to change means to become different	nongold
39	shape is a kind of characteristic	nongold
40	structure is a property of an object; a material; a substance	nongold
41	to identify means to discover	nongold
42	metal is a thermal; thermal energy conductor	nongold
43	examining is a kind of process	nongold
44	studying is similar to observing	nongold
45	matter; materials; substances are made of atoms; particles	nongold
46	a property of something is a feature of that something	nongold
47	identical means copy	nongold
48	the effects of something is a property of that something	nongold
49	a type of something is a kind of property of that something	nongold
50	a structure of something is synonymous with a part of that something	nongold
51	a metal is usually a solid at room temperature	nongold
52	surface type is a kind of characteristic	nongold
53	different types of matter have different chemical properties	nongold
54	a metal is a kind of element	nongold
55	investigating is a kind of process	nongold
56	a human is a kind of animal	nongold
57	a living thing is a kind of object	nongold
58	to be made of something means to be formed of that something	nongold
59	experimentation requires measuring	nongold
60	the  property of something is the same for the things of same kind	nongold
61	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
62	an object is made of its parts	nongold
63	made of is similar to is built from	nongold
64	similarity means the same property	nongold
65	identifying sometimes requires examining	nongold
66	composed of means made of	nongold
67	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
68	a kind of something is an example of that something	nongold
69	can be means able to be	nongold
70	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
71	a structure is a kind of feature	nongold
72	hardness is a property of a material; an object and includes ordered values of malleable; rigid	nongold
73	if two objects are made of similar materials then one of those objects may be formed from material from the other object	nongold
74	an part of an object is smaller than the entire object	nongold
75	if something is copied then that something will be the same; similar; identical	nongold
76	affected means changed	nongold
77	person is synonymous with human	nongold
78	to impact means to affect	nongold
79	small is the opposite of large	nongold
80	form means kind	nongold
81	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
82	a type is synonymous with a kind	nongold
83	high is similar to increase	nongold
84	sense is a kind of characteristic of an animal	nongold
85	strong means high in strength	nongold
86	finding something requires sensing that something	nongold
87	determining often requires measuring; observing	nongold
88	an organism is a living thing	nongold
89	a chemical property is the opposite of a physical property	nongold
90	if two things have the same features then those two things are alike	nongold
91	a learned characteristic is a kind of acquired characteristic	nongold
92	material composition is a kind of chemical property	nongold
93	an increase is the opposite of a decrease	nongold
94	a surface is a part of a material	nongold
95	made up of means contains; made of	nongold
96	steel is a kind of metal	nongold
97	both means two	nongold
98	the properties of something can be used to identify; used to describe that something	nongold
99	not is similar to the opposite of	nongold
