Question	Which process causes the leaves of a plant to become larger?	question
Answer	growth	answer
0	a leaf is a kind of plant	nongold
1	growth means size;number;value;strength increases	gold
2	when a plant grows , the size of; number of the leaves of that plant may increase	gold
3	a leaf is a part of a  green plant	nongold
4	a leaf is a part of a tree	nongold
5	a leaf is small in size	nongold
6	a plant; living thing requires nutrients to grow	nongold
7	a plant is a kind of living thing	nongold
8	growing means a plant's height;mass;size increase	nongold
9	a leaf is a kind of object	nongold
10	a leaf performs photosynthesis; gas exchange	nongold
11	larger means greater; higher; more; increase in size	nongold
12	growing larger is when size increases	gold
13	growth is a kind of process	nongold
14	growing is a kind of process	gold
15	all living things grow	nongold
16	decreasing is similar to becoming smaller	nongold
17	large leaves are a kind of adaptation for absorbing sunlight	nongold
18	growth is a kind of change	nongold
19	shrinking decreases size	nongold
20	smaller means less; lower in size	nongold
21	vegetation means plants	nongold
22	a plant requires photosynthesis to grow; survive	nongold
23	a leaf absorbs sunlight to perform photosynthesis	nongold
24	flourishing means large; high in population size	nongold
25	expand means increase in size	nongold
26	seeds sprouting causes plants to grow	nongold
27	a leaf is a kind of plant organ	nongold
28	length is a part of size	nongold
29	a cycle is a kind of process	nongold
30	becoming is similar to changing	nongold
31	increase means more	nongold
32	developing means growing	nongold
33	to add means to increase	nongold
34	a plant is a kind of organism	nongold
35	a living thing is a kind of object	nongold
36	forming is similar to growing	nongold
37	change is a kind of process	nongold
38	high is similar to increase	nongold
39	as the size of a leaf increases , the amount of  sunlight absorbed by that leaf will increase	nongold
40	greatest means largest; highest; most amount of something	nongold
41	when a plant grows , the roots of that plant may become longer	nongold
42	a process is a kind of event	nongold
43	a process usually requires all of the stages in that process	nongold
44	when things erode , those things may become smaller	nongold
45	a part of a process means a stage in a process	nongold
46	answering questions requires information	nongold
47	growth is a stage in the life cycle process	nongold
48	an part of an object is smaller than the entire object	nongold
49	largest means greatest in size	nongold
50	growing is when an animal's height;mass;size increase	nongold
51	a step in a process means a stage in a process	nongold
52	an increase is a kind of change	nongold
53	a tree is a kind of living thing	nongold
54	a  plant requires sunlight to  grow	nongold
55	small is the opposite of large	nongold
56	greater means higher; more in value	nongold
57	a tree is a kind of matter	nongold
58	larger; bigger is the opposite of smaller	nongold
59	a tree is a kind of plant	nongold
60	expand is a kind of change	nongold
61	An example of growth is an organism developing a new part	nongold
62	higher means greater; above in value; amount; number	nongold
63	to lower means to decrease	nongold
64	if something causes a process then that something is required for that process	nongold
65	an increase is the opposite of a decrease	nongold
66	long means great in length	nongold
67	life means living things	nongold
68	a new plant undergoes early development	nongold
69	increase is similar to extend	nongold
70	as the amount; size of something increases , the extensive properties of that something will increase	nongold
71	becoming is similar to forming	nongold
72	faster means an increase; higher in speed	nongold
73	metamorphosis is a kind of process	nongold
74	trees of different species have differently shaped leaves	nongold
75	as the size of a source of something increases , the amount of the something that that source produces will decrease	nongold
76	denser means more dense	nongold
77	variable means able to change	nongold
78	to change means to cause a change	nongold
79	little means small	nongold
80	the formation of something is a kind of process	nongold
81	to change means to become different	nongold
82	a plant requires space to grow	nongold
83	to cause means to result in	nongold
84	form means kind	nongold
85	as the size of a flower increases , the number of pollinators it will attract increases	nongold
86	to cause means to have an effect	nongold
87	producing is a kind of process	nongold
88	to give is similar to to cause	nongold
89	producing is similar to causing	nongold
90	an organism is a living thing	nongold
91	a tree requires sunlight to grow	nongold
92	to turn means to change	nongold
93	leaves changing color is a kind of process	nongold
94	faster means increased rate	nongold
95	a decrease is a kind of change	nongold
96	becoming is a kind of action	nongold
97	to increase is similar to to create	nongold
98	if something is required for a process then that something positively impacts that process	nongold
99	as amount; size of something increases , the intensive properties of that something will not change	nongold
