Question	Kailey and LeAnn were preparing a report on ocean tides. Which information should they include in their report concerning the greatest influence on the strength of a high tide in a particular area?	question
Answer	the position of the Moon around Earth	answer
0	influence means effect	gold
1	tidal means related to tides	nongold
2	ocean tides are a kind of phenomenon	nongold
3	spring tide is when high tide is at its greatest distance from low tide	nongold
4	influence means impact	nongold
5	greatest means largest; highest; most amount of something	nongold
6	the gravitational pull of the Moon on Earth's oceans causes the tides	gold
7	the tide is when ocean levels periodically rise; fall	nongold
8	high tide is a stage in the tide cycle process	nongold
9	low tide is a stage in the tide cycle process	nongold
10	spring tide is similar to high tide	nongold
11	a moon is a kind of celestial object; body	gold
12	strong means high in strength	nongold
13	Earth is a kind of planet	gold
14	as gravitational pull of the moon decreases , the ocean tides will be lower	nongold
15	an ocean is a kind of body of water	nongold
16	place; location is synonymous with position	gold
17	cause is similar to influence	gold
18	a tide is a kind of natural event	nongold
19	the moon orbits the Earth	nongold
20	weak means low in strength	nongold
21	an environment means an area	nongold
22	area is similar to location	nongold
23	the gravitational pull of the Sun on Earth's oceans causes the tides	nongold
24	revolving  around something means orbiting that something	nongold
25	ocean wave is a kind of wave	nongold
26	being around something means surrounding  that something	nongold
27	a planet is a kind of location	nongold
28	an ocean contains waves	nongold
29	as the gravitational pull of the moon on the Earth decreases , the size of the tides on Earth decrease	nongold
30	tidal range is a measure of the vertical distance from high tide to low tide	nongold
31	to impact means to affect	nongold
32	answering questions requires information	nongold
33	oceans are located on Earth	nongold
34	high is similar to increase	nongold
35	data means information	nongold
36	the Earth revolves around the sun	nongold
37	a hemisphere is a part of Earth	nongold
38	sea means ocean	nongold
39	strength is a kind of property	nongold
40	affected means changed	nongold
41	a factor impacts something	nongold
42	local means relating to a certain area	nongold
43	events occur at a specific place; at a specific time; with a specific frequency	nongold
44	a planet is a kind of celestial object; body	gold
45	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
46	an increase is a kind of change	gold
47	causing is a kind of affecting	nongold
48	spring tides occur during a full moon	nongold
49	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
50	to change means to have an effect	gold
51	waves are made of moving water	nongold
52	spring tides occur during a new moon	nongold
53	the moon rotates on its axis	nongold
54	a body of water is a kind of environment	nongold
55	if something affects a part of something else then that something affects that something else	nongold
56	greater means higher; more in value	nongold
57	place means area	nongold
58	Celestial bodies move in orbits in space around other celestial bodies	nongold
59	a decrease is a kind of change	nongold
60	the Moon is Earth's moon	nongold
61	extreme means very high in value	nongold
62	the moon is the celestial object that is closest to the  Earth	nongold
63	a motion is a kind of event; action	nongold
64	bodies of water are located on Earth's surface	nongold
65	a planet is a kind of place	nongold
66	the moon orbiting the Earth occurs approximately 13 times per year	nongold
67	the tide cycle occurs regularly twice per day	nongold
68	an event is a kind of action	nongold
69	causing means influencing	nongold
70	furthest; farthest means greatest; most; highest in distance	nongold
71	a moon is a kind of satellite	nongold
72	change is a kind of impact	nongold
73	to cause means to have an effect	nongold
74	a region is a kind of location	nongold
75	a source of something emits; produces; generates; provides that something	nongold
76	the Earth rotates on its axis	nongold
77	a hemisphere is a kind of place	nongold
78	if something required by something else is in a place then that something else may be in that place	nongold
79	an increase is the opposite of a decrease	nongold
80	increase means more	nongold
81	strength is a property of an object; a material	nongold
82	impact means effect	nongold
83	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	gold
84	a half of Earth is a hemisphere of Earth	nongold
85	least is the opposite of greatest	nongold
86	location is a kind of information	gold
87	a full moon is a kind of phase of the moon	nongold
88	the moon orbiting the Earth occurs once per month	nongold
89	a source of something increases the amount of that something	nongold
90	low is similar to decrease	nongold
91	a property is a kind of information	nongold
92	to lower means to decrease	nongold
93	the effects of something is a property of that something	nongold
94	a body of water is a source of water	nongold
95	ocean current is a kind of water	nongold
96	the Earth being tilted on its axis causes one side of the Earth; one hemisphere to receive less energy from the Sun than the other side	nongold
97	to be a source of something means to cause that something	nongold
98	Atlantic Ocean is a kind of ocean	nongold
99	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
