Question	Which occurs as the kinetic energy of water molecules increases?	question
Answer	Liquid water becomes water vapor.	answer
0	temperature is a measure of kinetic energy of molecules	nongold
1	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
2	as the kinetic energy of a molecule increases , the temperature will increase	gold
3	water is a kind of liquid at room temperature	gold
4	becoming is similar to changing	nongold
5	vapor is synonymous with gas	nongold
6	a liquid is a kind of fluid	nongold
7	temperature is a measure of heat energy	gold
8	water is a kind of substance	nongold
9	a liquid is a kind of substance	nongold
10	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	gold
11	as the amount of heat energy of a substance; of an object increases , the amount of kinetic energy will increase	nongold
12	liquid is a kind of state of matter	nongold
13	to add means to increase	gold
14	substances are made of molecules	nongold
15	heat means heat energy	nongold
16	heat means temperature increases	nongold
17	water is a kind of matter	gold
18	moving changes potential energy; stored energy into kinetic energy and heat energy	nongold
19	matter is made of molecules	gold
20	kinetic energy is a kind of mechanical energy	nongold
21	an increase is a kind of change	nongold
22	gas is a kind of state of matter	nongold
23	gas is a kind of substance	nongold
24	to happen means to occur	nongold
25	adding heat means increasing temperature	nongold
26	high is similar to increase	nongold
27	a decrease is a kind of change	nongold
28	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
29	a molecule is a kind of object	nongold
30	matter; materials; substances are made of atoms; particles	nongold
31	changes potential energy into kinetic energy through motion	nongold
32	as the  amount of heat energy of a substance; of an object decreases , the amount of kinetic energy will decrease	nongold
33	heat is a kind of energy	nongold
34	water is a kind of water phase	nongold
35	a molecule is a kind of particle	nongold
36	motion is a source of kinetic energy in an object	nongold
37	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
38	particles in a gas have more kinetic energy than particles in a liquid	nongold
39	particles in a liquid have more kinetic energy than particles in a solid	nongold
40	an increase is the opposite of a decrease	nongold
41	substances are made of matter	nongold
42	becoming is similar to forming	nongold
43	water is a kind of object	nongold
44	converting is similar to releasing	nongold
45	as an object moves faster , the kinetic energy of that object will increase	nongold
46	phase means state	nongold
47	increase means more	nongold
48	to convert means to change	nongold
49	solid is a kind of state of matter	nongold
50	as temperature increases , the speed of molecules will increase	nongold
51	An example of an object with kinetic energy is an object in motion	nongold
52	a molecule is made of atoms chemically combined; bonded	nongold
53	to reduce means to decrease	nongold
54	affected means changed	nongold
55	variable means able to change	nongold
56	low is similar to decrease	nongold
57	a molecule is the smallest particle; unit that has the properties of a compound	nongold
58	evaporating is a kind of phase change	nongold
59	a source of something emits; produces; generates; provides that something	nongold
60	steam; water vapor is a kind of water phase	nongold
61	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
62	gas is a kind of object	nongold
63	steam;water vapor is a kind of water above 100 degrees celsius	nongold
64	to lower means to decrease	nongold
65	a molecule is exceptionally small in size	nongold
66	something that happens is a kind of event	nongold
67	if something releases something else then that something else decreases in that something	nongold
68	convert is similar to transfer	nongold
69	a solid is a kind of substance	nongold
70	as kinetic energy increases , the potential energy will decrease	nongold
71	water is a kind of compound	nongold
72	faster means an increase; higher in speed	nongold
73	to emit means to release	nongold
74	if something emits something else then that something increases the amount of that something else	nongold
75	a change is a kind of event	nongold
76	a source of something increases the amount of that something	nongold
77	becoming is a kind of action	nongold
78	objects are made of materials; substances; matter	nongold
79	to slow; to slow down decreases speed	nongold
80	as the kinetic energy of particles increases , the particles will move faster	nongold
81	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
82	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
83	gas is a kind of material	nongold
84	a pure substance is made of only one kind of atom; molecule	nongold
85	evaporation causes amount of water to decrease	nongold
86	to change means to cause a change	nongold
87	phase changes change the arrangement of molecules in a substance; in a sample	nongold
88	as kinetic energy of an object increases , that object will travel faster	nongold
89	as the heat of matter increases , the  average molecular speed in that matter increases	nongold
90	if a value decreases then that value may become; may reach zero; 0	nongold
91	if something causes an increase in something else then that something produces that something else	nongold
92	a molecule of water is made of 2 hydrogen atoms and 1 oxygen atom	nongold
93	a motion is a kind of event; action	nongold
94	less is similar to decrease	nongold
95	atoms are made of particles	nongold
96	heat energy can change the state of matter	nongold
97	formation of a state of matter is a kind of process	nongold
98	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
99	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
