Question	Compared to the Sun, a red star most likely has a greater	question
Answer	volume.	answer
0	a star is a kind of celestial object; celestial body	nongold
1	red giant stars have greater volume than main sequence stars	gold
2	an increase is the opposite of a decrease	nongold
3	greater means higher; more in value	nongold
4	larger means greater; higher; more; increase in size	nongold
5	the Sun is a kind of star	nongold
6	increase means more	nongold
7	less is the opposite of more	nongold
8	Matter in the gas phase has variable volume	nongold
9	less is similar to decrease	nongold
10	size; amount of space means volume	nongold
11	high is similar to increase	nongold
12	higher means greater; above in value; amount; number	nongold
13	an increase is a kind of change	nongold
14	answering questions requires information	nongold
15	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
16	volume is a property of matter	nongold
17	the sun is a kind of yellow dwarf	gold
18	red is a kind of color	nongold
19	variability of shape; variability of volume is a kind of physical property	nongold
20	comparing requires measuring	nongold
21	a white dwarf is a kind of star	nongold
22	a decrease is a kind of change	nongold
23	low is similar to decrease	nongold
24	a star is usually larger than a planet	nongold
25	Matter in the solid phase has definite volume	nongold
26	if an object has a small volume and large mass , then the object will  have a high density	nongold
27	lower means less	nongold
28	to add means to increase	nongold
29	the volume of an object can be used to describe  the size of that object	nongold
30	comparing requires observing that something	nongold
31	Matter in the liquid phase has definite volume	nongold
32	a planet is a kind of celestial object; body	nongold
33	smaller means less; lower in size	nongold
34	if an object is placed in a liquid , then the  increased volume of the liquid will be equal to the volume of that object	nongold
35	a yellow dwarf is a kind of main-sequence star	gold
36	volume is an extensive property	nongold
37	a star produces light and heat	nongold
38	to lower means to decrease	nongold
39	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
40	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
41	an part of an object is smaller than the entire object	nongold
42	to reduce means to decrease	nongold
43	astronomy is the study of celestial (objects, bodies)	nongold
44	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
45	the sun is a source of light; light energy called sunlight	nongold
46	yellow dwarf is a kind of small star	nongold
47	expand is a kind of change in volume	nongold
48	temperature changing can cause volume of the object to change	nongold
49	louder means higher; greater in volume	nongold
50	closer means lower; less; a decrease in distance	nongold
51	larger; bigger is the opposite of smaller	nongold
52	brighter means higher; greater in brightness	nongold
53	low is the opposite of high	nongold
54	if something has a definite volume , then its volume will not change when transferred into a different container	nongold
55	as the amount; size of something increases , the extensive properties of that something will increase	nongold
56	affected means changed	nongold
57	often is similar to likely	nongold
58	small is the opposite of large	nongold
59	largest amount means most	nongold
60	as the volume of an object decreases , the density of that object will increase	nongold
61	less means a reduced amount	nongold
62	faster means an increase; higher in speed	nongold
63	to impact means to affect	nongold
64	expand means increase in volume	nongold
65	density is a measure of mass of an object over volume; divided by volume	nongold
66	fewer means lower; less in number	nongold
67	most means over 50% of something	nongold
68	a star is made of gases	nongold
69	if a substance has volume , then the substance takes up space	nongold
70	little is similar to decrease	nongold
71	furthest; farthest means greatest; most; highest in distance	nongold
72	too much is similar to increase	nongold
73	milliliters is a kind of unit for measuring volume of liquids	nongold
74	the volume of a liquid displaced is similar to the volume of a liquid increased	nongold
75	objects are made of materials; substances; matter	nongold
76	sunlight is a kind of light	nongold
77	a star is very hot in temperature	nongold
78	the sun is a source of radiation; heat called sunlight	nongold
79	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
80	red giant is a kind of stage in the life cycle of a star	nongold
81	a star's surface temperature causes the star's  color	nongold
82	greatest means largest; highest; most amount of something	nongold
83	if two substances have the same volume , then the  substance with less density will have less mass	nongold
84	impact means effect	nongold
85	increasing is a kind of order	nongold
86	the Sun has average brightness compared to other stars	nongold
87	a star is a source of light; light energy through nuclear reactions	nongold
88	extreme means very high in value	nongold
89	hot means high in heat energy; temperature	nongold
90	variable means able to change	nongold
91	as the volume  of a gas in a flexible container increases ,  the volume of the container will increase	nongold
92	a source of something emits; produces; generates; provides that something	nongold
93	a type is synonymous with a kind	nongold
94	a star requires energy	nongold
95	can be means able to be	nongold
96	speed up means increase	nongold
97	as the amplitude of a sound wave increases , the volume of  that sound wave will increase	nongold
98	deplete is similar to decrease	nongold
99	if something emits something else then that something increases the amount of that something else	nongold
