Question	Mounds and ridges in the Snake Range area of Nevada are composed of boulders, sand, and gravel. These landforms were most likely formed by	question
Answer	melting glaciers.	answer
0	a ridge is a kind of landform	gold
1	a mound is a kind of landform	gold
2	boulders; sand; gravel are formed by glaciers melting sometimes	gold
3	landform means surface feature; physical feature; land feature	nongold
4	the Sierra Nevada is a kind of mountain range	nongold
5	a landform is a kind of natural formation	nongold
6	a landform is a kind of object	gold
7	land is a kind of landform	nongold
8	a landform is a kind of place	nongold
9	a landform is a kind of place	nongold
10	piles of rock are a kind of landform	nongold
11	sand is made of very small rocks; minerals	nongold
12	a boulder is a kind of rock	nongold
13	a boulder is a kind of large rock	nongold
14	a mountain is a kind of landform	nongold
15	a snake is a kind of animal	nongold
16	composed of means made of	gold
17	to be made of something means to be formed of that something	nongold
18	rock means stone	nongold
19	sometimes piles of rock are formed by  melting glaciers depositing rocks	nongold
20	land area means land mass	nongold
21	a glacier is a kind of body of water	nongold
22	Nevada is a state located in the United States of America	nongold
23	to be made of means to consist of	nongold
24	sand  is a kind of solid	nongold
25	sand is similar to soil	nongold
26	form means kind	nongold
27	a mountain; mountain range is a kind of environment	nongold
28	an object is made of its parts	gold
29	sand is made of small particles	nongold
30	Earth is made of rock	nongold
31	a glacier is made of a large buildup of ice; snow	nongold
32	a rock is a kind of object	nongold
33	a glacier is made of ice	nongold
34	sand  is a kind of substance	nongold
35	to cause the formation of means to form	nongold
36	Nevada produces more gold than any other state	nongold
37	Nevada has abundant sunshine	nongold
38	to make means to form	gold
39	composition means the (materials, substances) of which something is composed	nongold
40	a rock is usually a solid	nongold
41	a land mass is a kind of object	nongold
42	if an object is made of something then the parts of that object are made of that something	gold
43	mountain area means mountain range	nongold
44	sand  is a kind of material	nongold
45	a whole is formed by its parts	nongold
46	a hill is a kind of place	nongold
47	ice is a kind of solid	nongold
48	soil contains water; humus; weathered rocks; organic matter	nongold
49	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
50	a mountain is a kind of land feature	nongold
51	to be formed by is to be the result of	nongold
52	objects are made of materials; substances; matter	nongold
53	panda is a kind of animal	nongold
54	rock is a kind of material	nongold
55	a mountain range contains mountains	nongold
56	a structure of something is synonymous with a part of that something	nongold
57	a structure is a kind of feature	nongold
58	gravel particles are bigger in size than sand particles	nongold
59	a floodplain is a kind of land; landform	nongold
60	to form means to create	nongold
61	if something is made of something else then that something can be broken down into that something else	nongold
62	gravel is a rough surface	nongold
63	to be formed means to be originated	nongold
64	a volcano is a kind of landform	nongold
65	Earth's surface is made of rock	nongold
66	a mountain is made of rocks; soil	nongold
67	a mountain glacier is a kind of glacier	nongold
68	region is similar to range	nongold
69	to change into means to form	nongold
70	to be formed by is similar to being produced by	nongold
71	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
72	a mountain; hill is taller than the land around it	nongold
73	rock is made of minerals	nongold
74	an animal is a kind of living thing	nongold
75	snow is a kind of ice	nongold
76	a land feature is a kind of physical characteristic	nongold
77	if rocks in an area have many scratches then that area was once covered by glaciers	nongold
78	a sand dune is a kind of land formation	nongold
79	if two objects are made of similar materials then one of those objects may be formed from material from the other object	nongold
80	soil is formed by rocks eroding	nongold
81	sediment is similar to soil	nongold
82	a worm is a kind of animal	nongold
83	ice is a kind of object	nongold
84	soil is made of very small rocks; minerals	nongold
85	classifying means grouping objects; materials by their properties	nongold
86	a sand dune is a kind of hill	nongold
87	a canyon is a kind of landform	nongold
88	breaking down is a kind of forming	nongold
89	hills are a kind of small mountain	nongold
90	an environment means an area	nongold
91	the parts of something make up that something	nongold
92	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
93	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
94	an arch is a kind of land formation	nongold
95	class is a measure of how a rock is formed	nongold
96	made of is similar to is built from	nongold
97	sinkholes; caves are formed by precipitation; infiltration	nongold
98	sediment is formed from rock	nongold
99	made up of means contains; made of	nongold
