Question	What is the highest temperature that water can reach in a pot on a stove?	question
Answer	100°C	answer
0	a pot is a kind of object	nongold
1	a pot is used for cooking food	nongold
2	a pot is a kind of container	nongold
3	a pan;frying pan;pot is used for cooking food by heating food in it on a stove	nongold
4	pots are used for cooking liquid food usually	nongold
5	pot;pan;frying pan is made of metal for cooking	nongold
6	a stove is used for cooking by generating heat	nongold
7	an oven is a source of heat	nongold
8	a stove generates heat for cooking usually	nongold
9	a stove is a kind of machine	nongold
10	temperature is a measure of heat energy	nongold
11	being  on something; placed in something; placed over something means touching  that something	nongold
12	higher means greater; above in value; amount; number	gold
13	boiling point is the highest temperature a liquid can reach	gold
14	hot means high in heat energy; temperature	nongold
15	heating means adding heat	nongold
16	water is a kind of substance	nongold
17	high is similar to increase	nongold
18	heat means heat energy	nongold
19	lowest means least in value; amount; number	nongold
20	a burner is a part of a  stove	nongold
21	water is a kind of liquid at room temperature	gold
22	if an object is touching a warmer object , then the  cooler  object will increase in temperature until two objects reach the same temperature	nongold
23	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
24	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
25	cooking food requires adding heat energy to the food	nongold
26	greatest means largest; highest; most amount of something	nongold
27	cookware is used for cooking	nongold
28	greater means higher; more in value	nongold
29	water is a kind of object	nongold
30	water is an thermal; thermal energy conductor	nongold
31	heat means temperature increases	nongold
32	high means a lot of something	nongold
33	furthest; farthest means greatest; most; highest in distance	nongold
34	heat energy is synonymous with thermal energy	nongold
35	highest means largest; greatest; most in height	nongold
36	an electric stove changes electrical energy into heat energy	nongold
37	metal is a kind of material	nongold
38	the boiling point of water is 212F; 100C; 373K	gold
39	metal is a thermal; thermal energy conductor	nongold
40	low is the opposite of high	nongold
41	if an object is made of a material then that object has the properties of that material	nongold
42	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
43	adding heat means increasing temperature	nongold
44	a pan;frying pan is a kind of container for cooking; food	nongold
45	a container contains objects; material; substances	nongold
46	a container is a kind of object	nongold
47	to add means to increase	nongold
48	a burner is a kind of object; surface	nongold
49	a hot; warm something is a source of heat	nongold
50	if one surface; one substance; one object touches something then one is exposed to that something	nongold
51	low means down	nongold
52	to lower means to decrease	nongold
53	the bottom is the lowest part of something	nongold
54	a liquid is a kind of substance	nongold
55	an insulator is the opposite of a conductor	nongold
56	material means substance	nongold
57	an increase is the opposite of a decrease	nongold
58	wood is a thermal; thermal energy insulator	nongold
59	low is similar to decrease	nongold
60	wood is an thermal; thermal energy insulator	nongold
61	baking is when a human makes food by adding heat	nongold
62	an oven is a kind of electrical device	nongold
63	if a value decreases then that value may become; may reach zero; 0	nongold
64	warmer means greater; higher in temperature; warmth	nongold
65	food is a kind of substance	nongold
66	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
67	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
68	gas is a kind of material	nongold
69	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
70	heating elements are usually a part of an oven	nongold
71	heat energy  can be used to heat up  an object	nongold
72	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
73	solar energy is a kind of heat energy	nongold
74	extreme means very high in value	nongold
75	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
76	steam;water vapor is a kind of water above 100 degrees celsius	nongold
77	a hot plate is a source of heat	nongold
78	wood is a kind of object	nongold
79	baking is similar to cooking	nongold
80	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
81	as the specific heat of a material decreases , the temperature of the material will increase given the same amount of energy	nongold
82	a source of something emits; produces; generates; provides that something	nongold
83	closer means lower; less; a decrease in distance	nongold
84	a thermal conductor is made of materials that conduct thermal energy	nongold
85	warm means medium heat energy; temperature	nongold
86	increase means more	nongold
87	cooking oil is a kind of oil	nongold
88	an part of an object is smaller than the entire object	nongold
89	if a container contains something then that container touches that something	nongold
90	a burner is made of metal	nongold
91	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
92	being in something means touching that something	nongold
93	a source of heat can be used to heat something	nongold
94	a source of heat can be used to heat something	nongold
95	wood is a kind of natural material	nongold
96	a surface is a part of a material	nongold
97	food is a kind of object	nongold
98	heat is a kind of energy	nongold
99	cooking is a kind of process	nongold
