Question	Which of these substances conducts electricity the best?	question
Answer	Copper	answer
0	electricity sometimes is used for heating buildings; substances	nongold
1	best means most positive	nongold
2	electricity means electrical energy	gold
3	copper is a kind of metal	gold
4	electrical conduction is when metals; electrical conductors conduct electricity through a wire;electrical conductor;metal	nongold
5	better means good	nongold
6	to conduct is similar to to transfer	nongold
7	conductivity is a measure of how easily electricity travels through a material	nongold
8	electricity is used as an energy source by electrical devices	nongold
9	metal is an  electrical; electrical energy conductor	gold
10	good means positive	nongold
11	copper is a kind of element	nongold
12	a good conductor is a conductor	nongold
13	conductivity is a property of a material; substance	nongold
14	a source of something emits; produces; generates; provides that something	nongold
15	sending electricity through a conductor causes electricity; electric current to flow through that conductor	nongold
16	metal is a kind of substance	nongold
17	conducting is similar to exchanging	nongold
18	carrying is similar to conducting	nongold
19	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
20	an electrical device requires electricity to turn on	nongold
21	conduction is a kind of process	nongold
22	a wire is a part of an electrical circuit for conducting electricity	nongold
23	electric devices require electrical energy to function	nongold
24	electrical devices are used for industrial purposes; household purposes by humans	nongold
25	electrical energy is a kind of energy	nongold
26	metals usually have greater; higher conductivity than nonmetals	nongold
27	conducting is a kind of function	nongold
28	if something is powered by something else then that something requires a source of that something else	nongold
29	providing something means making;delivering something	nongold
30	to be used for something means to be required by that something	nongold
31	wax is an electrical; electrical energy insulator	nongold
32	emit means produce	nongold
33	an electrical insulator slows; prevents the transfer of; flow of electricity	nongold
34	An electrical conductor is a vehicle for the flow of electricity	nongold
35	the  chemical symbol for copper is Cu	nongold
36	generating power is a kind of positive impact	nongold
37	to be good for means to have a positive impact on	nongold
38	copper is always nonmagnetic	nongold
39	electrical current means electrical energy	nongold
40	if electricity flows through; is transferred through the body of an animal then that animal is electrocuted	nongold
41	producing electricity sometimes requires burning oil	nongold
42	metal is a thermal; thermal energy conductor	nongold
43	a power plant converts chemical energy from energy source into electricity	nongold
44	a heating element converts electrical energy; electricity into heat energy for heating	nongold
45	operating electrical appliances requires electricity	nongold
46	closing an electric circuit causes an electrical device to function	nongold
47	an electric circuit is a vehicle for moving electrical energy from the source to  the electrical device	nongold
48	insulator means good insulator	nongold
49	a magnet moving in a coil of copper wire can cause an electric current	nongold
50	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
51	zinc is a kind of metal	nongold
52	plastic is usually an electrical insulator	gold
53	to power means to provide energy for	nongold
54	high is similar to increase	nongold
55	helping means something can be done; completed more easily; better	nongold
56	an object; material; substance comes from that object or material's source	nongold
57	oil is used for producing electricity	nongold
58	electricity is made of moving charges; moving charged particles	nongold
59	to change means to have an effect	nongold
60	the function of something is what that something  is used to do	nongold
61	emit means send out	nongold
62	plastic is a kind of electrical insulator	nongold
63	brass is made of copper and zinc	nongold
64	biofuel is used to produce electricity by burning	nongold
65	high-quality means positive	nongold
66	an insulator is the opposite of a conductor	gold
67	a complete electrical circuit is a source of  electrical energy	nongold
68	metal is a nonrenewable resource	nongold
69	can be means able to be	nongold
70	to give off means to be the source of	nongold
71	current means electric current	nongold
72	an electric outlet is a source of electricity	nongold
73	conductivity is a kind of physical property	nongold
74	renewable is the opposite of nonrenewable	nongold
75	a metal is a kind of element	nongold
76	a circuit is a kind of electrical component	nongold
77	to cause means to have an effect	nongold
78	natural gas is used for generating electricity by burning in a power plant	nongold
79	rubbing different materials can cause electrical charge	nongold
80	metals are made of metal	nongold
81	iron is a kind of metal	nongold
82	a bar of copper is a kind of object	nongold
83	provide is similar to give; make	nongold
84	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
85	completing a circuit causes electricity; electric current to flow  through that circuit	nongold
86	all elements are a kind of pure substance	nongold
87	metal is a kind of natural resource	nongold
88	to provide something means to be the source of that something	nongold
89	chemicals means substances	nongold
90	answering questions requires information	nongold
91	an element is a kind of  substance	nongold
92	substances have chemical properties	nongold
93	fluorine is not a metal	nongold
94	a type is synonymous with a kind	nongold
95	to add means to increase	nongold
96	a larger power source provides more current to a wire; a conductor; an electromagnet	nongold
97	electrical signals are made of electrical energy	nongold
98	make means produce	nongold
99	if the amount of electricity converted from the potential energy of an object is less than the amount of potential energy in the object , then the  potential energy is converted into other energy other than electricity	nongold
