Question	Owen tested a physical property of a mineral. He rubbed a mineral sample on a piece of white tile. The mineral left a red mark on the tile. Which of the following physical properties of the mineral was Owen most likely testing?	question
Answer	streak	answer
0	testing the streak of a mineral requires the powdered form of that mineral	nongold
1	streak is a property of a mineral	gold
2	streak is a measure of the color of a mineral below the surface or as a powder	gold
3	a mineral is a kind of solid; natural material	nongold
4	a mineral is a kind of object	nongold
5	a white tile can be used as a streak plate	gold
6	when a mineral is rubbed on a streak plate , some of the material breaks off and forms a powder	gold
7	testing often requires measuring	nongold
8	a physical property is a kind of property	nongold
9	a piece of something is a kind of object	nongold
10	experiment is synonymous with test	nongold
11	state of matter is a kind of physical property	nongold
12	sample is similar to small amount of substance; matter	nongold
13	conductivity is a kind of physical property	nongold
14	an object has properties	nongold
15	rubbing  is a kind of motion	nongold
16	often is similar to likely	nongold
17	trial is synonymous with test	nongold
18	red is a kind of color	gold
19	state of matter at room temperature is a kind of physical property	nongold
20	a surface is a part of an object	nongold
21	if one mineral can scratch another mineral then that other mineral is softer than that one mineral	nongold
22	a surface is a part of a material	nongold
23	if an object is made of a material then that object has the properties of that material	nongold
24	a living thing is a kind of object	nongold
25	a piece is a part of a whole	nongold
26	material means substance	nongold
27	experimentation requires measuring	nongold
28	substances are made of matter	nongold
29	rubbing against something is a kind of contact	nongold
30	rock is made of minerals	nongold
31	objects are made of materials; substances; matter	nongold
32	hardness is a kind of physical property	nongold
33	conductivity is a property of a material; substance	nongold
34	structure is a property of an object; a material; a substance	nongold
35	color is a kind of physical; visual property	nongold
36	if something undergoes a physical change then the physical properties of that something will change	nongold
37	hardness is a property of a material; an object and includes ordered values of malleable; rigid	nongold
38	texture is a kind of physical property	nongold
39	a surface is a kind of object	nongold
40	a piece of an object is smaller in size than the whole object	nongold
41	being  on something; placed in something; placed over something means touching  that something	nongold
42	materials are made of matter	nongold
43	to rub; to rub together means to move against	nongold
44	the  property of something is the same for the things of same kind	nongold
45	An example of a substance is a white, powdery surface	nongold
46	rubbing different materials can cause electrical charge	nongold
47	a rock is a kind of object	nongold
48	an part of an object is smaller than the entire object	nongold
49	material composition is a kind of chemical property	nongold
50	different materials usually have different properties	nongold
51	physical state means state of matter	nongold
52	rock is a kind of material	nongold
53	hardness is an intensive property	nongold
54	characteristic means property	nongold
55	a mineral usually has a crystal structure	nongold
56	the effects of something is a property of that something	nongold
57	color is a property of  an object; a material	nongold
58	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
59	state of matter means physical state	nongold
60	if something exists on a surface then that surface contains that something	nongold
61	what something needs is a property of that something	nongold
62	particles in objects are a kind of matter	nongold
63	an object is made of its parts	nongold
64	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
65	composed of means made of	nongold
66	measuring the hardness of minerals requires  scratching those materials	nongold
67	an event is a kind of action	nongold
68	variable means able to change	nongold
69	if one surface; one substance; one object touches something then one is exposed to that something	nongold
70	can be means able to be	nongold
71	a property of something is a feature of that something	nongold
72	if something is made of something; a material then that something contains that something; that material	nongold
73	good means positive	nongold
74	a structure of something is synonymous with a part of that something	nongold
75	texture is a property of  surfaces; materials; objects and includes ordered  values of smooth; rough	nongold
76	a result of something is evidence of that something	nongold
77	form means kind	nongold
78	high-quality means positive	nongold
79	a type of something is a kind of property of that something	nongold
80	answering questions requires information	nongold
81	a property is similar to a factor	nongold
82	both means two	nongold
83	a type is synonymous with a kind	nongold
84	high is similar to increase	nongold
85	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
86	not is similar to the opposite of	nongold
87	determine is similar to cause	nongold
88	touching something means feeling that something	nongold
89	heat means heat energy	nongold
90	gypsum is a kind of mineral	nongold
91	to touch means to contact	nongold
92	density is a kind of physical property	nongold
93	liquid is a kind of state of matter	nongold
94	affected means changed	nongold
95	a property is a kind of information	nongold
96	to cause an event means to make that event more likely	nongold
97	appearance  is a kind of physical property	nongold
98	a chemical property is the opposite of a physical property	nongold
99	a component means a part of	nongold
