Question	What compound is formed when the soft putty-like metal sodium	question
Answer	?	answer
0	sodium is a kind of metal	gold
1	potassium is a kind of element	nongold
2	sodium is a kind of element	nongold
3	a compound is a kind of substance	nongold
4	a compound is a kind of material	nongold
5	sodium chloride is a kind of substance	nongold
6	compound is a kind of chemical	nongold
7	sodium chloride is a kind of chemical compound	nongold
8	a chemical compound is a kind of compound	nongold
9	zinc chloride is a kind of compound	nongold
10	metal is a kind of substance	nongold
11	metal is a kind of material	nongold
12	sodium chloride is always made of chemically combined chlorine and sodium	gold
13	an element is a kind of material	nongold
14	sodium chloride means salt	nongold
15	down is soft	nongold
16	an element is a kind of  substance	nongold
17	a metal is a kind of element	nongold
18	NaCl means sodium chloride	nongold
19	sodium chloride is a kind of molecule	nongold
20	substances have chemical properties	nongold
21	chemical reactions cause new substances; different substances to form	gold
22	chlorine is a kind of element	nongold
23	hydrogen chloride is made of hydrogen and chlorine	nongold
24	table salt means sodium chloride	gold
25	to be made of something means to be formed of that something	nongold
26	zinc is a kind of metal	nongold
27	tungsten is a kind of metal	nongold
28	to be formed by is similar to being produced by	nongold
29	substances are made of elements	nongold
30	a compound is made of two or more elements that have been chemically combined	nongold
31	soft iron; iron is always ferromagnetic; magnetic	nongold
32	all elements are a kind of pure substance	nongold
33	a halogen is a kind of element	nongold
34	water is a kind of compound	nongold
35	form means kind	nongold
36	if something is soft , then that something is malleable	nongold
37	an alkaline earth metal is a kind of element	nongold
38	an insulator is the opposite of a conductor	nongold
39	metal is a thermal; thermal energy conductor	nongold
40	if a substance is made of one element , then the substance is called an element	nongold
41	sodium carbonate is made of sodium, carbon, oxygen	nongold
42	soft is a kind of touch sensation	nongold
43	chemical reactions cause chemical change	nongold
44	sodium carbonate is a kind of  compound	nongold
45	sodium chloride dissolves in water when they are combined	nongold
46	chemicals means substances	nongold
47	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
48	to cause means to make	nongold
49	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
50	rubber is thermal;thermal energy insulator	nongold
51	a compound can be chemically separated into the elements that it is made of	nongold
52	being  on something; placed in something; placed over something means touching  that something	nongold
53	salt is a kind of pure substance	nongold
54	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
55	composed of means made of	nongold
56	chemical compounds contain chemical bonds between atoms; between elements	nongold
57	if an object is made of a material then that object has the properties of that material	nongold
58	argon is a kind of element	nongold
59	Na means sodium	nongold
60	material means substance	nongold
61	K means potassium	nongold
62	hydrochloric acid is made of hydrogen chloride dissolved in water	nongold
63	a nutrient is a kind of chemical compound	nongold
64	adding heat to an object sometimes causes chemical reactions	nongold
65	to give off means to be the source of	nongold
66	sodium bicarbonate is a kind of compound	nongold
67	provide is similar to give; make	nongold
68	products are formed; are produced; are created	nongold
69	forming is similar to converting	nongold
70	objects are made of materials; substances; matter	nongold
71	to give is similar to to cause	nongold
72	heat means heat energy	nongold
73	chemical reaction means chemical bonds change	nongold
74	iron is a kind of element	nongold
75	iron is a kind of metal	nongold
76	give off is similar to make	nongold
77	can be means able to be	nongold
78	An example of a chemical property is the elements a compound is made of	nongold
79	make means produce	nongold
80	gas is a kind of material	nongold
81	chemical bonds are formed by chemically combining elements; atoms; molecules	nongold
82	chemical change is a kind of chemical reaction	nongold
83	made of is similar to contains	nongold
84	combining; mixing two substances chemically causes chemical reactions	gold
85	soft is a kind of hardness	nongold
86	temperature is a measure of heat energy	nongold
87	an insulator is a kind of material	nongold
88	a source of something emits; produces; generates; provides that something	nongold
89	chromium is a kind of metal	nongold
90	to make means to form	nongold
91	if the elements have similar chemical reactivity , then the elements will react with other elements in a similar way	nongold
92	to put on means to wear	nongold
93	cooking causes a chemical reaction	nongold
94	the chemistry of something is similar to what that something is made of	nongold
95	metals are made of metal	nongold
96	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
97	state means form	nongold
98	rubber is a kind of material	nongold
99	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
