Question	What season is the Northern Hemisphere experiencing when it is tilted directly toward the Sun?	question
Answer	summer	answer
0	summer is when a hemisphere is tilted towards the sun	gold
1	winter is when a hemisphere is tilted away from the sun	nongold
2	winter in a hemisphere occurs when the Pole located in that hemisphere is tilted away from the Sun	nongold
3	summer is a kind of season	nongold
4	winter is a kind of season	nongold
5	winter in the Northern Hemisphere is during the summer in the Southern Hemisphere	nongold
6	the Northern Hemisphere is a kind of hemisphere of Earth	gold
7	summer has hot temperatures; weather	nongold
8	the Earth being tilted on its rotating axis causes seasons	nongold
9	winter in the Southern Hemisphere is during the summer in the Nouthern Hemisphere	nongold
10	the Southern Hemisphere is a kind of hemisphere of Earth	nongold
11	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
12	winter is a part of the year	nongold
13	Earth's tilt on its rotating axis causes seasons to change; to occur	nongold
14	season is a major yearly temperature change	nongold
15	when a hemisphere is tilted towards the sun , that hemisphere receives more direct sunlight	nongold
16	an increase is a kind of change	nongold
17	temperature is a measure of heat energy	nongold
18	winter means environmental; outdoor temperature decreases	nongold
19	spring is a kind of season	nongold
20	toward is a kind of direction	nongold
21	weather changes from seasons to seasons	nongold
22	being in the sun is synonymous with being in the sunlight	nongold
23	a hemisphere is a kind of place	nongold
24	each season occurs once per year	nongold
25	Earth orbiting the Sun causes seasons to change	nongold
26	every summer  is a kind of period of time	nongold
27	a hemisphere is a part of Earth	nongold
28	seasons cause change to the environment	nongold
29	high is similar to increase	nongold
30	towards means closer to something	nongold
31	the Southern Hemisphere is located south of the Northern Hemisphere	nongold
32	winter has cold temperatures;weather	nongold
33	the Sun is a kind of star	nongold
34	summer has the most sunlight	nongold
35	to add means to increase	nongold
36	heat means heat energy	nongold
37	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
38	to be in the sun means to be in the sunlight	nongold
39	the sun rises in the east	nongold
40	spring has warm temperatures; weather	nongold
41	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
42	summer follows spring	nongold
43	motion is when moves an object; something to a direction	nongold
44	an increase is the opposite of a decrease	nongold
45	the sun setting is a kind of event	nongold
46	a star is a kind of celestial object; celestial body	nongold
47	Autumn is a kind of season	nongold
48	a motion is a kind of event; action	nongold
49	when a hemisphere is tilted away from the sun , that hemisphere receives less direct sunlight	nongold
50	toward is the opposite of away	nongold
51	heat means temperature increases	nongold
52	the Western Hemisphere is a kind of hemisphere of Earth	nongold
53	annual means once per year	nongold
54	the sun rising is a kind of event	nongold
55	a change is a kind of event	nongold
56	the sun sets in the west	nongold
57	a decrease is a kind of change	nongold
58	setting is a kind of motion	nongold
59	warmer means greater; higher in temperature; warmth	nongold
60	variable means able to change	nongold
61	affected means changed	nongold
62	the summer solstice is on June 21st in the northern hemisphere	nongold
63	low is similar to decrease	nongold
64	hot means high in heat energy; temperature	nongold
65	increase means more	nongold
66	an event is a kind of action	nongold
67	a spring is a kind of object	nongold
68	the sun rising; setting occurs once per day	nongold
69	sunlight is a kind of solar energy	nongold
70	spring follows winter	nongold
71	to lower means to decrease	nongold
72	the sun is a source of light; light energy called sunlight	nongold
73	the intensity of sunlight is a kind of seasonal weather pattern	nongold
74	the leaves of a plant tilt in the direction of sunlight	nongold
75	sunlight is a kind of light	nongold
76	adding heat means increasing temperature	nongold
77	the sun is the source of solar energy called sunlight	nongold
78	phase means state	nongold
79	something that happens is a kind of event	nongold
80	the winter solstice is on June 21st in the southern hemisphere	nongold
81	staying means not changing	nongold
82	winter is the opposite of summer	nongold
83	years are a kind of unit for measuring time	nongold
84	receiving sunlight  is synonymous with absorbing sunlight	nongold
85	closer means lower; less; a decrease in distance	nongold
86	a source of something emits; produces; generates; provides that something	nongold
87	furthest; farthest means greatest; most; highest in distance	nongold
88	the winter solstice is on December 21st in the northern hemisphere	nongold
89	to reduce means to decrease	nongold
90	the Eastern Hemisphere is a kind of hemisphere of Earth	nongold
91	the Earth being tilted on its axis causes one side of the Earth; one hemisphere to receive less energy from the Sun than the other side	nongold
92	precipitation is when water falls from the sky	nongold
93	a new season occurs four times per year	nongold
94	seasonal changes are made in response to changes in the environment	nongold
95	temperature is a property of weather	nongold
96	a seasonal change is a kind of environmental change	nongold
97	answering questions requires information	nongold
98	precipitation is a kind of weather	nongold
99	the Earth revolves around the sun	nongold
