Question	Sodium, Na, is in the same group as	question
Answer	K.	answer
0	Na means sodium	gold
1	K means potassium	gold
2	NaCl means sodium chloride	nongold
3	sodium is a kind of element	nongold
4	potassium is a kind of element	nongold
5	sodium is a kind of metal	nongold
6	same means identical; equal in value; amount; number; quantity	nongold
7	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	gold
8	if something changes , then that something is not the same	nongold
9	sodium chloride is a kind of substance	nongold
10	different is the opposite of the same	nongold
11	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
12	elements in the same group on the Periodic Table of Elements have similar chemical properties	nongold
13	an element is a kind of  substance	nongold
14	a metal is a kind of element	nongold
15	stay the same means not changing	nongold
16	a halogen is a kind of element	nongold
17	elements in the same group on the Periodic Table of Elements have similar properties	nongold
18	sodium chloride is a kind of molecule	nongold
19	substances are made of elements	nongold
20	an alkaline earth metal is a kind of element	nongold
21	opposite is a kind of different	nongold
22	a compound can be chemically separated into the elements that it is made of	nongold
23	if something is copied then that something will be the same; similar; identical	nongold
24	to remain means to stay the same	nongold
25	sodium chloride means salt	nongold
26	tungsten is a kind of metal	nongold
27	chemical reactions cause new substances; different substances to form	nongold
28	an ion has a net positive; net negative charge	nongold
29	sodium chloride is a kind of chemical compound	nongold
30	the  elements in the chemical reaction stays the same after the reaction	nongold
31	all elements are a kind of pure substance	nongold
32	compound is a kind of chemical	nongold
33	sodium carbonate is made of sodium, carbon, oxygen	nongold
34	table salt means sodium chloride	nongold
35	to group means to separate	nongold
36	a compound is a kind of substance	nongold
37	to be made of something means to be formed of that something	nongold
38	calcium is a kind of element	nongold
39	to be formed by is similar to being produced by	nongold
40	Calcium; Beryllium; Strontium; Radium; Barium; Magnesium is located in alkaline earth metal family; group 2 on the periodic table	nongold
41	if something has no impact on something else then that something else stays the same	nongold
42	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
43	zinc chloride is a kind of compound	nongold
44	a compound is made of two or more elements that have been chemically combined	nongold
45	chlorine is a kind of element	nongold
46	if something is not the same as something else then that something is different from that something else	nongold
47	to change means to become different	nongold
48	if a substance is made of one element , then the substance is called an element	nongold
49	the  property of something is the same for the things of same kind	nongold
50	an element is made of one kind of atoms	nongold
51	a chemical compound is a kind of compound	nongold
52	sodium carbonate is a kind of  compound	nongold
53	sodium chloride is always made of chemically combined chlorine and sodium	nongold
54	a nonmetal is a kind of element	nongold
55	zinc is a kind of metal	nongold
56	chromium is a kind of metal	nongold
57	substances have chemical properties	nongold
58	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
59	decomposing is similar to separating	nongold
60	salt is a kind of pure substance	nongold
61	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
62	argon is a kind of element	nongold
63	together means in a group	nongold
64	in common is similar to the same	nongold
65	an  element is a kind of atom	nongold
66	can be means able to be	nongold
67	salt is always nonmagnetic	nongold
68	An example of a chemical property is the elements a compound is made of	nongold
69	form means kind	nongold
70	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
71	composed of means made of	nongold
72	made of is similar to contains	nongold
73	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
74	hydrogen chloride is made of hydrogen and chlorine	nongold
75	to give is similar to to cause	nongold
76	an element is a kind of material	nongold
77	constant is similar to same	nongold
78	if two things are made from the same objects; material then those two things are similar	nongold
79	Fluorine(F); Chlorine(Cl); Bromine(Br); Iodine(I); Astatine(At) is located in halogens family; group 17 on the periodic table	nongold
80	water is a kind of compound	nongold
81	to belong to a group means to be a kind of something	nongold
82	nonmetal means not metal	nongold
83	salt is a kind of solid	nongold
84	carbon is a kind of element	nongold
85	elements on the right side of the periodic table tends to form ions by gaining electrons	nongold
86	chemical reactions cause chemical change	nongold
87	a compound is a kind of material	nongold
88	sodium chloride dissolves in water when they are combined	nongold
89	if something is dissolved , then that something is the solute	nongold
90	sodium bicarbonate is a kind of compound	nongold
91	both means two	nongold
92	affected means changed	nongold
93	organic compounds do not contain potassium	nongold
94	forming is similar to converting	nongold
95	elements on the left side of the periodic table tends to form ions by losing electrons	nongold
96	answering questions requires information	nongold
97	apart is the opposite of together	nongold
98	identical is the opposite of different	nongold
99	nonmetal means nonmetals	nongold
