Question	Which of the following characteristics of an individual wolf is most affected by its environment?	question
Answer	the condition of its fur	answer
0	condition is a property of an environment	nongold
1	a wolf is a kind of animal	gold
2	a part of something means a characteristic of something	nongold
3	trait is synonymous with characteristic	nongold
4	an animal is a kind of living thing	nongold
5	fur is often part of an animal	gold
6	the color of; coloration of fur is an inherited characteristic	nongold
7	condition means the state of the property	nongold
8	the condition of parts of an organism are acquired characteristics	gold
9	characteristic means property	nongold
10	feature is synonymous with characteristic	nongold
11	coat means fur coat	nongold
12	fur is usually part of a mammal	nongold
13	a living thing is a kind of object	nongold
14	if something affects a part of something else then that something affects that something else	nongold
15	impact means effect	nongold
16	an animal is a kind of organism	gold
17	an organism's environment affects that organism's acquired characteristics	gold
18	damage means harm	nongold
19	causing is a kind of affecting	nongold
20	to impact means to affect	nongold
21	affected means changed	nongold
22	an inherited characteristic is a kind of characteristic	nongold
23	an organism is a living thing	nongold
24	harming something has a  negative impact on; effect on that something	nongold
25	the shape of body parts is an inherited characteristic	nongold
26	trait means property	nongold
27	a fox is a kind of animal	nongold
28	change is a kind of impact	nongold
29	a part of a living thing is a natural structure	nongold
30	an adaptation is a kind of characteristic	nongold
31	a structure of something is synonymous with a part of that something	nongold
32	if a living thing requires something then that something has a positive impact on that living thing	nongold
33	what an object is made of is a kind of characteristic	nongold
34	to change means to have an effect	nongold
35	to cause means to have an effect	nongold
36	each is similar to individual	nongold
37	harming an environment causes harm to the living things; to the organisms in that environment	nongold
38	human is similar to individual	nongold
39	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
40	the effects of something is a property of that something	nongold
41	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
42	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
43	fur is usually soft in texture	nongold
44	an environment means an area	nongold
45	a human is a kind of animal	nongold
46	coloration is a kind of adaptation for hiding;camouflage	nongold
47	to hurt means to harm	nongold
48	a property of something is a feature of that something	nongold
49	organisms are a part of an environment	nongold
50	protecting something means preventing harm to that something	nongold
51	fur is a covering around the body of an animal	nongold
52	hair; fur is  a part of skin for protection; keeping warm	nongold
53	an increase is the opposite of a decrease	nongold
54	killing means changing a living thing from alive to dead by harming	nongold
55	a structure is a kind of feature	nongold
56	coloration means a thing's color	nongold
57	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
58	a type is synonymous with a kind	nongold
59	the colors of parts of an organism are inherited characteristics	nongold
60	damage has a negative impact on a thing	nongold
61	having an impact on something means altering that something	nongold
62	camouflage is a kind of adaptation for hiding in an environment	nongold
63	skin is a part of an animal; plant	nongold
64	a negative impact is a kind of consequence; risk	nongold
65	temperature is a kind of condition	nongold
66	a behavior is a kind of characteristic	nongold
67	the body is a part of an organism	nongold
68	harm means injury	nongold
69	a factor impacts something	nongold
70	something harmful can cause harm	nongold
71	a mammal is a kind of animal	nongold
72	as the ability to survive; ability to reproduce of a living thing increases , the likelyhood of  passing on its traits to its decendents will increase	nongold
73	shape is a kind of characteristic	nongold
74	if an animal's fur is a color then that animal is that color	nongold
75	low is similar to decrease	nongold
76	nonliving; non-living; die is the opposite of living; alive; live	nongold
77	a dog is a kind of animal	nongold
78	harming an animal species has a  negative impact on the population size of that species	nongold
79	little is similar to decrease	nongold
80	helping something has a  positive impact on that something	nongold
81	adverse effect means negative impact	nongold
82	an animal; living thing requires nutrients for survival	nongold
83	most means over 50% of something	nongold
84	negative impact is the opposite of positive impact	nongold
85	an object has properties	nongold
86	the head is a part of an animal	nongold
87	an animal requires enough nutrients to maintain good health; survive	nongold
88	to be affected by something is similar to depending on something	nongold
89	dying is the opposite of living; surviving	nongold
90	an adaptation is a kind of change	nongold
91	an adaptation  is  a change in a population over successive generations that  helps  individuals organisms in that population to  survive; reproduce	nongold
92	species is an inherited characteristic	nongold
93	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
94	to be characterized by  a property means to have that property	nongold
95	the length of body parts is an inherited characteristic	nongold
96	an increase is a kind of change	nongold
97	white fur is white in color	nongold
98	a type of something is a kind of property of that something	nongold
99	if something is made by something else then that something is affected by that something else	nongold
