Question	Which are produced during photosynthesis?	question
Answer	oxygen and sugar	answer
0	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
1	sugar is made of carbon, hydrogen, oxygen	nongold
2	plants are a source of oxygen through photosynthesis	gold
3	carbohydrates are made of sugars	gold
4	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	gold
5	photosynthesis is a source of oxygen	nongold
6	products are formed; are produced; are created	nongold
7	sugar is a kind of food	nongold
8	photosynthesis is a kind of chemical  process	nongold
9	a producer is a source of sugar; food energy in an ecosystem	nongold
10	the photosynthetic life performs photosynthesis	nongold
11	sugar is a kind of  simple carbohydrate	nongold
12	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
13	green plants are a kind of producer	nongold
14	converting is similar to producing	nongold
15	a producer is a kind of living thing	nongold
16	make means produce	nongold
17	a  plant requires sunlight for photosynthesis	nongold
18	food contains carbohydrates	nongold
19	photosynthesizing means performing photosynthesis	nongold
20	sugar is a kind of pure substance	nongold
21	In the food chain process a  green plant has the role of  producer	nongold
22	a source of something emits; produces; generates; provides that something	gold
23	to be formed by is similar to being produced by	nongold
24	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
25	a producer produces its own food	nongold
26	plant cells can perform photosynthesis	nongold
27	carbohydrates are made of glucose molecules bonding together	nongold
28	cellular respiration is when a cell converts from oxygen and carbohydrates into carbon dioxide, water, and energy	nongold
29	an organism breaking down sugar is a source of carbon dioxide; water	nongold
30	photosynthesis stores; captures energy	nongold
31	producing is a kind of process	nongold
32	generate means produce	nongold
33	if something causes an increase in something else then that something produces that something else	nongold
34	photosynthesis is a kind of chemical reaction	nongold
35	sugary means high in sugar	nongold
36	a leaf absorbs sunlight to perform photosynthesis	nongold
37	a food contains nutrients for living things	nongold
38	saturation of oxygen means oxidized	nongold
39	a leaf performs photosynthesis; gas exchange	nongold
40	sugar dissolves in water when they are combined	nongold
41	sugar is a kind of solid	nongold
42	In the solution sugar water , the solute is sugar	nongold
43	emit means produce	nongold
44	a plant absorbs carbon dioxide from the air for photosynthesis	nongold
45	nitrogen is a kind of nutrient for plant growth	nongold
46	In the photosynthesis process oxygen has the role of  waste product	nongold
47	a part of a process means a stage in a process	nongold
48	synthesize means to make	nongold
49	glucose is a kind of substance	nongold
50	producer is a kind of role in the food chain process; in an ecosystem	nongold
51	oxygenated means having oxygen	nongold
52	oxygen; glucose is used for providing energy to cells by mitochondrion	nongold
53	a plant requires photosynthesis to grow; survive	nongold
54	oxygen is a stage in the carbon dioxide-oxygen cycle process	nongold
55	forming is similar to converting	nongold
56	sunlight means solar energy	nongold
57	synthesis means to make	nongold
58	nutrients are a kind of substance	nongold
59	water is made of hydrogen and oxygen	nongold
60	a diatom is a kind of producer	nongold
61	a carbohydrate is a kind of compound	nongold
62	if something is a raw material in a process then that something is required for that process	nongold
63	carbohydrates are used for storing;transporting energy	nongold
64	carbohydrates store chemical energy	nongold
65	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
66	sugars are transported from the leaves to the roots of a plant	nongold
67	to contribute is similar to produce	nongold
68	conversion is a kind of process	nongold
69	a step in a process means a stage in a process	nongold
70	a nutrient is a kind of chemical compound	nongold
71	an organism is a living thing	nongold
72	a plant is a kind of organism	nongold
73	organisms are made of carbon	nongold
74	made up of means contains; made of	nongold
75	an organism breaks down sugar to release energy	nongold
76	carbohydrates are a vehicle for storing;transporting energy	nongold
77	decomposition is a stage in the carbon cycle process	nongold
78	all elements are a kind of pure substance	nongold
79	producing is similar to causing	nongold
80	animal cells can  not perform photosynthesis	nongold
81	an animal; bacterium requires oxygen for survival; to breathe	nongold
82	to be made of something means to be formed of that something	nongold
83	sunlight is a kind of solar energy	nongold
84	both means two	nongold
85	a decomposer is a kind of living thing	nongold
86	a plant is a kind of living thing	nongold
87	a process is a kind of event	nongold
88	if something causes a process then that something is required for that process	nongold
89	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
90	cellular respiration is a kind of process	nongold
91	an animal is a kind of living thing	nongold
92	decomposition is when a decomposer recycles; returns nutrients; nitrogen from dead organisms to the soil by eating those dead organisms	nongold
93	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	nongold
94	to transform means to convert	nongold
95	evaporation is a kind of process	nongold
96	early photosynthetic life increases the  oxygen level in Earth's atmosphere	nongold
97	food is a kind of substance	nongold
98	oxygen  is a kind of element	nongold
99	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
