Question	Which part of a pine tree makes food?	question
Answer	needle	answer
0	a needle is a part of a pine tree	gold
1	a needle is a part of conifer trees	nongold
2	pine needle is similar to a leaf	gold
3	a pine tree is a kind of tree	gold
4	a needle is a kind of object	nongold
5	a producer produces its own food	nongold
6	a plant; living thing requires food for survival	nongold
7	make means produce	nongold
8	an oak is a kind of tree	nongold
9	green plants are a kind of producer	nongold
10	a tree is a kind of living thing	nongold
11	a tree is a kind of plant	gold
12	a leaf is a part of a tree	nongold
13	food is what an animal eats	nongold
14	a pine needle has a strong odor	nongold
15	an animal is a kind of living thing	nongold
16	a plant is a kind of living thing	nongold
17	green plants provide food for themselves; animals; consumers by performing photosynthesis	gold
18	a tree contains wood	nongold
19	a producer is a kind of living thing	nongold
20	a branch is a part of a tree	nongold
21	an animal; living thing requires nutrients for survival	nongold
22	production is similar to making	nongold
23	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
24	a food contains nutrients for living things	nongold
25	a living thing is a kind of object	nongold
26	bark is a part of a tree	nongold
27	an animal needs to eat food for nutrients	nongold
28	plant parts are made of plants	nongold
29	a fir tree is a kind of tree	nongold
30	to eat means to consume food	nongold
31	an object is made of its parts	nongold
32	a leaf is a part of a  green plant	nongold
33	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
34	if an object is made of something then the parts of that object are made of that something	nongold
35	In the food chain process a  green plant has the role of  producer	nongold
36	a plant is a kind of organism	nongold
37	a maple tree is a kind of tree	nongold
38	an organism is a living thing	nongold
39	an animal is a kind of consumer	nongold
40	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
41	manufacture means make	nongold
42	fire causes harm to trees; to forests; to living things	nongold
43	wood is a kind of object	nongold
44	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
45	producer is a kind of role in the food chain process; in an ecosystem	nongold
46	photosynthesis is a kind of chemical  process	nongold
47	a human is a kind of animal	nongold
48	an animal is a kind of organism	nongold
49	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
50	living things eat their food source	nongold
51	a plant requires photosynthesis to grow; survive	nongold
52	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
53	food is a kind of object	nongold
54	providing something means making;delivering something	nongold
55	a consumer can not produce its own food	nongold
56	a leaf is a kind of plant	nongold
57	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
58	a structure of something is synonymous with a part of that something	nongold
59	nut is a kind of  food	nongold
60	a component of something means a part of that something	nongold
61	producing is a kind of process	nongold
62	diet means what an animal eats	nongold
63	a redwood tree is a kind of tree	nongold
64	manufacturing means making	nongold
65	a part of a process means a stage in a process	nongold
66	a vegetable is a kind of food	nongold
67	products are formed; are produced; are created	nongold
68	unit is similar to part	nongold
69	a source of something emits; produces; generates; provides that something	nongold
70	a leaf is a kind of object	nongold
71	a component means a part of	nongold
72	if a plant dies then that plant will not produce food	nongold
73	roots are a part of a plant; tree	nongold
74	usually plants store the food they produce for future use	nongold
75	to cause means to make	nongold
76	a plant; living thing requires nutrients to grow	nongold
77	food is a kind of substance	nongold
78	objects are made of materials; substances; matter	nongold
79	a vegetable is a kind of plant	nongold
80	person is synonymous with human	nongold
81	to make means to form	nongold
82	wood is a kind of natural material	nongold
83	to depend on; to rely on; to need means to require	nongold
84	an insect is a kind of animal	nongold
85	a tool is a kind of object	nongold
86	instrument means tool	nongold
87	a firewood is a kind of object	nongold
88	form means kind	nongold
89	some species of tree are deciduous	nongold
90	fiber is a kind of material	nongold
91	a trunk is a part of a tree for supporting the tree	nongold
92	a whole is formed by its parts	nongold
93	to be formed by is similar to being produced by	nongold
94	a person is a kind of animal	nongold
95	a  plant requires sunlight for photosynthesis	nongold
96	a stem is often a part of plant	nongold
97	a mammal is a kind of animal	nongold
98	a producer is a source of sugar; food energy in an ecosystem	nongold
99	prey is a kind of food for predators	nongold
