Question	When you make soap bubbles, what is inside the bubbles?	question
Answer	Air	answer
0	a bubble contains gas	gold
1	a bubble is a kind of object	nongold
2	air is a kind of gas	gold
3	the air is a kind of substance	nongold
4	soap is a kind of substance	nongold
5	foam; bubble is made of pockets of gas trapped in a liquid or solid	nongold
6	gas is a kind of substance	nongold
7	atmosphere means  air	nongold
8	water is a kind of liquid at room temperature	nongold
9	vapor is synonymous with gas	nongold
10	water is a kind of substance	nongold
11	to contain means to have inside	gold
12	gas is a kind of object	nongold
13	a liquid is a kind of substance	nongold
14	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
15	air is a kind of matter	nongold
16	gas is a kind of material	nongold
17	a container contains objects; material; substances	nongold
18	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
19	air is usually a thermal; thermal energy insulator	nongold
20	if an object is put inside; poured into another object , then two objects are touching	nongold
21	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
22	if something is in something , then something is exposed to something	nongold
23	oxygen is a kind of gas at room temperature	nongold
24	gas is a kind of state of matter	nongold
25	to add means to increase	nongold
26	temperature is a measure of heat energy	nongold
27	a container is a kind of object	nongold
28	the air is a kind of mixture	nongold
29	Matter in the gas phase has variable volume	nongold
30	being  on something; placed in something; placed over something means touching  that something	nongold
31	air is a part of the environment	nongold
32	air temperature is a kind of temperature	nongold
33	heat means heat energy	nongold
34	when a gas in an open container evaporates; boils , that gas spreads out into the air	nongold
35	contents means the substance in a container	nongold
36	make means produce	nongold
37	to exhale means to release	nongold
38	objects are made of materials; substances; matter	nongold
39	a body of water contains water	nongold
40	a liquid is a kind of fluid	nongold
41	to breathe in means to absorb air	nongold
42	to create means to make	nongold
43	Matter in the gas phase has variable shape	nongold
44	water is a kind of object	nongold
45	liquid is a kind of state of matter	nongold
46	breath contains water vapor	nongold
47	a source of something emits; produces; generates; provides that something	nongold
48	water is a kind of matter	nongold
49	the atmosphere contains gases; liquids; solids	nongold
50	water vapor is found in the atmosphere	nongold
51	a bath  is a kind of container	nongold
52	substances are made of matter	nongold
53	An example of moisture is water vapor in the atmosphere	nongold
54	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
55	made up of means contains; made of	nongold
56	a component of something means a part of that something	nongold
57	the atmosphere is a kind of area	nongold
58	give off is similar to make	nongold
59	materials are made of matter	nongold
60	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
61	if something enters something else then that something is in that something else	nongold
62	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
63	if a container contains something then that container touches that something	nongold
64	an animal is a kind of living thing	nongold
65	creating means making	nongold
66	to cause means to make	nongold
67	a human is a kind of animal	nongold
68	a living thing is a kind of object	nongold
69	being in something means touching that something	nongold
70	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
71	an insulator is a kind of material	nongold
72	moisture means liquid; liquid water	nongold
73	a component means a part of	nongold
74	a  gas is a kind of  element	nongold
75	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
76	matter; materials; substances are made of atoms; particles	nongold
77	a vacuum has no matter in it	nongold
78	to increase is similar to to create	nongold
79	to give off means to be the source of	nongold
80	solid is a kind of state of matter	nongold
81	to make means to invent	nongold
82	to make means to form	nongold
83	if one surface; one substance; one object touches something then one is exposed to that something	nongold
84	if something is made of something; a material then that something contains that something; that material	nongold
85	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
86	air is colorless	nongold
87	a structure of something is synonymous with a part of that something	nongold
88	an object; material; substance comes from that object or material's source	nongold
89	an organism is a living thing	nongold
90	something that contains water is similar to a body of water	nongold
91	can be means able to be	nongold
92	substances are made of molecules	nongold
93	carbon dioxide is a kind of gas	nongold
94	a molecule is a kind of object	nongold
95	air is a kind of medium for light	nongold
96	sublimation means matter; a substance changes from a solid into a gas by increasing heat energy	nongold
97	a part of a process means a stage in a process	nongold
98	a balloon is a kind of container	nongold
99	a part of something is present in that something	nongold
