Question	When igneous rock is changed into metamorphic rock, which form of energy is this process?	question
Answer	heat	answer
0	igneous is a kind of rock	gold
1	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	nongold
2	extreme heat and pressure change; metamorphose rock into metamorphic rock	gold
3	metamorphic rock is a kind of rock	nongold
4	metamorphic is a kind of rock	gold
5	form means kind	gold
6	metamorphosis is a kind of process	gold
7	metamorphosis of rocks is when rocks change from  one type into another type by  extreme heat and pressure	nongold
8	temperature is a measure of heat energy	nongold
9	heat means heat energy	nongold
10	change is a kind of process	nongold
11	heat is a kind of energy	gold
12	state means form	nongold
13	metamorphosed rock is a kind of rock	nongold
14	heat energy is synonymous with thermal energy	nongold
15	to change into means to form	nongold
16	formation of a state of matter is a kind of process	nongold
17	metamorphosis means complete metamorphosis	nongold
18	a process is a kind of event	nongold
19	to add means to increase	nongold
20	conversion is a kind of process	nongold
21	energy transformation means one kind of energy changes into another kind of energy	nongold
22	evaporation is a kind of process	nongold
23	the formation of rock is a kind of process	nongold
24	the formation of something is a kind of process	nongold
25	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	nongold
26	an increase is a kind of change	nongold
27	to convert means to change	nongold
28	if something causes a process then that something is required for that process	nongold
29	evaporating is a kind of phase change	nongold
30	adding heat means increasing temperature	nongold
31	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
32	heat energy can change the state of matter	nongold
33	transfer is a kind of process	nongold
34	to change means to cause a change	nongold
35	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
36	a change is a kind of event	nongold
37	granite is a kind of igneous rock	nongold
38	energy conversion is similar to energy transformation	nongold
39	to be made of something means to be formed of that something	nongold
40	a rock is a kind of object	nongold
41	heating means adding heat	nongold
42	a source of something emits; produces; generates; provides that something	nongold
43	a part of a process means a stage in a process	nongold
44	variable means able to change	nongold
45	forming something is a kind of change	nongold
46	to transform means to convert	nongold
47	thermal energy is a kind of energy	nongold
48	a process usually requires all of the stages in that process	nongold
49	producing is a kind of process	nongold
50	igneous intrusion is a kind of geologic process	nongold
51	phase means state	nongold
52	when one kind of energy changes into another kind of energy , the total amount of energy is constant	nongold
53	temperature changing can cause phase changes	nongold
54	affected means changed	nongold
55	transfer is a kind of change	nongold
56	heat means temperature increases	nongold
57	if something causes an increase in something else then that something produces that something else	nongold
58	emit means produce	nongold
59	something that happens is a kind of event	nongold
60	high is similar to increase	nongold
61	gneiss is a kind of metamorphic rock	nongold
62	heat means the transfer of thermal energy	nongold
63	unchanged means not changed	nongold
64	convert is similar to transfer	nongold
65	solar energy is a kind of heat energy	nongold
66	crystallization is a kind of process	nongold
67	if something generates energy for something else then that something powers that something else	nongold
68	magnetism is a kind of energy	nongold
69	rock is a kind of material	nongold
70	a decrease is a kind of change	nongold
71	adding something is a kind of change	nongold
72	melting is a kind of process	nongold
73	a reaction is a kind of process	nongold
74	hot means high in heat energy; temperature	nongold
75	a cycle is a kind of process	nongold
76	an exothermic process releases heat energy; light energy	nongold
77	to be formed by is similar to being produced by	nongold
78	a rock is usually a solid	nongold
79	an increase is the opposite of a decrease	nongold
80	refraction is a kind of process	nongold
81	if something releases something else then that something is the source of that something else	nongold
82	condensation is a kind of process	nongold
83	to change means to become different	nongold
84	pumice is a kind of igneous rock	nongold
85	converting is similar to producing	nongold
86	evolution is a kind of process	nongold
87	a quartzite is a kind of metamorphic rock	nongold
88	forming is similar to converting	nongold
89	absorbing energy causes objects; materials; substances to heat	nongold
90	if something transfers something else then that something is a source of something else	nongold
91	becoming is similar to changing	nongold
92	to happen means to occur	nongold
93	liquid is a kind of state of matter	nongold
94	melting is a kind of phase change	nongold
95	to give off means to be the source of	nongold
96	photosynthesis is a kind of chemical  process	nongold
97	an event is a kind of action	nongold
98	a step in a process means a stage in a process	nongold
99	if an event occurs by adding something then that event requires that something	nongold
