Question	Sleet and hail are forms of	question
Answer	precipitation	answer
0	sleet is a kind of precipitation	gold
1	hail is a kind of precipitation; ice	gold
2	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
3	sleet is when raindrops freeze as they fall	nongold
4	sleet is a kind of ice	nongold
5	rain is a kind of precipitation	nongold
6	sleet is made of ice	nongold
7	precipitation is when water falls from the sky	nongold
8	precipitation is a kind of weather	nongold
9	hailing is when hail fall from clouds to the Earth;ground	nongold
10	precipitation is a property of weather	nongold
11	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
12	snow is a kind of precipitation	nongold
13	rain is a kind of water	nongold
14	precipitation is a kind of natural occurrence; cause	nongold
15	form means kind	gold
16	rain; snow falls	nongold
17	snowfall means the amount of precipitation in snow form	nongold
18	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
19	a storm is a source of precipitation	nongold
20	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
21	rainfall means precipitation	nongold
22	storm is a kind of weather; weather event	nongold
23	rainfall means the amount of precipitation	nongold
24	snow is a kind of ice	nongold
25	to be made of something means to be formed of that something	nongold
26	rain is a source of water	nongold
27	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
28	ice is a kind of solid	nongold
29	snowing is when snow fall from clouds to the Earth;ground	nongold
30	state means form	nongold
31	measures of length; measures of distance are used to measure the amount of rainfall	nongold
32	ice is a kind of object	nongold
33	both means two	nongold
34	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
35	precipitation is a kind of  natural process	nongold
36	snow is a kind of object	nongold
37	rainfall is the amount of rain an area receives	nongold
38	water is a kind of substance	nongold
39	water is a kind of liquid at room temperature	nongold
40	a blizzard is a kind of storm	nongold
41	to add means to increase	nongold
42	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
43	high is similar to increase	nongold
44	rainstorm means rain storm	nongold
45	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
46	a type is synonymous with a kind	nongold
47	answering questions requires information	nongold
48	freezing causes a solid to form	nongold
49	frozen means solid	nongold
50	low pressure systems cause precipitation	nongold
51	storms;rain cause bodies of water to increase amount of water they contain	nongold
52	water is a kind of matter	nongold
53	icy means made of ice	nongold
54	a blizzard is a source of heavy snow	nongold
55	sinkholes; caves are formed by precipitation; infiltration	nongold
56	snowstorm is a kind of weather	nongold
57	an increase is the opposite of a decrease	nongold
58	an area receiving rain means rain falling in that area	nongold
59	an event is a kind of action	nongold
60	freezing means cold temperatures	nongold
61	to reduce means to decrease	nongold
62	winter has cold temperatures;weather	nongold
63	precipitation is a stage in the water cycle process	nongold
64	frost is a kind of solid water	nongold
65	temperature is a property of weather	nongold
66	freezing is a kind of phase change	nongold
67	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
68	a source of something emits; produces; generates; provides that something	nongold
69	a change is a kind of event	nongold
70	temperature is a measure of heat energy	nongold
71	ice is a kind of water phase	nongold
72	a solid is a kind of substance	nongold
73	an increase is a kind of change	nongold
74	greatest means largest; highest; most amount of something	nongold
75	furthest; farthest means greatest; most; highest in distance	nongold
76	to give is similar to to cause	nongold
77	In the water cycle , collection as snow; collection as ice can follow precipitation	nongold
78	winter is a part of the year	nongold
79	ground water is a kind of water	nongold
80	rainwater is a kind of water	nongold
81	lakes are formed by precipitation and runoff	nongold
82	weather is a property of a environment	nongold
83	as the amount of rainfall increases in an area , the amount of available water in that area will increase	nongold
84	cycles of freezing and thawing water cause ice wedging	nongold
85	low is similar to decrease	nongold
86	weather changes from seasons to seasons	nongold
87	water is a kind of object	nongold
88	moisture means liquid; liquid water	nongold
89	ice is cold in temperature	nongold
90	snowy means a large amount of snow	nongold
91	a body of water contains water	nongold
92	to lower means to decrease	nongold
93	objects are made of materials; substances; matter	nongold
94	affected means changed	nongold
95	Earth contains water; ice; (steam, water vapor)	nongold
96	a liquid is a kind of substance	nongold
97	something that happens is a kind of event	nongold
98	an object; material; substance comes from that object or material's source	nongold
99	colder; cooler means lower in temperature	nongold
