Question	Which resource, abundant in Nevada, is nonrenewable?	question
Answer	copper	answer
0	metal is a nonrenewable resource	gold
1	Nevada produces more gold than any other state	nongold
2	Nevada mines produce gold	nongold
3	Nevada is a state located in the United States of America	nongold
4	minerals are a nonrenewable resource	nongold
5	Nevada has abundant sunshine	nongold
6	renewable is the opposite of nonrenewable	nongold
7	aluminum is a nonrenewable resource	nongold
8	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
9	copper is a kind of metal	gold
10	the Sierra Nevada is a kind of mountain range	nongold
11	a nonrenewable resource is limited in supply	nongold
12	coal is a nonrenewable resource	nongold
13	copper is a kind of element	nongold
14	natural gas is a nonrenewable resource	nongold
15	the climate in Nevada is low in humidity	nongold
16	oil is a nonrenewable resource	nongold
17	metal is a kind of natural resource	nongold
18	fossil fuels are a nonrenewable resource	nongold
19	nonrenewable resources will eventually be depleted	nongold
20	if use of a nonrenewable resources increases then the nonrenewable resource will be depleted	nongold
21	amount is similar to abundance	nongold
22	recycling resources; nonrenewable resources has a  positive impact on the environment; conservation of those resources	nongold
23	silver is a kind of metal	nongold
24	uranium is a kind of energy resource	nongold
25	aluminum is a kind of metal	nongold
26	coal; uranium is acquired by mining the lithosphere	nongold
27	metal is a kind of substance	nongold
28	copper is a kind of transition metal	nongold
29	panda is a kind of animal	nongold
30	a metal is a kind of element	nongold
31	aluminum is recyclable	nongold
32	aluminum is a kind of element	nongold
33	renewable resources are often available for many years	nongold
34	a source of something emits; produces; generates; provides that something	nongold
35	metals are made of metal	nongold
36	sodium is a kind of metal	nongold
37	carbon is a kind of element	nongold
38	sodium is a kind of element	nongold
39	a renewable resource is a kind of natural resource	nongold
40	a mineral is a kind of solid; natural material	nongold
41	metal is an  electrical; electrical energy conductor	nongold
42	a material is a kind of resource	nongold
43	iron is a kind of metal	nongold
44	zinc is a kind of metal	nongold
45	answering questions requires information	nongold
46	a metal is usually a solid at room temperature	nongold
47	nonmetal means not metal	nongold
48	nickel is a kind of metal	nongold
49	lead is a kind of element	nongold
50	the  chemical symbol for copper is Cu	nongold
51	steel is a kind of metal	nongold
52	plants are a kind of resource	nongold
53	plastic is a nonrenewable resource	nongold
54	most means over 50% of something	nongold
55	mercury  is a kind of metal	nongold
56	zinc is a kind of mineral	nongold
57	where something  comes from is a source of that something	nongold
58	a renewable resource is a kind of naturally replaced resource	nongold
59	food is a kind of resource	nongold
60	iron is a kind of solid	nongold
61	metal is a kind of material	nongold
62	to create means to make	nongold
63	an increase is a kind of change	nongold
64	made up of means contains; made of	nongold
65	tungsten is a kind of metal	nongold
66	an element is a kind of  substance	nongold
67	gold is a kind of metal	nongold
68	to produce means to create	nongold
69	an element is a kind of material	nongold
70	the melting point of iron is 2800F; 1538C; 1811K	nongold
71	mercury is a kind of element	nongold
72	iron is a kind of mineral	nongold
73	chromium is a kind of metal	nongold
74	ferrous metals contain iron	nongold
75	manganese is a kind of metal	nongold
76	Nebraska is a state located in the United States of America	nongold
77	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
78	an alkaline earth metal is a kind of element	nongold
79	composed of means made of	nongold
80	nitrogen is a kind of element	nongold
81	iron is a kind of element	nongold
82	oxygen is a kind of resource	nongold
83	an inexhaustible resource is a kind of renewable resource	nongold
84	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
85	substances are made of elements	nongold
86	water is a renewable resource	nongold
87	emit means produce	nongold
88	chlorine is a kind of element	nongold
89	all elements are a kind of pure substance	nongold
90	a renewable resource can be renewed	nongold
91	to form means to create	nongold
92	brass is made of copper and zinc	nongold
93	to generate means to create	nongold
94	an element is made of one kind of atoms	nongold
95	abundant means high in number	nongold
96	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
97	potassium is a kind of element	nongold
98	to generate means to form	nongold
99	an event is a kind of action	nongold
