Question	Many processes on Earth occur at or near tectonic plate boundaries. Which geological events are most common along tectonic plate boundaries?	question
Answer	earthquakes and volcanoes	answer
0	volcanoes are most common along tectonic plate boundaries	gold
1	earthquakes are most common along tectonic plate boundaries	gold
2	a volcano is a kind of geological event	gold
3	Earth's plates means tectonic plates	nongold
4	plate tectonics is a kind of process	nongold
5	the movement of tectonic plates causes volcanic eruptions	nongold
6	a volcano is a kind of landform	nongold
7	volcanoes are often found under oceans	nongold
8	a process is a kind of event	nongold
9	a tectonic plate moves along a fault line	nongold
10	Earth is a kind of planet	nongold
11	a tectonic plate is a kind of object	nongold
12	events occur at a specific place; at a specific time; with a specific frequency	nongold
13	an earthquake is a kind of natural; geological event	gold
14	Earth is made of rock	nongold
15	if an event is more common then that event will occur more frequently	nongold
16	crustal plate means tectonic plate	nongold
17	tectonic plates being pushed together causes earthquakes	nongold
18	a volcano is a source of magma; lava	nongold
19	mountains are formed by earthquakes; volcanoes; plate tectonics	nongold
20	an event is a kind of action	nongold
21	to happen means to occur	nongold
22	volcanic eruptions early on Earth maybe caused a large proportion of the matter in hydrosphere	nongold
23	event is similar to occurrence	nongold
24	erosion is a kind of process	nongold
25	an earthquake usually occurs over a period of 10 to 30 seconds	nongold
26	a volcanic eruption is a kind of quick process	nongold
27	a volcanic eruption is a kind of change	nongold
28	igneous intrusion is a kind of geologic process	nongold
29	weathering is a kind of process	nongold
30	a change is a kind of event	nongold
31	weathering; erosion usually occurs over a period of many years	nongold
32	a motion is a kind of event; action	nongold
33	change is a kind of process	nongold
34	Earth's surface is made of rock	nongold
35	an increase is a kind of change	nongold
36	an earthquake changes Earth's surface quickly	nongold
37	earthquake  is a kind of vibration  of the ground	nongold
38	landform means surface feature; physical feature; land feature	nongold
39	the formation of rock is a kind of process	nongold
40	something that happens is a kind of event	nongold
41	erosion is a kind of change	nongold
42	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	nongold
43	most means over 50% of something	nongold
44	the surface of the Earth contains mountains	nongold
45	earthquake causes seismic waves	nongold
46	Massachusetts is not located on the boundary of two tectonic plates	nongold
47	weathering is a kind of erosion	nongold
48	soil erosion is a kind of event	nongold
49	the formation of something is a kind of process	nongold
50	weathering occurs at the surface of the Earth	nongold
51	usually means most of the time	nongold
52	to cause an event is similar to being involved in that event	nongold
53	greatest means largest; highest; most amount of something	nongold
54	to create means to make	nongold
55	a part of a process means a stage in a process	nongold
56	faulting of rock in Earth's crust causes earthquakes	nongold
57	igneous is a kind of rock	nongold
58	a rock is usually a solid	nongold
59	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
60	a source of something emits; produces; generates; provides that something	nongold
61	tectonic plates colliding causes older layers of rock to be located above newer layers of rock	nongold
62	a component means a part of	nongold
63	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
64	metamorphosis is a kind of process	nongold
65	to produce means to create	nongold
66	a process usually requires all of the stages in that process	nongold
67	a landform is a kind of place	nongold
68	a landform is a kind of place	nongold
69	to change means to cause a change	nongold
70	high is similar to increase	nongold
71	to cause means to make	nongold
72	to cause means to result in	nongold
73	the ground is part of the Earth	nongold
74	an erupting volcano releases sulfur gas and ash into the atmosphere	nongold
75	movement is a kind of change	nongold
76	to be a source of something means to cause that something	nongold
77	bodies of water are located on Earth's surface	nongold
78	mostly means being the most	nongold
79	far means great in distance	nongold
80	no longer means used to be	nongold
81	near means close	nongold
82	composed of means made of	nongold
83	a component of something means a part of that something	nongold
84	flowing is a kind of motion	nongold
85	extreme means very high in value	nongold
86	usually something can be found  near a source in greater concentrations	nongold
87	typically means usually	nongold
88	metamorphic is a kind of rock	nongold
89	topography means the physical features of a planet's surface	nongold
90	seafloor spreading causes cooled magma to form on the edges of tectonic plates on Earth	nongold
91	shaking is a kind of motion	nongold
92	to make means to form	nongold
93	metamorphic rock is a kind of rock	nongold
94	if something releases something else then that something is the source of that something else	nongold
95	answering questions requires information	nongold
96	a type is synonymous with a kind	nongold
97	a landform is a kind of natural formation	nongold
98	sliding is a kind of motion	nongold
99	producing is a kind of process	nongold
