Question	What happens during photosynthesis?	question
Answer	Plants change light energy into food energy.	answer
0	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
1	sunlight is a kind of light	nongold
2	sunlight is a kind of solar energy	nongold
3	light means light energy	gold
4	solar energy is a kind of light	gold
5	light is a kind of energy	nongold
6	light is a kind of energy	nongold
7	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	gold
8	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
9	the photosynthetic life performs photosynthesis	nongold
10	a  plant requires sunlight for photosynthesis	nongold
11	sunlight means solar energy	nongold
12	food is a source of energy for animals; plants	nongold
13	photosynthesis stores; captures energy	nongold
14	energy transformation means one kind of energy changes into another kind of energy	nongold
15	photosynthesizing means performing photosynthesis	nongold
16	solar energy is a kind of energy	nongold
17	a leaf performs photosynthesis; gas exchange	nongold
18	photosynthesis is a kind of chemical  process	nongold
19	the sun is a source of light; light energy called sunlight	nongold
20	to happen means to occur	nongold
21	light is made of photons	nongold
22	a leaf absorbs sunlight to perform photosynthesis	nongold
23	a leaf is a part of a  green plant	nongold
24	solar energy is a kind of heat energy	nongold
25	a leaf is a kind of plant	nongold
26	heat is a kind of energy	nongold
27	a plant is a kind of living thing	nongold
28	green plants are a kind of producer	nongold
29	to convert means to change	gold
30	conversion is a kind of process	nongold
31	a tree is a kind of plant	nongold
32	sunlight produces heat	nongold
33	an exothermic process releases heat energy; light energy	nongold
34	food is a kind of chemical energy	gold
35	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
36	the sun is the source of solar energy called sunlight	nongold
37	the sunlight occurs during the day	nongold
38	food contains carbohydrates	nongold
39	photosynthesis is a kind of chemical reaction	nongold
40	change is a kind of process	nongold
41	an organism is a living thing	nongold
42	an animal is a kind of living thing	nongold
43	a source of something emits; produces; generates; provides that something	nongold
44	a leaf is a part of a tree	nongold
45	something that happens is a kind of event	nongold
46	plant cells can perform photosynthesis	nongold
47	a food contains nutrients for living things	nongold
48	In the food chain process a  green plant has the role of  producer	nongold
49	vegetation means plants	nongold
50	emit means produce	nongold
51	a plant; living thing requires food for survival	nongold
52	light is a kind of wave	nongold
53	energy conversion is similar to energy transformation	nongold
54	phase means state	nongold
55	chemical energy is a kind of energy	nongold
56	a plant requires photosynthesis to grow; survive	nongold
57	living things eat their food source	nongold
58	variable means able to change	nongold
59	a process is a kind of event	nongold
60	a stem is often a part of plant	nongold
61	food is a kind of substance	nongold
62	a plant is a kind of organism	nongold
63	to add means to increase	nongold
64	thermal energy is a kind of energy	nongold
65	a leaf is a kind of object	nongold
66	a living thing is a kind of object	nongold
67	heat means heat energy	nongold
68	a change is a kind of event	nongold
69	to transform means to convert	nongold
70	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
71	a part of a process means a stage in a process	nongold
72	solar radiation means solar energy	nongold
73	a tree is a kind of living thing	nongold
74	affected means changed	nongold
75	food is a kind of object	nongold
76	life means living things	nongold
77	a process usually requires all of the stages in that process	nongold
78	events occur at a specific place; at a specific time; with a specific frequency	nongold
79	an increase is a kind of change	nongold
80	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
81	a tree is a kind of matter	nongold
82	organisms mean life	nongold
83	converting is similar to producing	nongold
84	to change means to cause a change	nongold
85	an event is a kind of action	nongold
86	the sun is the source of energy for life on Earth	nongold
87	high is similar to increase	nongold
88	respiration releases energy	nongold
89	organisms are made of carbon	nongold
90	convert is similar to transfer	nongold
91	a vegetable is a kind of plant	nongold
92	an animal is a kind of organism	nongold
93	heat energy is synonymous with thermal energy	nongold
94	the sun is a source of radiation; heat called sunlight	nongold
95	evaporating is a kind of phase change	nongold
96	an animal; living thing requires nutrients for survival	nongold
97	cellular respiration is when cells break down; extract energy from food to produce energy	nongold
98	a plant light is used for help plants by mimicking sunlight	nongold
99	to give off means to be the source of	nongold
