Question	In a gasoline-powered car, chemical energy from gasoline is transformed to make the car move. The motion of the car is what form of energy?	question
Answer	mechanical energy	answer
0	An example of mechanical energy is an object in motion	gold
1	mechanical energy is a kind of energy	gold
2	when an animal moves , chemical energy is converted to mechanical energy	nongold
3	mechanical energy can  cause objects to move	nongold
4	an automobile engine converts chemical energy into mechanical energy and heat energy	nongold
5	form means kind	gold
6	mechanical energy is used to move something by animals	nongold
7	a car is a kind of vehicle	nongold
8	motion; movement means moving; to move	nongold
9	a car is a kind of automobile	nongold
10	gasoline is a source of chemical energy	nongold
11	to transform means to convert	gold
12	a car is a kind of object	gold
13	energy transformation means one kind of energy changes into another kind of energy	nongold
14	a internal combustion engine; car engine; automobile engine usually converts fuel into kinetic energy and heat energy through combustion	gold
15	chemical energy is a kind of energy	nongold
16	a motion is a kind of event; action	nongold
17	to convert means to change	nongold
18	a car engine is a part of a car	nongold
19	a heat engine converts heat energy into mechanical energy	nongold
20	kinetic energy is a kind of mechanical energy	gold
21	gasoline is a kind of fuel	gold
22	vibration is a kind of motion	nongold
23	an automobile is a kind of vehicle	nongold
24	an electric motor converts electrical energy into mechanical energy	nongold
25	energy conversion is similar to energy transformation	nongold
26	a vehicle is a kind of object	nongold
27	wheels are a part of a car	nongold
28	revolving is a kind of motion	nongold
29	pulling is a kind of motion	nongold
30	make means produce	nongold
31	movement is a kind of change	nongold
32	sound is produced when mechanical energy is transformed into sound energy	nongold
33	mechanical force is a kind of mechanical energy	nongold
34	gasoline is a kind of chemical power source	gold
35	turning is a kind of motion	nongold
36	using a gasoline engine requires burning  gasoline	nongold
37	motion is a source of kinetic energy in an object	nongold
38	a simple machine requires mechanical energy to function	nongold
39	rotation is a kind of motion	nongold
40	if something is powered by something else then that something requires a source of that something else	nongold
41	state means form	nongold
42	if a  car is being driven , then the car will be moving	nongold
43	moving is similar to travelling	nongold
44	forming is similar to converting	nongold
45	vehicles usually require gasoline to operate	nongold
46	a car moves on a road	nongold
47	burning gasoline is a source of  heat energy	nongold
48	food is a kind of chemical energy	nongold
49	active transport converts chemical energy into mechanical energy	nongold
50	wheels; gears usually move against other surfaces	nongold
51	mechanical energy of a system includes the sum of kinetic energy and potential energy  in the system	nongold
52	an animal requires energy to move	nongold
53	to cause means to make	nongold
54	speed is a measure of how fast an object is moving	nongold
55	An example of an object with kinetic energy is an object in motion	nongold
56	an engine is a part of an automobile	nongold
57	a source of something emits; produces; generates; provides that something	nongold
58	chemical energy is a kind of potential energy	nongold
59	moving changes potential energy; stored energy into kinetic energy and heat energy	nongold
60	using gasoline is a source of carbon dioxide	nongold
61	to turn means to convert	nongold
62	where something  comes from is a source of that something	nongold
63	an animal is a kind of living thing	nongold
64	a rotation is a kind of movement	nongold
65	heat is a kind of energy	nongold
66	a human is a kind of animal	nongold
67	rotating is similar to moving	nongold
68	converting is similar to turning into	nongold
69	walking is a kind of motion	nongold
70	a gasoline engine is  a part of gasoline lawn mower	nongold
71	to make means to form	nongold
72	a living thing is a kind of object	nongold
73	flowing is a kind of motion	nongold
74	converting is similar to producing	nongold
75	rolling is a kind of motion	nongold
76	sliding is a kind of motion	nongold
77	to create means to make	nongold
78	distance moved; distance travelled is a measure of how far an object moves	nongold
79	an increase is a kind of change	nongold
80	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
81	creating means making	nongold
82	to be made of something means to be formed of that something	nongold
83	mechanical energy exerted by an object can be used to push or pull another object	nongold
84	oil is a source of gasoline	nongold
85	moving something is a kind of function	nongold
86	changes potential energy into kinetic energy through motion	nongold
87	revolving is a kind of action	nongold
88	shift means move	nongold
89	combustion is a kind of chemical change	nongold
90	motion is when moves an object; something to a direction	nongold
91	if something transfers something else then that something is a source of something else	nongold
92	sliding is a kind of movement	nongold
93	substances are made of matter	nongold
94	pushing is a kind of motion	nongold
95	to change into means to form	nongold
96	if something comes from something else then that something else is a source of that something	nongold
97	travel means to move	nongold
98	rotate means turn	nongold
99	a car engine is a source of heat	nongold
