Question	Four identical candles are set on a safe surface and lit. One is covered with a small-sized jar, one is covered with a large-sized jar, and one candle is left in the open. A fourth lit candle is placed in a vacuum. Which candle will most likely stay lit the longest?	question
Answer	the candle left out in the open	answer
0	shortest means the least amount of time	nongold
1	shortest means least; smallest in length	nongold
2	longest means greatest in length	nongold
3	left out of means moved from	nongold
4	a jar is a kind of container	nongold
5	space is a vacuum	nongold
6	a vacuum has no matter in it	nongold
7	furthest; farthest means greatest; most; highest in distance	nongold
8	to remain means to stay where it is	nongold
9	light can travel through a vacuum	nongold
10	to remain means to stay the same	nongold
11	if something is left out in the open then that something is exposed to oxygen	gold
12	light travels fastest through a vacuum	nongold
13	greatest means largest; highest; most amount of something	nongold
14	out is synonymous with outside	nongold
15	if the surface of an object contains something then that object is covered with that something	nongold
16	a container contains objects; material; substances	nongold
17	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
18	a covering is a kind of object	nongold
19	stay the same means not changing	nongold
20	to remain means to not change	nongold
21	long means great in length	nongold
22	a candle is a kind of object	nongold
23	a container is a kind of object	nongold
24	a candle is a source of light when it is burned	nongold
25	a lit candle converts chemical energy into light energy; heat energy	nongold
26	how long something takes is a kind of measurement of time	nongold
27	an increase is the opposite of a decrease	nongold
28	safe is the opposite of unsafe; harm; danger	nongold
29	contents means the substance in a container	nongold
30	length of time means period of time	nongold
31	staying means not changing	nongold
32	the space between the Sun and earth is a vacuum	nongold
33	a living thing is a kind of object	nongold
34	same means identical; equal in value; amount; number; quantity	nongold
35	high is similar to increase	nongold
36	fewest means lowest; least in number	nongold
37	to place in is similar to to move to	nongold
38	to keep something occurring means to cause that something to occur	nongold
39	increase means more	nongold
40	sound cannot travel through a vacuum	nongold
41	to lower means to decrease	nongold
42	to add means to increase	nongold
43	a measure of time is a length of time	nongold
44	a room is a kind of container	nongold
45	lowest means least in value; amount; number	nongold
46	low is similar to decrease	nongold
47	to keep a process or event happening is similar to causing that process or event to happen	nongold
48	left in the sun means exposed to the sun	nongold
49	a human is a kind of animal	nongold
50	place means space	nongold
51	less is similar to decrease	nongold
52	an part of an object is smaller than the entire object	nongold
53	shorter means decreased length	nongold
54	sunlight is a kind of light	nongold
55	dark means a low amount of light	nongold
56	a surface is a part of an object	nongold
57	lighting a candle causes that candle to burn	gold
58	if one surface; one substance; one object touches something then one is exposed to that something	nongold
59	answering questions requires information	nongold
60	objects are made of materials; substances; matter	nongold
61	covering something is a kind of protection	nongold
62	one in  two means half; 50%	nongold
63	length is a part of size	nongold
64	leaving something undisturbed means not changing that something	nongold
65	heating means adding heat	nongold
66	closer means lower; less; a decrease in distance	nongold
67	material means substance	nongold
68	to protect means to make safe	nongold
69	if something is in something , then something is exposed to something	nongold
70	close means low in distance	nongold
71	heat means heat energy	nongold
72	a room is a kind of object	nongold
73	light means light energy	nongold
74	a surface is a part of a material	nongold
75	often is similar to likely	nongold
76	live is similar to stay	nongold
77	being  on something; placed in something; placed over something means touching  that something	nongold
78	if an object is put inside; poured into another object , then two objects are touching	nongold
79	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
80	if an object is placed in a liquid , then the  increased volume of the liquid will be equal to the volume of that object	nongold
81	place means area	nongold
82	setting is a kind of motion	nongold
83	the length of time of a substance burning can be used to measure the amount of the chemical energy in the substance	nongold
84	motionless means staying in the same place	nongold
85	size; amount of space means volume	nongold
86	a device is a kind of object	nongold
87	faster means an increase; higher in speed	nongold
88	leaving is a kind of movement	nongold
89	an insulator is the opposite of a conductor	nongold
90	a burner is a kind of object; surface	nongold
91	a source of something emits; produces; generates; provides that something	nongold
92	placing is a kind of action	nongold
93	to reduce means to decrease	nongold
94	amount of daylight means length of daylight	nongold
95	low means down	nongold
96	if a container contains something then that container touches that something	nongold
97	particles in objects are a kind of matter	nongold
98	visible light is a kind of  light	nongold
99	keeping means staying	nongold
