Question	When can producers make the most food?	question
Answer	summer, because there is more sunlight	answer
0	sunlight produces heat	nongold
1	summer has the most sunlight	gold
2	a producer is a kind of living thing	nongold
3	green plants are a kind of producer	nongold
4	a source of something emits; produces; generates; provides that something	nongold
5	a producer produces its own food	gold
6	to produce means to provide	nongold
7	make means produce	gold
8	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	gold
9	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
10	producing is a kind of process	nongold
11	emit means produce	nongold
12	sunshine means sunlight	nongold
13	a  plant requires sunlight for photosynthesis	gold
14	summer is a kind of season	nongold
15	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
16	generate means produce	nongold
17	In the food chain process a  green plant has the role of  producer	nongold
18	a producer is a source of energy for consumers	nongold
19	sunlight means solar energy	gold
20	production is similar to making	nongold
21	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
22	a consumer can not produce its own food	nongold
23	provide is similar to give; make	nongold
24	to contribute is similar to produce	nongold
25	increase means more	nongold
26	the sun is the source of solar energy called sunlight	nongold
27	sunlight is a kind of solar energy	nongold
28	converting is similar to producing	nongold
29	summer has hot temperatures; weather	nongold
30	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
31	producer is a kind of role in the food chain process; in an ecosystem	nongold
32	an increase is the opposite of a decrease	nongold
33	if something causes an increase in something else then that something produces that something else	nongold
34	winter is a kind of season	nongold
35	winter is a part of the year	nongold
36	winter means environmental; outdoor temperature decreases	nongold
37	less is similar to decrease	nongold
38	sunlight is a kind of light	nongold
39	less is the opposite of more	nongold
40	to depend on; to rely on; to need means to require	nongold
41	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
42	producing is similar to causing	nongold
43	most means over 50% of something	nongold
44	an animal is a kind of consumer	nongold
45	making something requires resources	nongold
46	the sun is a source of light; light energy called sunlight	nongold
47	to add means to increase	nongold
48	a consumer is a kind of organism	nongold
49	the sunlight occurs during the day	nongold
50	being in the sun is synonymous with being in the sunlight	nongold
51	an animal; living thing requires nutrients for survival	nongold
52	the amount of daylight is greatest in the summer	nongold
53	a plant; living thing requires food for survival	nongold
54	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
55	if something is a raw material in a process then that something is required for that process	nongold
56	summer is when a hemisphere is tilted towards the sun	nongold
57	products are formed; are produced; are created	nongold
58	development is similar to production	nongold
59	high is similar to increase	nongold
60	daylight means sunlight	nongold
61	largest amount means most	nongold
62	to produce means to create	nongold
63	spring increases the amount of available food in an environment	nongold
64	to be in the sun means to be in the sunlight	nongold
65	low is similar to decrease	nongold
66	solar power means solar energy	nongold
67	to cause means to make	nongold
68	a  plant requires sunlight to  grow	nongold
69	when the season changes , the amount of daylight will change	nongold
70	if a plant dies then that plant will not produce food	nongold
71	food is a source of energy for animals; plants	nongold
72	Autumn is a kind of season	nongold
73	less means a reduced amount	nongold
74	a plant requires photosynthesis to grow; survive	nongold
75	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
76	the amount of daylight is least in the winter	nongold
77	an increase is a kind of change	nongold
78	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
79	greater means higher; more in value	nongold
80	producing is a kind of function	nongold
81	producers pass materials they use through the food chain	nongold
82	to lower means to decrease	nongold
83	little is similar to decrease	nongold
84	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
85	to be used for something means to be required by that something	nongold
86	as the size of a source of something increases , the amount of the something that that source produces will decrease	nongold
87	solar energy is a kind of heat energy	nongold
88	providing something means making;delivering something	nongold
89	to reduce means to decrease	nongold
90	to provide something means to be the source of that something	nongold
91	as the use of a crop increases , the amount of  crops planted will increase	nongold
92	the sun is a source of radiation; heat called sunlight	nongold
93	winter is when a hemisphere is tilted away from the sun	nongold
94	a food contains nutrients for living things	nongold
95	a plant; living thing requires nutrients to grow	nongold
96	baking is when a human makes food by adding heat	nongold
97	spring is a kind of season	nongold
98	solar energy is a kind of light	nongold
99	the sun is the source of energy for life on Earth	nongold
