Question	Which measurement represents the mass of an object?	question
Answer	35 grams	answer
0	grams ( g ) are a  metric unit used for measuring mass; weight generally used for values between 1.0 and 2000.0	gold
1	a gram  is a kind of unit for measuring mass	gold
2	density is a measure of mass of an object over volume; divided by volume	nongold
3	mass; weight is a property of matter; objects; materials	gold
4	an ounce is a kind of unit for measuring mass	nongold
5	kilograms ( kg ) are a  metric; SI unit used for measuring mass; weight generally used for values between 1.0 and 50000000.0	nongold
6	weight is a property of objects; matter	nongold
7	mass is a property of objects; matter	nongold
8	mass is a measure of the amount of matter in an object	nongold
9	a weight is a kind of object	nongold
10	a kilogram is a kind of unit for measuring mass	nongold
11	mass is similar to size	nongold
12	mass is a kind of physical property	nongold
13	weight is a kind of property	nongold
14	a pound is a kind of unit for measuring mass	nongold
15	weight is a measure of the force of the gravity on the mass of an object	nongold
16	a centimeter is a kind of unit of measurement	nongold
17	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
18	length is a part of size	nongold
19	pounds ( lb ) are a  imperial unit used for measuring mass; weight generally used for values between 1.0 and 50000000.0	nongold
20	a meter is a kind of unit for measuring distance; measuring length	nongold
21	the volume of an object can be used to describe  the size of that object	nongold
22	an part of an object is smaller than the entire object	nongold
23	density is a kind of physical property	nongold
24	objects are made of materials; substances; matter	nongold
25	a balance is a kind of instrument for measuring mass; measuring weight	nongold
26	volume is a property of matter	nongold
27	a scale is used for measuring weight	nongold
28	a centimeter is used for measuring short lengths; short distances	nongold
29	a balance is used for measuring mass;weight of an object; of a substance	nongold
30	measuring requires reading a measurement	nongold
31	if an object has a small volume and large mass , then the object will  have a high density	nongold
32	a living thing is a kind of object	nongold
33	quantity means amount	nongold
34	ounces ( oz ) are a  imperial unit used for measuring weight generally used for values between 1.0 and 16.0	nongold
35	weight means the force of gravity acting on an object	nongold
36	millimeters ( mm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 100.0	nongold
37	measuring is used for describing an object	nongold
38	as the mass of an object increases ,  the weight of that object will increase	nongold
39	property is similar to measurement	nongold
40	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
41	height is a property of the size of an object	nongold
42	can be means able to be	nongold
43	a graduated cylinder is used to measure volume of a liquid; of an object	nongold
44	heavy means a large amount of weight	nongold
45	kg means kilograms	nongold
46	a human is a kind of animal	nongold
47	milliliters is a kind of unit for measuring volume of liquids	nongold
48	thickness is  a measure of how thick an object  is	nongold
49	a ruler is used for measuring the length of an object	nongold
50	if an object is made of a material then that object has the properties of that material	nongold
51	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
52	a piece of something is a kind of object	nongold
53	a piece of an object is smaller in size than the whole object	nongold
54	height is a measure of length from the top of an object to the bottom of an object	nongold
55	a coin is a kind of object	nongold
56	calculation means measurement	nongold
57	material means substance	nongold
58	mass; weight is an extensive property	nongold
59	materials are made of matter	nongold
60	instrument means tool	nongold
61	hardness is a property of a material; an object and includes ordered values of malleable; rigid	nongold
62	Weight is  the  force of gravity acting on an object	nongold
63	length is a measure of distance from one end of an object to the other end of that object	nongold
64	length is a property of the shape of an object	nongold
65	an object is made of its parts	nongold
66	composed of means made of	nongold
67	unit is similar to part	nongold
68	experimentation requires measuring	nongold
69	a particle is a kind of object	nongold
70	to measure means to calculate	nongold
71	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
72	a meter stick is a kind of tool for measuring length; measuring distance	nongold
73	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
74	instrument means device	nongold
75	an animal is a kind of living thing	nongold
76	a tool is a kind of object	nongold
77	thickness is a property of an object and includes ordered  values of thin; thick	nongold
78	a graduated cylinder is a kind of instrument for measuring volume of liquids or objects	nongold
79	distance moved; distance travelled is a measure of how far an object moves	nongold
80	mass; weight are the same on Earth	nongold
81	a land mass is a kind of object	nongold
82	an animal's scales are small in size	nongold
83	fluid ounce ( fl oz ) is a imperial unit used for measuring volume generally used for values between 0.125 and 8.0	nongold
84	a physical property is a kind of property	nongold
85	form means kind	nongold
86	a container is a kind of object	nongold
87	as the mass of an object increases , the density of that object will increase	nongold
88	tonnes ( t ) are a  imperial unit used for measuring mass; weight generally used for values between 1.0 and 50000000.0	nongold
89	a vehicle is a kind of object	nongold
90	meters;centimeters;kilometers are used to describe distance; describe length	nongold
91	an event is a kind of action	nongold
92	liters ( L ) is a metric unit used for measuring volume generally used for values between 1.0 and 50000000.0	nongold
93	concentration means amount	nongold
94	a surface is a part of an object	nongold
95	a ball is a kind of object	nongold
96	heaviest means greatest mass; weight	nongold
97	a source of something emits; produces; generates; provides that something	nongold
98	substances are made of matter	nongold
99	determining often requires measuring; observing	nongold
