Question	When the switch in a simple series circuit is closed, what happens to the light bulb that the electricity is flowing to?	question
Answer	the light comes on	answer
0	when electricity flows to a light bulb , the light bulb will turn on; come on	gold
1	when a switch in a simple series circuit is closed , electricity will flow through the circuit	gold
2	a light bulb converts electrical energy; electricity into light energy; light energy and heat energy when it is turned on	nongold
3	some light bulbs convert electrical energy; electricity into light energy and heat energy	nongold
4	a switch is used to start; stop the flow of current by  closing; opening the electric circuit	nongold
5	a light bulb is a kind of electrical device	nongold
6	a light bulb requires electrical energy to produce light	nongold
7	an incandescent light bulb converts electrical energy; electricity into light energy and heat energy by sending electricity through a filament	nongold
8	closing an electric circuit causes an electrical device to function	nongold
9	a light bulb is a part of a  lamp	nongold
10	a light bulb generates visible light when it is turned on	nongold
11	electricity can  not flow through an open circuit	nongold
12	sending electricity through a conductor causes electricity; electric current to flow through that conductor	nongold
13	light bulb means lightbulb	nongold
14	an electric circuit is a vehicle for moving electrical energy from the source to  the electrical device	nongold
15	if electricity flows through; is transferred through the body of an animal then that animal is electrocuted	nongold
16	to flow is similar to to transfer	nongold
17	a complete electrical circuit is a source of  electrical energy	nongold
18	completing a circuit causes electricity; electric current to flow  through that circuit	nongold
19	flowing is a kind of motion	nongold
20	electricity means electrical energy	nongold
21	An electrical conductor is a vehicle for the flow of electricity	nongold
22	a circuit is a kind of electrical component	nongold
23	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
24	light means light energy	nongold
25	the heat energy produced by the light bulb is not used	nongold
26	an electrical device requires electricity to turn on	nongold
27	electricity is used as an energy source by electrical devices	nongold
28	a source of something emits; produces; generates; provides that something	nongold
29	a light bulb is used for seeing in the dark	nongold
30	a light bulb is a kind of tool for seeing in the dark	nongold
31	if one electrical conductor contacts another electrical conductor then electricity will flow through both conductors	nongold
32	electric devices require electrical energy to function	nongold
33	creating a simple circuit requires a wire; battery	nongold
34	a complex machine is made of more than one simple machine	nongold
35	flipping a switch completes an electrical circuit	nongold
36	an electrical insulator slows; prevents the transfer of; flow of electricity	nongold
37	a closed circuit has continuous path	nongold
38	a simple machine is a kind of tool	nongold
39	flowing is a kind of action	nongold
40	powering an electrical device with a battery requires a path for electricity to flow through a closed circuit	nongold
41	electrical energy is a kind of energy	nongold
42	a machine is a kind of  device	nongold
43	an object; material; substance comes from that object or material's source	nongold
44	light is a kind of energy	nongold
45	light is a kind of energy	nongold
46	a device is a kind of object	nongold
47	when an electrical circuit is working properly , electrical current runs through that circuit; the wires in that circuit	nongold
48	a simple machine requires mechanical energy to function	nongold
49	convert is similar to transfer	nongold
50	to illuminate means to light up	nongold
51	to conduct is similar to to transfer	nongold
52	electricity sometimes is used for heating buildings; substances	nongold
53	if the electrical  devices are connected in parallel circuit , then turning on or off any devices will not affect other devices	nongold
54	sunlight is a kind of light	nongold
55	electrical devices are used for industrial purposes; household purposes by humans	nongold
56	the function of something is what that something  is used to do	nongold
57	to add means to increase	nongold
58	can be means able to be	nongold
59	if something transfers something else then that something is a source of something else	nongold
60	flipping; pushing a switch means using; activating that switch	nongold
61	variable means able to change	nongold
62	a machine is a kind of object	nongold
63	high is similar to increase	nongold
64	emit means produce	nongold
65	form means kind	nongold
66	to be used for something means to be required by that something	nongold
67	to slow; to slow down decreases speed	nongold
68	to give off means to be the source of	nongold
69	electrical current means electrical energy	nongold
70	where something  comes from is a source of that something	nongold
71	light is a kind of wave	nongold
72	to turn means to change	nongold
73	a resistor is used to control the amount of current in the electric circuit	nongold
74	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
75	a cycle happens; occurs repeatedly	nongold
76	to happen means to occur	nongold
77	to convert means to change	nongold
78	UV light is a kind of light	nongold
79	affected means changed	nongold
80	converting is similar to producing	nongold
81	being  on something; placed in something; placed over something means touching  that something	nongold
82	if an object is in the light then that object is blocking the light	nongold
83	a type is synonymous with a kind	nongold
84	to transfer means to bring; to get something to	nongold
85	low is similar to decrease	nongold
86	take place means happen	nongold
87	to turn means to convert	nongold
88	conductivity is a measure of how easily electricity travels through a material	nongold
89	make means produce	nongold
90	if something comes from something else then that something else is a source of that something	nongold
91	a cycle is a kind of process	nongold
92	to emit means to release	nongold
93	to change means to cause a change	nongold
94	answering questions requires information	nongold
95	a mechanism is a kind of system that performs a function	nongold
96	a part of a process means a stage in a process	nongold
97	to transform means to convert	nongold
98	if something is made by something else then that something is affected by that something else	nongold
99	current means electric current	nongold
