Question	What best describes objects orbiting in the Kuiper Belt?	question
Answer	icy	answer
0	the Kuiper Belt contains orbiting comets and asteroids	gold
1	objects in the Kuiper Belt generally are made of ice	gold
2	revolving  around something means orbiting that something	nongold
3	icy means made of ice	gold
4	gravity causes orbits	nongold
5	cold means low in temperature	nongold
6	orbiting is a kind of action	nongold
7	orbit means orbital path	nongold
8	a planet is a kind of celestial object; body	nongold
9	moons orbit planets	nongold
10	Celestial bodies move in orbits in space around other celestial bodies	nongold
11	the properties of something are used for describing that something	nongold
12	a moon is a kind of celestial object; body	nongold
13	planets orbit stars	nongold
14	the asteroid belt orbits the sun	nongold
15	the asteroid belt is located between Mars and Jupiter	nongold
16	ice is a kind of object	nongold
17	best means most positive	nongold
18	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
19	cool means cold	nongold
20	ice is cold in temperature	nongold
21	the location of an object can be used to describe that object	nongold
22	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
23	celestial objects are located in outer space	nongold
24	a living thing is a kind of object	nongold
25	freezing means cold temperatures	nongold
26	colder; cooler means lower in temperature	nongold
27	a motion is a kind of event; action	nongold
28	cold is a kind of weather	nongold
29	Jupiter is a kind of planet	nongold
30	an event is a kind of action	nongold
31	a landform is a kind of object	nongold
32	ice is a kind of solid	nongold
33	a vehicle is a kind of object	nongold
34	a description sometimes provides information	nongold
35	a planet is a kind of location	nongold
36	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
37	planets in the solar system orbit the Sun	nongold
38	ice is colder than water in temperature	nongold
39	Jupiter is a kind of outer planet	nongold
40	if an object orbits a celestial object then that object is probably a celestial object as well	nongold
41	a rock is a kind of object	nongold
42	something in a cold place becomes cold	nongold
43	the moon orbits the Earth	nongold
44	Kuwait is located in the northern hemisphere	nongold
45	an asteroid is a kind of celestial object	gold
46	to lower means to decrease	nongold
47	measuring is used for describing an object	nongold
48	a moon is a kind of satellite	nongold
49	planets have cleared their orbits	nongold
50	if something is caused by something else , then that something can be explained by that something else	nongold
51	a source of something emits; produces; generates; provides that something	nongold
52	Earth is a kind of planet	nongold
53	a white dwarf is a kind of star	nongold
54	an orbit is a kind of regular path	nongold
55	astronomy is the study of celestial (objects, bodies)	nongold
56	a human is a kind of animal	nongold
57	a land mass is a kind of object	nongold
58	the asteroid belt contains the largest concentration of asteroids in the solar system	nongold
59	a change is a kind of event	nongold
60	an animal is a kind of living thing	nongold
61	an asteroid is made of rock and metal	nongold
62	Mars is a kind of planet	nongold
63	can be means able to be	nongold
64	a star is a kind of celestial object; celestial body	nongold
65	a satellite orbits a planet	nongold
66	affected means changed	nongold
67	a planet completes one orbit around its star over a period of one planetary year	nongold
68	become cold means get cold	nongold
69	temperature is a measure of heat energy	nongold
70	water is a kind of object	nongold
71	extreme means very high in value	nongold
72	Uranus is a kind of planet	nongold
73	high is similar to increase	nongold
74	snow is a kind of ice	nongold
75	the Earth revolves around the sun	nongold
76	ice wedging is a kind of mechanical weathering	nongold
77	a planet is a kind of place	nongold
78	cooler means colder	nongold
79	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
80	a quasar is a kind of distant celestial object; celestial body	nongold
81	the asteroid belt contains asteroids	nongold
82	a surface is a part of an object	nongold
83	a wave is a kind of object	nongold
84	inner planets are located on the opposite side of the asteroid belt from outer planets	nongold
85	a yellow dwarf is a kind of main-sequence star	nongold
86	cold temperatures usually have a negative impact on organisms	nongold
87	a particle is a kind of object	nongold
88	water is a kind of liquid at room temperature	nongold
89	low is similar to decrease	nongold
90	the moon orbiting the Earth occurs approximately 13 times per year	nongold
91	heat means heat energy	nongold
92	an part of an object is smaller than the entire object	nongold
93	the Sun is a kind of star	nongold
94	something that happens is a kind of event	nongold
95	increase means more	nongold
96	furthest; farthest means greatest; most; highest in distance	nongold
97	a type is synonymous with a kind	nongold
98	temperature  is a property of air mass and includes ordered values of cold; warm	nongold
99	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
