Question	A student blew air into a beach ball and sealed it. She then pushed on the middle of the beach ball. What happened to the air inside the beach ball?	question
Answer	The shape of the air in the beach ball changed.	answer
0	a beach ball is a kind of container	nongold
1	a beach ball  contains gas	gold
2	to fill up a balloon; beach ball means to blow up a balloon; beach ball	nongold
3	wave action changes the shape of the beach by mechanical energy	nongold
4	sand is a part of a beach	nongold
5	a beach ball is flexible	gold
6	a student is a kind of human	nongold
7	a body of water meets land at a beach	nongold
8	Matter in the gas phase has variable shape	gold
9	matter with variable shape changes shape in different container	nongold
10	if a flexible container is pushed on then that container will change shape	gold
11	Matter in the liquid phase has variable shape	nongold
12	a ball is a kind of object	nongold
13	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	gold
14	form means kind	nongold
15	pushing something can cause that something  to move	nongold
16	push out means expel	nongold
17	an ocean is a kind of body of water	nongold
18	atmosphere means  air	nongold
19	pushing is a kind of motion	nongold
20	a beach is a kind of habitat; environment	nongold
21	air is a kind of matter	nongold
22	air is a kind of gas	gold
23	sand  is a kind of solid	nongold
24	a container contains objects; material; substances	gold
25	a beach ball is made of rubber	nongold
26	a beach is usually part of an island	nongold
27	waves are made of moving water	nongold
28	the air is a kind of substance	nongold
29	structure is similar to shape	nongold
30	a beach is a kind of location	nongold
31	size; amount of space means volume	nongold
32	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
33	Matter in the solid phase has definite shape	nongold
34	liquid is a kind of state of matter	nongold
35	to turn means to change	nongold
36	an increase is a kind of change	nongold
37	to contain means to have inside	nongold
38	shape is a property of an object	nongold
39	flowing liquid can push objects	nongold
40	gas is a kind of state of matter	nongold
41	an ocean contains waves	nongold
42	surface area is a property of shape	nongold
43	a living thing is a kind of object	nongold
44	a surface is a part of an object	nongold
45	waves can travel through matter	nongold
46	shape of the parts of something is a property of that something	nongold
47	water is a kind of matter	nongold
48	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
49	to breathe in means to absorb air	nongold
50	moisture means liquid; liquid water	nongold
51	sand  is a kind of substance	nongold
52	state means form	nongold
53	air mass means a volume of air	nongold
54	water is a kind of liquid at room temperature	nongold
55	to add means to increase	nongold
56	solid is a kind of state of matter	nongold
57	movement is a kind of change	nongold
58	a container is a kind of object	nongold
59	water is a kind of substance	nongold
60	the atmosphere contains gases; liquids; solids	nongold
61	breaking down into pieces is a kind of change in shape	nongold
62	definite shape means the shape of an object stays the same when moved to different spot	nongold
63	if something enters something else then that something is in that something else	nongold
64	heat energy can change the state of matter	nongold
65	if an object is put inside; poured into another object , then two objects are touching	nongold
66	a surface is a part of a material	nongold
67	absorbance is when a wave absorbs at; stops at a surface	nongold
68	shape is a property of the appearance of an object	nongold
69	the surface of a beach is formed by mechanical weathering	nongold
70	pulling is a kind of motion	nongold
71	Matter in the gas phase has variable volume	nongold
72	to lower means to decrease	nongold
73	variable means able to change	gold
74	an part of an object is smaller than the entire object	nongold
75	to give off means to be the source of	nongold
76	material means substance	nongold
77	length is a property of the shape of an object	nongold
78	push is a kind of force; application of force	nongold
79	motion; movement means moving; to move	nongold
80	a structure of something is synonymous with a part of that something	nongold
81	if a container contains something then that container touches that something	nongold
82	heat means heat energy	nongold
83	landform means surface feature; physical feature; land feature	nongold
84	a wave is a kind of object	nongold
85	sand  is a kind of material	nongold
86	bending is a kind of change of shape	nongold
87	particles in objects are a kind of matter	nongold
88	sand has a rough surface	nongold
89	breaking down an object changes that object's shape and that object's mass	nongold
90	a landform is a kind of object	nongold
91	gas is a kind of substance	gold
92	an object is made of its parts	nongold
93	shape is a kind of physical property	nongold
94	objects are made of materials; substances; matter	nongold
95	to change means to become different	nongold
96	to place in is similar to to move to	nongold
97	variability of shape; variability of volume is a kind of physical property	nongold
98	sand dunes are made of sand	nongold
99	a decrease is a kind of change	nongold
